@English@|@Kabardian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@3d p. (indirect) object@|@ja-@
@3d p. subj. intrans.@|@ma-, má-@
@3d p. subj. trans.@|@0-, a@
@a demonstrative stem@|@-bä, -da, -da, ä, a-bä, jä, jäj, na-@
@a flock of sheep@|@-bža@
@adverbial suffix@|@-ra@
@an interrogative stem@|@da-r@
@animal carcass@|@bghwa@
@ant-hill@|@q:anjagw@
@arm@|@'a-bLa, bLa@
@army@|@ja@
@arrow@|@ša@
@ashes@|@jaza@
@axe@|@žäda@
@back@|@sä-b@
@back of neck@|@psa-däq:@
@bad@|@'ej@
@barley@|@h'a@
@barrel@|@fandära@
@bear@|@mäsa@
@beard@|@zãcha@
@beech-tree@|@txwej@
@behind@|@pxa@
@bellows@|@šadä-bz@
@belly@|@nëba@
@big@|@-šxwa, jän@
@billy-goat@|@aža@
@bird@|@bzuw@
@bird's fat@|@Läna@
@black@|@fä-ca@
@blister@|@psä-bäb@
@block@|@daq:a@
@blood@|@Lä@
@blow@|@japsan-n@
@bough@|@gwana@
@bow-string@|@bza-ps@
@bridle@|@šxwa@
@brother@|@q:wa-š@
@brown@|@ghwa-bža@
@bug@|@cäv@
@bull@|@vä@
@burn@|@bLa-, sä-n@
@burrow@|@ghwa@
@butter@|@txwä@
@calf@|@šcha@
@calf of leg@|@La-n-chapa@
@carrot@|@pxä@
@carry@|@ša-n@
@cat@|@jaduw@
@cattle-shed@|@bow@
@causative@|@gha-@
@cavern@|@'q:wäsh'a@
@chaff@|@sacha@
@chisel@|@bjä@
@clean@|@q:abza@
@cloud@|@pša@
@coal@|@famäs@
@cock@|@ãdãq:a@
@cold@|@sä'a@
@conditional@|@-m, -ma, -rej, -tam, -tama@
@conjunctive particle@|@-ra@
@continous@|@-u@
@cord@|@psä@
@cornel@|@za@
@crack@|@cha-n@
@crane@|@q:äruw@
@crush@|@pä-sächä-@
@cuckoo@|@chägwäwgw@
@cucumber@|@nasa@
@currants@|@sãna@
@cut out@|@bzä-n@
@dark@|@chä-f@
@daughter@|@pxwä@
@daughter-in-law@|@näsa@
@day@|@maxwa@
@dead body@|@h'ada@
@deer@|@säh'@
@demonstrative pronoun@|@mä@
@denominative abstract@|@-gha@
@denominative locative@|@-j@
@determinative@|@-q:a@
@dew@|@wasaps@
@die@|@La-n@
@dirt@|@fä-j@
@dog@|@ha@
@dream@|@psäh', psäh'apa@
@eagle@|@bgha@
@eagle-owl@|@da-ghwrägh, da-ghwräghm däghwräghw@
@ear@|@thakwäma@
@early@|@pása@
