@English@|@Kamas@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of arrow@|@mee@
@a k. of berry@|@modo@
@a k. of bird@|@kazära@
@a k. of bird of prey@|@phigije@
@a k. of fir-tree@|@nalho, nolho@
@a k. of grass@|@no'@
@a k. of insect@|@uunu@
@a k. of marten@|@pucuga-käten@
@a k. of metal@|@baza, waza@
@a k. of moss@|@noor, nor@
@a k. of trout@|@kami-kola@
@a k. of wild duck@|@konzu', pure, puru@
@a k. of willow@|@po@
@above@|@nägende, nigindä@
@ant@|@keedämgä@
@armpit@|@kaaläng@
@arrow@|@na, niè@
@asp@|@piini@
@back@|@begel, paar-@
@back part@|@pi'ne, pu'mo@
@bark@|@kuba, kuwa@
@basket@|@koori@
@below@|@ilgän@
@bend@|@sing@
@birch@|@koju, kuju@
@birch bark@|@šo@
@boil@|@përä-, pu-, puri-@
@bone@|@le, lè@
@bow@|@inä@
@bowstring@|@neenä, neeni@
@breath@|@maajä, maaje@
@carry@|@jilde-@
@charcoal@|@si'@
@cheek@|@puu'ma@
@chew@|@tudo-@
@child@|@eši@
@chin@|@ongo.j@
@claw@|@kada@
@cradle@|@cepsu@
@crow@|@bari@
@crust@|@kam@
@curve@|@mun-@
@daughter-in-law@|@meeji, meji@
@day@|@jala@
@deer@|@tägö@
@dew@|@te'pta@
@divide@|@taaräla-@
@door@|@ajä, aje@
@down@|@mu'zen@
@downwards@|@ilde@
@elder female relative@|@paba@
@end@|@ulu@
@end of trunk@|@tavu, theže@
@eye@|@sima, simä@
@falcon@|@pigije@
@fasten@|@šu'dä-@
@fat@|@säl, sil@
@feeding ground for reindeer@|@šoor@
@female animal@|@šejma, šejmu, šuje, šuju@
@find@|@ku-@
@fir@|@ko', kot@
@fire@|@šu@
@fish@|@kola@
@five@|@bjä'n@
@float@|@pari-kinjigej@
@fly (insect)@|@šuriar@
@follow the tracks of a animal@|@piderä-@
@frost@|@kana-, kanaa-@
@frozen snow@|@säre@
@girdle@|@jii, mune, tii@
@glue@|@näme@
@god@|@nom, num@
@grave@|@böser, kolmä@
@hair@|@epti, ther@
@hand@|@uda@
@hard@|@komdä-@
@hard palate@|@neenä, neeni@
@hard snow@|@šeer@
@hazel-hen@|@puže@
@heart@|@sii@
@hole@|@ang@
@hole in tent roof@|@maa-zäro@
@hollow of hand@|@kaamëru'@
@horn@|@amno@
@house@|@ma', mà'@
@how@|@käda', kade', kado'@
@I@|@man@
@inside@|@put@
@interval@|@jede, jêde, jöde, jude, töde@
@intestines@|@šujä@
