@English@|@Karaim@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of musical instrument@|@qobuz@
@a k. of reed@|@qoha@
@a k. of short coat@|@jelek@
@a little@|@az@
@a man's wife's younger sister@|@baldyz@
@a mass of hair@|@japaha@
@a pinch@|@chimdik@
@abandon@|@qoj-@
@abhor@|@iren-@
@above@|@johary@
@acid@|@achy, ažy@
@additionally@|@daa, daxy@
@advice@|@kenes, keneš@
@afraid@|@emen-@
@after@|@son, song@
@afterbirth@|@chochuq jatahy@
@again@|@dahyn, daxa, jana, jane, jany@
@age@|@jylqy@
@alive@|@tiri@
@all@|@barca, barcha, top@
@also@|@byla@
@an ending of the 2d person@|@-j, -n@
@ancestor@|@ata@
@ancient@|@eski@
@and others@|@dahy@
@anger@|@öch, öpke@
@angle@|@buchaq, buchqaq, müjüš, müvüš@
@animal's hair@|@tik, tuk@
@ankle-bone@|@tobuq@
@ant@|@qumurstqa, qumurstqu@
@area covered with stones@|@saj@
@arm@|@qol@
@army@|@ordu@
@arrow@|@oq@
@artery@|@tamur@
@ashes@|@kul, qoq@
@aunt@|@apaj@
@autumn@|@küz@
@awl@|@biz@
@axe@|@balta@
@axle@|@tenggil@
@back@|@arqa, art, arxa@
@back of the neck@|@engse, ense@
@bad@|@jaman@
@bald@|@taz@
@ball of wool@|@jumhaq@
@bark@|@qabux@
@barley@|@arpa@
@barren cow@|@qysyr@
@barren mare@|@qysyraq@
@bat@|@jeri qanaty@
@be brought together@|@qavuš-@
@be disgusted@|@bušurhan-@
@be on one's way@|@jeber-@
@be similar@|@bengze-@
@beautiful@|@guzal@
@beetle@|@qomuz@
@belly@|@kindik, qaryn@
@bend@|@qajyr-@
@big@|@büjük@
@big vessel@|@capcaq, chapchaq@
@bird@|@quš@
@black@|@qara@
@blackthorn@|@cheger@
@blanket@|@jorhan@
@blessing@|@alhyš@
@block@|@tomruq@
@blood@|@qan@
@blue@|@kök@
@boat@|@gemi@
@body@|@boj@
@bone@|@kemyk@
@bosom@|@qojun, qojyn@
@bother@|@emgek@
@bow@|@jaj@
@bow string@|@kiriš@
@brain@|@miji@
@branch@|@butaq@
@bread@|@ekmek, etmek, ötmek@
@breast@|@kökis, kökräk, töš@
@bridle@|@ijgen, jügen@
@broad@|@jalpaq@
@bucket@|@qopqa, qova@
@bulb@|@qyjaq@
@bull@|@buha@
@bundle@|@baw@
@butterfly@|@kebelak@
@buttocks@|@köt@
@calf@|@buzuv, byzuv@
@calf of leg@|@baldyr@
@camel@|@deve, tüje@
@camping-site@|@jurt@
