@English@|@Kaska@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a man goes out into the bush@|@dene dechen tah ts'i' dehya@
@aha!@|@tl'o!@
@all of you drink tea@|@di' naahdan@
@and you?@|@neni hi?@
@are they hungry?@|@gedebedam?@
@are you all hungry?@|@dehbedam?@
@are you hungry?@|@denbedam?@
@arm@|@gane'@
@baby@|@dzedane zuze@
@bannock@|@sune@
@black bears@|@sas@
@blanket@|@ts'ede'@
@boy@|@eskie@
@cane@|@tes@
@chest@|@dzezule'@
@child@|@dzedane@
@clothes@|@ech'ele'@
@come here@|@ani@
@cup@|@kuk'a@
@do you have fire wood?@|@tses dent'in-am?@
@do you have matches?@|@kun dent'in-am?@
@do you see any sheep?@|@debe ganhtanam?@
@do you see any wolves?@|@jiyune' ganhtanam?@
@do you understand native lang.@|@dene k'eh edents'eg-am?@
@do you want fish?@|@luge nenzenam?@
@do you want tea?@|@di nenzenam?@
@do you want water?@|@tu nenzenam?@
@dog is sitting on the rug@|@gele tel ka seda'@
@ear@|@zasbali@
@eat!@|@entsets!@
@elder@|@echo@
@eye@|@da'@
@face@|@ni'@
@father@|@esbuba@
@firewood@|@tses@
@fish@|@luge@
@food@|@bede@
@foot@|@ke'@
@Frances Lake@|@Tu Cho Mene@
@go away@|@dege', dige, tsu'ale@
@grandfather@|@estsie@
@grandmo's sewing moccasins@|@getsu ke nenetsek@
@grandmother@|@estsu@
@grandpa is eating bannock@|@getsie' sunet'es etsets@
@hair@|@tsigha@
@hand me that axe@|@i tsil de'@
@hand me that knife@|@i bes de'@
@hand me that small knife@|@i bes zuze de'@
@hand me the axe@|@tsil de'@
@hand me the big knife@|@i bes cho de'@
@hand me the bullets@|@i bes cho de'@
@hand me the gun@|@une de'@
@hand me the knife@|@bes de'@
@happy new year@|@guyeh dege kenegwets'ets@
@hat@|@ts'at@
@he came to the lake shore@|@men ma layal@
@he carried his gun@|@de'une' etil@
@he felt very good@|@la medoge gutie@
@he felt very sad@|@la medeniya@
@he has caught three fish@|@luge tedet'e tesela@
@he has dry wood@|@tses det'en@
@he has matches@|@tl'el det'en@
@he has them on the shore@|@le men ma sahla' li@
@he is already hungry@|@la debet@
@he is cooking bannock@|@sune eht'es@
@he is crying@|@etsih@
@he is eating the bannock@|@sune etsets@
@he is fishing@|@luge ka edehchas@
@he is going hunting@|@ejedehya@
@he is going hunting bear@|@dene sas kha ejedehya@
@he is hungry@|@eskie la debet@
@he is packing water@|@adade tu nakal, adade tu nehes@
@he is playing@|@adade kentah@
