@English@|@Kazakh@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a castrated camel@|@atan@
@a gentle address@|@qaraq@
@a gift of food to someone@|@kewsen@
@a k. of berry@|@büldirgen, šije@
@a k. of grass@|@myja, žeken@
@a k. of leash for animals@|@keskek@
@a k. of musical@|@qobyz@
@a k. of reed@|@qoha@
@a k. of short coat@|@želbegej, želegej, želek, želeng@
@a k. of small hawk@|@žahaltaj@
@a k. of tailless sheep@|@saryq@
@a little@|@az@
@a man's wife's@|@baldyz@
@a man's wife's younger sister@|@baldyz@
@a mass of hair@|@žabahy@
@a medicinal shrub@|@andyz, andžy@
@a prize in horse-race@|@bajraq@
@a quarrelsome person@|@sal@
@a young calf@|@torpaq@
@abandon@|@qoj-@
@abhor@|@žijren-@
@above@|@ör, žohary@
@absent-minded@|@alang@
@acacia@|@qarahan@
@acid@|@aššy@
@add to@|@taq-@
@advice@|@kenges@
@afraid@|@ijmen-@
@after@|@song@
@again@|@tahy, žäne@
@age@|@žylqy@
@alive@|@tiri@
@also@|@-ben@
@an ending of the 2d person@|@-ng@
@ancient@|@eski@
@anger@|@ökpä, öš@
@angle@|@müjis@
@anguish@|@šer@
@announcement@|@žar@
@ant@|@qumyrsqa@
@apricot@|@orik, orïk@
@aquila fulva@|@bürkit@
@Are you hungry?@|@Syen ashsinba?@
@area covered with stones@|@saj@
@arm@|@qol@
@arrow@|@oq@
@as well@|@basa@
@ash@|@kül@
@ashes@|@kül, qypqyn@
@attention@|@qunt@
@aunt@|@apa@
@autumn@|@küz@
@awl@|@bigiz, biz@
@awn@|@qylqan@
@axe@|@balta@
@baby@|@bobek@
@back@|@arqa, art, keri@
@back of head@|@šüjde@
@back of horse@|@sawyr@
@back of the neck@|@engse@
@bad@|@osal, žawyz, žek@
@bad influence@|@saldar@
@badger@|@borsyq@
@bald@|@taz@
@Ball@|@Dope@
@ball of wool@|@žumaq@
@bark@|@qabyq@
@barley@|@arpa@
@barren cow@|@qysyr@
@barren mare@|@qysyraq@
@bat@|@žar-qanat@
@bay@|@šyhanaq@
@be brought together@|@qawys-@
@be lazy@|@žasy-@
@be satisfied@|@una-@
@beads@|@monšaq@
@become pale@|@ong-@
@bed-bug@|@qandala@
@beetle@|@qongyz@
@bell@|@qongyraw@
@bellows@|@köräk@
@belly@|@qarin@
@belt@|@qur@
@bend@|@qajyr-, qyjsaqta-@
@berry@|@qat@
@big@|@bijik, ulken@
@big needle@|@teben@
@big wooden vessel@|@samar@
@birch bark@|@toz@
@birch tree@|@qajyng@
