@English@|@Ket@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a delved boat@|@dylij, dylti@
@a device for catching fish@|@do:bä, do:vä, dobij, dovij@
@a k. of (grey) duck@|@kyks, kyksi, kyksin@
@a k. of bird@|@tu'ul, tu:l, túkola@
@a k. of duck@|@algä, hl'l, hl'n, ho:l. hoghol, ho:n, hoghon, hoja, hojen, tamät, ulen@
@a k. of fish@|@-dé, bilgit, hagdé, hagden, kllgug, kllgun, kolgit, lamej-git, laméjgit, qáq, qölgit, to't, to't, totn, totn@
@a k. of net@|@unagän, unäng@
@a k. of salmon@|@bbtkit, bbtn, bbtnäng@
@a k. of trap@|@dedäng oks, deräng oks@
@a k. of tubular plant@|@e:dä, eding, er, ering@
@a k. of vessel@|@u'n, unäng@
@a k. of water-worm@|@at:in, aten, ateng, atij@
@a k. of wild duck@|@blntän@
@a k. of wood grouse@|@qu:n, qüp@
@a large boat@|@asel, aseläng, aseleng, aslenäng, aslenin, aslin, aslinin@
@a modal stem@|@qán@
@a musical instrument@|@kät, kätä, katäng, kätäng@
@a piece of fish@|@bin@
@a pit@|@kl:li, kllen, ky'l@
@a place close to the shore@|@bl@
@a shaman's pendant looking@|@senbereng ku:s@
@a small bird@|@ba:, ba:n@
@a small insect@|@lamtol, lamtoling@
@a wood bird@|@oläng, ollägyn, olläng@
@abygët@|@to bend@
@adulterous@|@qyling@
@after@|@qa, qap@
@afterward@|@qadigä, qarigä@
@alive@|@e:ti, et, etang, eting@
@all@|@byldä@
@all day long@|@utal i'@
@all days long@|@ekng, utaläng@
@along@|@a:s, a:sam, as@
@an anthropomorphic idol@|@allal@
@ant@|@qbnt, qbnte, qbnten, qbntenäng@
@arm@|@ýl, ýläng, ýli@
@arrow@|@qám, qamäng, qamen@
@asp tree@|@y:l, y:ln, yl@
@at home@|@qä@
@autumn@|@qogdi@
@away@|@duoske-ábghas, klma, uskij@
@awl@|@du't, dutäng@
@axe@|@to:gä, tog, tök@
@axe-handle@|@togul, togulläng@
@bachelor@|@l:l, llgit@
@back@|@qobät, qobydäng, qovät, qovyräng@
@bark@|@y:n@
@bay@|@qo:li, qol@
@be born@|@sïja-täx@
@be sad@|@ang-bet@
@beach@|@igde@
@beads@|@klmej, klnyng, qön, qondis@
@beak@|@küp@
@bear@|@qo:jä, qo:ji, qoj, qojä, qojgho, qojghong, qojo:ghä, qojoghän, qön@
@beard@|@kül, küläng, küle, küleng@
@beater of the shaman drum@|@hadbul@
@beautiful written@|@ïding, ïring@
@beaver@|@la't, latn, uršä, urše@
