@English@|@Khakas@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a 2-year-old maral@|@sara-dax@
@a k. of bird@|@jelbegej, kergen@
@a k. of plant@|@ozyj@
@a k. of small hawk@|@chahylbaj@
@a little@|@as@
@a man's wife's younger sister@|@pasty@
@a pinch@|@chymchyx@
@a voodoo way of curing@|@tügen@
@a young calf@|@torbax@
@acacia@|@xarahan@
@accusation@|@chong@
@additionally@|@dä, tä@
@after@|@song@
@age@|@chylhy@
@air@|@kii@
@alive@|@täräg@
@all@|@parchan@
@also@|@mynang@
@an ending of the 2d person@|@-ng@
@and@|@daa, dee, taa, tee@
@angel@|@angel@
@anger@|@ökpe, üs@
@animal@|@jivotnay@
@annoyance@|@xachah@
@ant@|@xumusxa, xymysxa@
@apple@|@yabloko@
@area covered with stones@|@saj@
@arm@|@xol@
@armour@|@xujax@
@arrow@|@sohan, syr, ux@
@arrow head@|@sohan@
@arrow with iron head@|@xosta@
@as well@|@paza@
@ash(es)@|@kül, oyba, pyryn@
@ashes@|@kül, xox@
@autumn@|@küskü@
@autumn wool@|@güz-äm@
@aware@|@sax@
@awl@|@päs@
@awn@|@xylha@
@axe@|@malta, malty, palty@
@back@|@arha, ucha@
@bad weather@|@chut@
@badger@|@choraxa, morsyx, moršyx, porsyx@
@bag@|@nanchyh, nandyx@
@bald@|@tas@
@ball of wool@|@nyngmax@
@band on a shaman's beater@|@syzym@
@bark@|@xabyx, xastyryx@
@barley@|@arba, köche@
@barren cow@|@xyzyr@
@barren mare@|@xyzyrax@
@bat@|@char-xanat@
@be in a hurry@|@tabyra-@
@be lazy@|@chazyh@
@be satisfied@|@una-@
@beads@|@monchyx, monnyx@
@bear@|@aba@
@beard@|@sahal@
@beaver@|@xam-nos, xam chat@
@become pale@|@ong-@
@bed-bug@|@xandala@
@bee@|@aar, möötig aar@
@beer@|@pivo@
@beetle@|@xös@
@believe@|@kirtä-n-@
@bell@|@xongro@
@bellows@|@köräk@
@belly@|@xaryn@
@belt@|@xur@
@bend@|@xazyr-@
@bent backward@|@xasxax@
@berry@|@chistek, sestek, xat@
@big@|@kilkim, pözäk, uluh@
@big needle@|@tibe änge@
@big vessel@|@saban, sapchax@
@birch tree@|@xazyng@
@bird@|@xus@
@bird-cherry@|@nymyrt@
@black@|@xara@
@black-cock@|@kürtkü@
@bladder@|@xöx@
@blanket@|@chorhan@
@blood@|@xan@
@blue@|@kök@
@blunt@|@tombyr, tomyr@
@boat@|@kime@
@body@|@it, nime, syn, telo@
@bone@|@sök@
@book@|@kmiga@
