@English@|@Khalaj@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1-year-old kid@|@chapiš@
@2-year-old colt@|@supa@
@a little@|@haz@
@above@|@juqqar@
@acacia@|@qaraqan@
@acid@|@hächuh, hächuq@
@additionally@|@taqy@
@after@|@soj@
@also@|@bilä@
@an ending of the 2d person@|@-ng@
@anger@|@hëžäš-, hikkä@
@ant@|@Gumurhäch@
@arm@|@qol@
@ashes@|@kïl@
@back@|@arqa, arxa, härt@
@bad road@|@chyhyr@
@bark@|@qäs@
@barley@|@arpa@
@barren cow@|@qysyr@
@basket@|@kändi@
@bee@|@häry@
@belly@|@qäryn@
@big@|@bidik, büdük@
@big needle@|@temen@
@black@|@qara@
@blanket@|@jorhän@
@blood@|@qän@
@blow@|@häpis-, häps-, häs-@
@body@|@bod@
@body hair@|@tïk@
@bond@|@bah@
@bone@|@simik@
@bosom@|@qön@
@brain@|@mein@
@breast (fem.)@|@mämäk@
@bush@|@buta, chalu@
@camping-site@|@jürt@
@cap@|@birgäk, bök@
@cat@|@pušuq@
@child@|@bala@
@claw@|@tyrnaq@
@clay@|@palchoq@
@clean@|@aryh@
@cloud@|@bulyt@
@clover@|@jovunžä@
@cold@|@sovuq@
@courage@|@jirek@
@cud@|@käviš@
@daughter-in-law@|@gälin, kälin@
@deed@|@ïš@
@destroy@|@puz-@
@die@|@ušaq@
@distant@|@hyräq@
@dog@|@it@
@door curtain@|@ëšük@
@duck@|@irdäk@
@dung@|@täzäk@
@dusk@|@änggür@
@dye@|@bodah@
@ear@|@qulaq@
@East@|@ej, ilgär@
@edge@|@jaqa, qyrah@
@edge of cloth@|@hätäk@
@egg@|@jumurqa@
@elder brother's wife@|@nenge@
@empty@|@boš@
@excrement@|@harq@
@eyelash@|@kirpik@
@face@|@jïz@
@far@|@uzäq@
@fat@|@jäh@
@feather@|@jäläk@
@female@|@tiši@
@fire@|@hüt@
@fire steel@|@chaqmaq@
@fly@|@uch-, uchhur-@
@foot@|@hada:q, hadaq@
@forehead@|@häll@
@fortress@|@baluq@
@forty@|@qyrq@
@fox@|@tilkü, tülkü@
@front@|@hänl, hänly@
@frost@|@hajäz@
@full@|@tod-, tüol-@
@garlic@|@sarymsaq@
@gift@|@gift, pelek@
@good@|@havul@
@green@|@ja:šyl, kïek@
@hail@|@tôly@
@hair@|@qyl@
@hair of head@|@sa:ch@
@hand@|@äl@
@hare@|@dovušhan@
@head@|@baš@
@healthy@|@säh@
@heavy@|@ahïr@
@he-goat@|@täkä@
@help@|@kemek, kömek@
