@English@|@Khanty@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a body part@|@lahäl, laxäl@
@a cut off piece@|@rih-@
@a k. of animal@|@manäng@
@a k. of aquatic bird@|@paj@
@a k. of arrow@|@mangx, moh, mongk, monk, mox, mungk@
@a k. of axe@|@soxät, suhäl@
@a k. of berry@|@moräk, moräx, muräx, petár, petär, pisar@
@a k. of bird@|@wercäk, wursäk@
@a k. of brew@|@lis, lüs@
@a k. of coniferous tree@|@teexär@
@a k. of disease@|@möç, moš@
@a k. of duck@|@ta'htang, taxtäng, was, wasä, wäsäh@
@a k. of fir-tree@|@nalki, nalxa, natxä@
@a k. of fish@|@mehtäng, möhtäh@
@a k. of fish trap@|@külä@
@a k. of metal@|@ox, wah, wax@
@a k. of net@|@mehät-, mewät-, möhät-@
@a k. of plant@|@polän, putän@
@a k. of vehicle@|@ikär, jikär, liker@
@a k. of vessel@|@tol@
@a k. of wild duck@|@piri, pirngä@
@a k. of willow@|@mahli, maxtä, moxla@
@a large animal@|@weli, wetä, wuli@
@ambush@|@laasi, lasi-@
@arrow@|@nal, not, pöh@
@asp@|@paj, poj@
@at the houses@|@xotätnä@
@back@|@pir, pïr@
@back part@|@puj, püj@
@bark@|@për@
@be mislead@|@tap-, tep-, tew-@
@be suffocated@|@pexem, pikim@
@become@|@ol-, ut-, wa'l-, wal-, wol-@
@behind@|@parta, pertäh@
@bellow@|@kënäj-, kenï-, könäh-@
@berry@|@lewsi murwa, muräp, ul, ut, wol, wot@
@birch bark@|@tana@
@bird@|@lont, lönt, tunt@
@black@|@pehtä, puti@
@blood@|@wer, wur@
@blunt end@|@poh, pow@
@body@|@mag, maga, magot, magu@
@boil@|@pongkäl, pongxäl, pongxät, pungkäl, pungkät@
@bone@|@law, loh, tuw@
@boy@|@pah, pax@
@brain@|@weläm, wetäm@
@branch@|@jahi, lahi, löwï, tawä@
@breast@|@mehät, mewäl, möhäl, poxäl, poxäs-täxpä, puhäl@
@butterfly@|@lapati, lawanti, lepäntaj@
@carry@|@we-, wej-, wu-, wuj-@
@cartilage@|@nar, naräk, norä@
@cavity@|@ompi, ongät, óngät@
@cedar nut@|@nahär, naxär@
@cheek@|@poxälma, poxtäm, puhläm@
@chin@|@ongäl, ongätäw@
@circle@|@pengärhät-, pengräk, pengräkint-@
@clear@|@sangkä, sängki@
@cloud@|@paläng, peläng, petäng@
@collar@|@rok, rox@
@comrade@|@jot, jöt@
@cone@|@paw, pax, pöki, pow@
@conjure@|@engkär-, ingkär-@
@cook@|@päl-, pat-@
