@English@|@Kiche@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1.000.000@|@chuyil, jun chuyil@
@100@|@jun toq, o'k'al@
@1000@|@chuy, otuk rox okob@
@120@|@waqk'al@
@140@|@wuqk'al@
@160@|@kamuch'@
@180@|@belejeb k'al@
@200@|@kab toq, lajujk'al@
@2000@|@cab chuy@
@21@|@juwinaq jun@
@220@|@julajuj k'al@
@240@|@oxmuch'@
@30 minutes@|@nik'aj or@
@300@|@ox toq@
@300.000@|@ox toq chuy@
@3000@|@ox chuy@
@320@|@kajmuch'@
@400@|@o'much'@
@50@|@nik'aj cient@
@60@|@oxk'al@
@60.000@|@oxk'al chuy@
@70@|@oxk'al lajuj@
@80@|@jumuch'@
@800@|@lajujmuch'@
@90@|@jumuch'lajuj@
@a@|@jun@
@a lot@|@sibalaj@
@a while ago@|@mier@
@abandon@|@k'iäqtäj kanoq, tzaqkan, wonoba', wonobaj, xutuj, ya' kanoq@
@abandoned@|@wonobam@
@abdomen@|@-xe' -pam@
@ability@|@kowinem@
@able@|@mak'alik@
@abort@|@man -riq tä -q'ij ri -al@
@abortion@|@tzaqinem@
@above@|@ajsik, ch-wi', chikaj@
@abscess@|@ch'a'k, sipoj@
@absorb liquid@|@tz'ububej@
@abstain@|@q'ilonik@
@abstain from something@|@q'il -ib@
@abundance@|@k'iyal@
@abundant@|@nim, tz'abem@
@abuse@|@yojtajisaj@
@accept@|@k'am, k'amaraik, k'amowaj, k'ulaj, kojo@
@accident@|@toj@
@accompany@|@achi'laj, uk'anik@
@accomplish@|@banowik@
@accord@|@no'j jujunel@
@according to what is known@|@q'alaj ch-e@
@account@|@tzijobelil@
@accuse@|@ataj tzij, tzujuj, tzujunik@
@accuse unjustly@|@käbaj@
@accuser@|@tzujunel@
@accustom someone to something@|@naq'atisaj@
@accustomed@|@k'ulam@
@accustomed doing of a way@|@naq'atalik@
@accustomed to something@|@k'amaninaq ch-e@
@ache@|@bawik, q'oxowem, q'oxowik, rubuwik@
@acidic@|@ch'äm@
@acne@|@t'orot'aq, wa@
@acontecimientos@|@pop@
@acorn@|@paxik', pixik'@
@acquaint one's self@|@na'@
@acrid@|@ch'äm@
@across@|@ch'aqap@
@act in a mean way@|@k'a'nanik@
@act like@|@ban je jas@
@act of bathing@|@atinem@
@act of being killed@|@kämisaxik@
@act of being stuffed@|@balixik@
@act of being taught@|@tijoxik@
@act of being useful@|@patanijik@
@act of being visitede@|@q'atuxik@
@act of burning@|@k'atik@
@act of climbing@|@paqalem@
@act of counselling@|@pixabanik@
