@English@|@Kinyarwanda@
@Author name@|@Emmanuel Habumuremyi@
@Font@|@Arial\12\Arial\12@
@%@|@percent, %@
@(expresses joy@|@a interj.@
@(hen's noise)@|@teteza v. [gu-]@
@(moor* v.)@|@banguto n. [aka- utu-] (rb Bz)@
@0@|@zeru n.@
@A@|@nota n. rya la [MUS.]@
@a great deal@|@kenshi@
@A string@|@gozi n. wa la (kuri gitari)@
@A.D.@|@he cyacu@
@A.M.@|@mbere ya saa sita, mu gitond@
@abacus@|@barisho n. [iki- ibi-]@
@abandon@|@ta v. [gu-], ta v.[gu-], reka v.[ku-], hara v.[gu-], siga v.gu-, sohoka v. mu kintu, hagarika v. [gu] amasomo@
@abbreviate@|@gerura v. [ku-], hina v. [gu-], gabanya v.[ku-]@
@abbreviated form@|@pine n. [im(p)-]@
@abbreviation@|@hine n. [s.&pl. im(p)-], gerura n. [i-], hina n. [i-]@
@ability@|@shobozi n. [pl. ubu-]@
@able@|@shoboye adj. [gi-]@
@abode@|@nyumba n. [i-], zu n. [in-]@
@abolish@|@sesa v. [gu-]@
@abolition@|@senywa n. [i-], seswa n. [i-], hagarikwa n. [i-]@
@about@|@erekeranye adj. [cy-], jyanye adj. [ki-]@
@above@|@hejuru, haruguru@
@abrupt@|@hubukiwe adj. [gi-]@
@abruptness@|@hubutsi n. [ubu-]@
@abscess@|@shyute n. [s. igi- pl. ibi-], byimba n.[iki- ibi-]@
@abscond@|@hungana v. [gu-], cikana v. [gu-], hunga v. [gu-], zwa v. n'amaguru@
@absent-minded@|@gira v. amazinda, nyamazinda n. [umu-]@
@absolute@|@ndakuka adj., dakuka adj. [n-]@
@absolute (LING)@|@hushabwoko adj. [m(p)-](rb Bz)@
@absolutely@|@n'impamo@
@absorb@|@mira v. [ku-], burizamo v. [ku-]@
@abstract@|@camake n. [s. in-], sogongero n. [s. umu- pl.imi-], camake n. [in-], burafato adj. [m-] (rb Bz), boneshabwenge adj. [m-](rb Bz)@
@abstract noun@|@zina n. ntagaragara@
@absurdity@|@nyabasazi n. [ubu-]@
@abundance@|@kire n. [ubu-], kungu n. [ubu-]@
@abundancy@|@kire n. [pl. ubu-], kungu n. [ubu-]@
@abyss@|@nyenga n. [s. i-]@
@accent@|@bonezajwi n.[aka-utu-](rb Bz)@
@accept@|@emera v. [kw-]@
@accepted@|@emewe adj. [cy-]@
@accident@|@gisida n., gorane n. [in-]@
@accommodate@|@cumbikira v. [gu-]@
@accommodation@|@turo n. [in-], cumbi n. [i- ama-]@
@accomplice@|@itso n. [s. icy- pl. iby-]@
@accomplish@|@rangiza v. [ku-], zuza v. [ku-] (insingano)@
@accomplishment@|@rangizwa n. [i-]@
@accost sth.@|@egera v. [kw-]@
@account@|@konti n. [s. - pl. ama-]@
@accountant@|@kontabure n. [- aba-], cungamari n. [umu- aba-]@
@accounting@|@baruramaru n. [i-]@
@accuse@|@rega v. [ku-]@
@ace@|@bwana n. (playing card), hanga n. [umu- aba-]@
@achieve@|@rangiza v. [ku-], zuza v. [ku-], soza v. [gu-]@
@achieve sexual climax f.@|@nyara v. [ku-]@
@achievement@|@sozwa n. [i-], rangizwa n. [i-]@
@aching@|@babare n. [ubu-], babare n. [ubu-], ribwe n. [ubu-], ryaryate n. [ubu-]@
@Acinonyx jubatus@|@tarangwe n.[uru- in-] (rb rtd)@
@acknowledge@|@hamya v. [gu-], shimira v. [gu-]@
@acknowledgements@|@shimira n. [ugu-]@
@acknowledgments@|@shimira n. [s. ugu-]@
@acoustic@|@kizabupfamatwi-buragi n. [in-]@
@acoustic phonetics@|@igamajwi n. nyamatwi@
@acoustics@|@igamiterere n. [iy-] y'amajwi@
@acquaintance@|@menya n. [i-], menyi n. [ubu-]@
@acquit@|@rekura v. [ku-], itwara v. [kw-]@
@act@|@korwa n. [igi- ibi-]@
@action@|@korwa n. [s. igi- pl. ibi-]@
@actions@|@bereho n. [pl. imi-]@
@active@|@kora adj. [gi-], hate n. (gifite umu-)@
@active (LING)@|@nkora adj.@
@active voice (LING)@|@nkora n.@
@actor/actress@|@nyarubuga n. [umu- aba-], kinnyi n. [umu- aba-]@
@acute angle@|@furuka n. ifunganye@
@ad@|@tangazo n. [s. i- pl. ama-]@
@Adam@|@Adamu@
