@English@|@Kirati@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of bird@|@wa@
@a k. of edible root@|@'kè@
@a k. of gourd@|@'kä'n@
@a k. of insect@|@mùn-ti@
@a k. of small animal@|@jícu, júcä@
@a large vessel@|@cam, cam'c-@
@above@|@àng, ghàng@
@all@|@jv-n, khàl@
@ankle@|@läng@
@answer@|@dän, dhän@
@ant@|@gràk-ma@
@anus@|@'thu, thu@
@appear@|@bhó-ks, bó@
@appetite@|@wä'r@
@arm@|@lak@
@armpit@|@lám@
@arrow@|@bhlà, blì, là, lì@
@ashes@|@'púlu@
@ask@|@sìng@
@bake@|@'pù, cä@
@bamboo@|@'pa@
@banana@|@lè-ngok-si@
@bark@|@kru, sv, svk@
@barking deer@|@i-sä, khi-sä@
@basket@|@'käp, käp@
@bat@|@pákti@
@be@|@na@
@be able@|@lù, suk@
@be short as garment@|@tong@
@bear@|@wäm@
@beat@|@thä'p@
@bee@|@jang@
@belly@|@'pók, dúk-ha@
@bent@|@kum@
@birth@|@'ki, 'kik, gi, gik@
@bit@|@bä'k, bhä'k, pä'k@
@bitter@|@khä, khä-s@
@black@|@ké-, xé-@
@blood@|@hì@
@blow@|@mùt@
@body hair@|@mù@
@bone@|@gù, gùt, rùs, rùt@
@bottom@|@dhäiv, dhiv@
@break@|@phä'k, rop, rp@
@breast@|@kwam@
@breathe@|@säk@
@brush@|@khi, khit@
@burn@|@èm, hát, ti, tin, wãl, wèm-p@
@buy@|@lòk@
@catch with claws@|@'c-, cék@
@change@|@lék, léng@
@cheek@|@'k, 'kèl, kèl, kl, phò-su, tang@
@chew@|@lèm@
@child@|@'cä', 'p-, bak, bk@
@circle@|@wang@
@claw@|@sèn-d, sèn-dut@
@clear@|@sèng@
@close@|@cíp@
@cloth@|@bhãn@
@clothes@|@wà, wàs@
@coire@|@lè@
@cold@|@chik, gám, gäm, ik, phòm@
@come@|@'pi, 'pin, ek, the, thek@
@complete@|@'c-, ch-, sut@
@conceal@|@'c-, -m, cvp@
@convent@|@dèl@
@cool@|@ji, jil@
@cough@|@khv, khvk, sò, sòng@
@cousin@|@ngòp-cä@
@cover@|@'käp, dep, dhep@
@covet@|@lom@
@crab@|@ghrã@
@crooked@|@'khung, 'kng, ghk, ghng, ghuk, ghung@
@crop-damaging insect@|@ber, ber-mä@
@cry@|@xräp, xräp@
@dark@|@mak, mãk, sèn-@
@darkness@|@sèm@
@decay@|@'c-, cèm@
@deep@|@ghlm, ghlùm@
@deer@|@sä'@
