@English@|@Kiribati@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@. coral rock@|@atiniwerewere@
@. frequentative of bangab'ai@|@babangabai@
@. jump off@|@ewenako@
@. persistently refusing to return an article@|@buramatoa@
@. to be protected only with a riri@|@tionriri@
@: I cannot.@|@I aki kona@
@1 Sam. 25:3@|@babananun@
@a@|@te@
@a baby@|@bebi@
@a bad fall@|@bukitaua@
@a bad smell@|@boira, boiratuatua@
@a basket for containing bon@|@baenenibon@
@a basket having no cover@|@baene@
@a bath measure@|@bate@
@a bath towel@|@bakatutu@
@a battle@|@te bo ni buaka@
@a beam in a house@|@taña@
@a bell@|@bero@
@a ben whose husk is dry and about to fall@|@benroro@
@a beryl@|@beruro@
@a big eater@|@bua n rang@
@a billion@|@birian@
@a bird@|@bairakau, bairuti, tiriwenei@
@a bivalvular shell-fish@|@bwerekakoko, bweremakai, bwereraun@
@a black person@|@e bot-ererô@
@a blanket@|@burangketi@
@a boaster@|@banga n rabakau@
@a bottle@|@baron, batoro@
@a bowl@|@bora@
@a boy@|@diçi, teiti, tiçi@
@a bracket@|@buraketi@
@a brother in law coming around too often@|@butika roko@
@a bush@|@mao@
@a busy body@|@banga ni kume@
@a butterfly@|@bwebwe@
@a button@|@batin@
@a cage for fowls@|@bárai@
@a canoe from whence?@|@wa nî@
@a canoe high in the water@|@butintarere@
@a canoe larger than a baurua@|@bauruarekareka@
@a canoe-house@|@bárea, béniak, béreak@
@a case made of pandanus leaf@|@batai@
@a case of tobacco@|@te kati ni bake@
@a cave@|@banganimatang@
@a cavern@|@banga ni matang@
@a centipede@|@môt@
@a central post supporting the ridge-pole@|@boutabunnuka@
@a certain attitude of dancer@|@ienibakoa@
@a certain dish@|@bakatitau@
@a certain kind of game@|@tirere@
@a certain kind of stakes at cards@|@baraina@
@a certain process in the making of a canoe-sail@|@bonne@
@a certain sport while bathing in the sea@|@buroron@
@a certain star@|@barantonga@
@a chief-judge@|@bû-ni-matañ@
@a child@|@nati@
@a children's game@|@ibetoa@
@a class@|@bare@
@a club@|@tabu@
@a coconut almost ripe@|@bukimaere@
@a coconut shell bottle@|@binobino@
@a coconut tree whose fronds tend to droop down@|@bungiba@
@a collection of stones used in entrapping fish@|@baenata@
@a common form of salutation@|@tia kaboa@
@a company@|@bariko@
@a conference@|@kaboowi@
@a conjuror@|@tane-kaiwa@
@a constellation@|@baraitoa ae nei terata, bau n rimoa, bonobonon nei ngutu, burabura n toa@
@a constellation of five stars in V shape@|@Baiburebure@
@a cook house@|@bareum@
