@English@|@Koine Greek@
@Author name@|@John Jeffrey Dodson@
@Font@|@Arial\12\Arial\12@
@a babbler@|@σπερμολόγος -ου -ὁ@
@a band@|@ἁφή -ῆς -ἡ, ζευκτηρία -ας -ἡ, σύνδεσμος -ου -ὁ@
@a bandage@|@κειρία -ας -ἡ@
@a basin@|@νιπτήρ -ῆρος -ὁ@
@a basket@|@σαργάνη -ης -ἡ@
@a bath@|@βάτος -ου -ὁ, λουτρόν -οῦ -τό@
@a bay@|@κόλπος -ου -ὁ@
@a beam@|@δοκός -οῦ -ἡ@
@a bear@|@ἄρκος -ου -ὁ -ἡ@
@a beast of burden@|@κτῆνος -ους -τό, ὑποζύγιον -ου -τό@
@a bed@|@κοίτη -ης -ἡ, κράβαττος -ου -ὁ@
@a bed-chamber@|@κοιτών -ῶνος -ὁ@
@a benefactor@|@εὐεργέτης -ου -ὁ@
@a beryl@|@βήρυλλος -ου -ὁ@
@a betrayer@|@προδότης -ου -ὁ@
@a bier@|@σορός -οῦ -ἡ@
@a bird@|@ὄρνεον -ου -τό, ὄρνις -ιθος -ὁ -ἡ, πετεινόν -οῦ -τό@
@a birthday celebration@|@γενέσια -ίων -τά@
@a bit@|@ψωμίον -ου -τό@
@a blemish@|@μῶμος -ου -ὁ@
@a blow@|@πληγή -ῆς -ἡ@
@a boaster@|@ἀλαζών -όνος -ὁ@
@a boasting@|@καύχημα -ατος -τό@
@a boat@|@σκάφη -ης -ἡ@
@a body of kings@|@βασίλειος -ον@
@a body-guardsman@|@σπεκουλάτωρ -ορος -ὁ -@
@a bond@|@δεσμός -οῦ -ὁ@
@a bone@|@ὀστέον -ου -τό@
@a bough@|@στοιβάς -άδος -ἡ@
@a boundary@|@πέρας -ατος -τό@
@a bow@|@τόξον -ου -τό@
@a bowl@|@παροψίς -ίδος -ἡ@
@a boy or girl child@|@παῖς -παιδός -ὁ -ἡ@
@a boy’s guardian or tutor@|@παιδαγωγός -οῦ -ὁ@
