@English@|@Komi@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a back body part@|@puli-pom@
@a certain quantity@|@ko-min@
@a curved body part@|@miš, mišk-@
@a felled tree@|@lep, lúp@
@a k. of berry@|@mir-pon, mol, nur-mir, nur-mol, pelij, pelis@
@a k. of berry (1)@|@turi-mol@
@a k. of bird@|@chakchej, colca, covca, gada, tovta@
@a k. of bird of prey@|@chikchi, suz, zus, zuz@
@a k. of brew@|@laz, lazj-@
@a k. of cereal@|@šobdi, šogdi, šu.gdi@
@a k. of disease@|@miž, miža@
@a k. of duck@|@sul-cež, sul-cëž, sulka, sult-cež, ves, vez@
@a k. of fir-tree@|@nil, niv, nøl@
@a k. of fish@|@gic, ke.lci, kelci, mik, sin@
@a k. of fish trap@|@kolas@
@a k. of grass@|@nach@
@a k. of illness@|@nora vije@
@a k. of insect@|@ocher@
@a k. of metal@|@ez-is@
@a k. of pallet@|@žež-i.v, žož, žož-ul, žuž@
@a k. of plant@|@zer, zür@
@a k. of salmon@|@uj@
@a k. of thin meal@|@šid, šød@
@a k. of tree@|@sir-pu@
@a k. of trout@|@kom@
@a k. of vessel@|@doz, duz@
@a k. of vessel made of birch@|@lanes@
@a k. of wild duck@|@gorda, kereg@
@a k. of willow@|@bad@
@a k. of woodpecker@|@kir, kir, sed-kir@
@a large animal@|@vel, vev, vól@
@a round vessel@|@kejnes@
@a small bird@|@žiž, žïž@
@a small fish@|@gurina@
@a small fly@|@nom, nom-, nomj-, num@
@a water bird@|@kosis@
@across@|@kechcheb@
@air@|@sinad, sined, sined, sinëd, sinëd, sinöd@
@alder@|@lol-pu, lom-pu, lopu, vov-pu@
@all@|@bid@
@alt@|@važ@
@an onion-like plant@|@komij, ku.mic@
@and@|@da, i@
@angel@|@andel, idög@
@animal@|@pemös, poda@
@annual ring@|@si@
@ant@|@kodzivkot, kojul, kójul, kojul-kot, kožul-kot@
@ant (1)@|@kejiv@
@apple@|@iablöis, ulmö@
@arm@|@ki, soi@
@armpit@|@konuvt, konvos, kumlés, kunles, kunul@
@arrow@|@n'öv, nev, nil, núl@
@ash@|@kin', pöim@
@ashes@|@pejim, po.im@
@asp@|@pi-pu@
@autumn@|@ar@
@axe@|@cher@
@axle@|@dod-vož, ož, vož@
@back@|@mak@
@back side of a knife@|@tiš, tišk-, tøš@
@bad@|@lök@
@bald@|@kuš@
@bark@|@keja, kirs, kor, ku@
@barley@|@chuž, chužj-, cuž, cuž-, cužj-, id@
@basket@|@kuda@
@bast@|@kaj@
@be born@|@sod-, su.d-@
