@English@|@Korean (Hangul)@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\14@
@0@|@공, 영 [零], 제로@
@1 [pure Korean]@|@하나, 한@
@1 [Sino-Korean]@|@일@
@10 [pure Korean]@|@열@
@10 [Sino-Korean]@|@십@
@100@|@백@
@10000@|@만@
@100000000@|@억@
@2 [pure Korean]@|@둘@
@2 [Sino-Korean]@|@이@
@20 [pure Korean]@|@스물@
@21st century@|@이십일 세기@
@3 [pure Korean]@|@셋@
@3 [Sino-Korean]@|@삼@
@30 [pure Korean]@|@서른@
@4 [pure Korean]@|@넷@
@4 [Sino-Korean]@|@사@
@40 [pure Korean]@|@마흔@
@5 [pure Korean]@|@다섯@
@5 [Sino-Korean]@|@오@
@50 [pure Korean]@|@쉰@
@6 [pure Korean]@|@여섯@
@6 [Sino-Korean]@|@육@
@60 [pure Korean]@|@예순@
@7 [pure Korean]@|@일곱@
@7 [Sino-Korean]@|@칠@
@70 [pure Korean]@|@일흔@
@8 [pure Korean]@|@여덟@
@8 [Sino-Korean]@|@팔@
@80 [pure Korean]@|@여든@
@9 [pure Korean]@|@아홉@
@9 [Sino-Korean]@|@구@
@90 [pure Korean]@|@아흔@
@a@|@한@
@a.m.@|@오전@
@a; an@|@하나@
@aardvark@|@땅돼지@
@aardwolf@|@땅늑대@
@abacus@|@주판@
@abandon [v]@|@버리다@
@abbreviate@|@단축하다, 생략 하다@
@abdomen@|@복, 복강@
@able [a]@|@기운 있는, 능란한, 할수 있는@
@abnormal@|@변태의@
@abortion@|@낙태@
@about@|@한@
@about [time]@|@쯤@
@about when@|@언제 쯤@
@above@|@위@
@abridge@|@단축하다@
@abroad@|@외국, 해외@
@abscess@|@농양@
@absence@|@결석, 부재@
@absolute@|@무제한언@
@absolutely@|@완전히, 절대로@
@absurd remark@|@허튼소리@
@Abu Dhabi@|@아부다비@
@AC@|@교류@
@academia@|@학계, 학구적인 세계@
@academic [a]@|@대학의, 학원의@
@academic [n]@|@대학교수, 대학생, 학구적인 사람@
@acappella@|@반주 없게@
@acceleration [degree of]@|@가속도 [加速度]@
@accelerator@|@가속 페달, 악세레터@
@accept@|@받아요, 수락하다@
@acceptance@|@수락@
@accident@|@서고@
@accident [traffic]@|@사고@
@accident and emergency@|@응급실@
@accommodation@|@속소@
@accordion@|@아코디언@
@account [bank]@|@계좌@
@account [on account of]@|@때문에@
@ache@|@아파요@
@Achilles tendon@|@아킬레스건@
@acid@|@시다@
@acidosis@|@산성증@
@acknowledge@|@승인하다@
@acknowledge [v]@|@인정하다@
@acorn@|@도토리, 에이콘@
@acrobat@|@곡예사@
@across@|@건너편에, 맞은편@
@act arrogantly@|@콧대를 세우다@
@act in a silly manner@|@까불다@
@act proudly@|@코가 높다@
@active@|@활용적이다@
@actor@|@배우@
@actor [film]@|@영화배우@
@actress@|@배우, 여우@
@acupressure@|@지압@
@ad infinitum@|@영구히@
@adapt [v]@|@익숙해지다@
@adapter [electrical]@|@어댑터@
@add [H]@|@가 [加]@
@addiction [n]@|@중독@
@adding [n]@|@첨가 [減加], 추가 [追加]@
@Addis Ababa@|@아디스 아바바@
@addition [n]@|@첨가 [減加], 추가 [追加]@
@address [n]@|@주소@
@adequate@|@충분한@
@adhere@|@붙어있다@
@adjective [n]@|@형용사@
@administrator [n]@|@행정관@
@admiration@|@감탄@
@admire [v]@|@존경 하다@
@admission fee@|@입장료@
@admit [v]@|@인정하다@
@adopt@|@채택한 위하여@
@adoptee@|@입양아@
@adoptive father@|@양부@
@adult@|@대인, 어른@
@adult [n]@|@대인, 성인, 어른@
@adultery@|@간통@
@advance@|@미리@
@advance payment@|@선불@
@adventure@|@모험@
@adverb@|@부사@
@advertisement@|@광고, 선전@
@advise [v]@|@조언하다@
@adze [cutting tool]@|@까뀌@
@adzuki bean@|@팥@
@aeroplane@|@비행기@
@aesthetics@|@미학@
@Afghanistan@|@아프가니스탄@
@Africa@|@아프리카@
@Afrikaans@|@아프리카어@
@after@|@다음, 후, 후에@
@after dark@|@해거름 다음에@
@afternoon@|@오후@
@afterwards@|@뒤에, 후에@
@again@|@다시, 또@
@again [say again]@|@다시 말하다@
@against@|@대, 반대@
@against [be against]@|@걸리다@
@age@|@나이, 세@
@age [honorific]@|@연세@
@age [person's]@|@나이@
@age [time]@|@시대@
@agenda [meeting]@|@안건@
@ago@|@전에@
@agreeable@|@기분좋은, 상쾌한@
@agreement@|@합의@
@ah [interjection]@|@아@
@aid [charity]@|@도움@
@AIDS@|@에이즈@
@air@|@공기@
@air hostess@|@스튜어디스@
@air pollution@|@공기 오염@
@air-conditioning@|@에어컨@
@aircraft@|@비행기@
@aircraft carrier@|@항공모함, 항모@
@airline@|@항공사@
@airline ticket@|@비행기표@
@airmail@|@항공우편@
@airplane@|@비행기@
@airport@|@공항@
@airport bus@|@공항버스@
@al Qaeda@|@알카에다@
@alarm [bank; shop]@|@비상벨@
@alarm call@|@알랍콜@
@alarm clock@|@알람, 자면종, 자명종@
@Alaska@|@알래스카@
@Albania@|@알바니아@
@albatross@|@신천에다@
@alchemist@|@연금사, 연금술사@
@alchemy@|@연금술@
@alcohol@|@알콜@
@alcohol lover@|@애주가 [愛酒家]@
@ale@|@에일@
@alias@|@가명 [假名]@
@alibi@|@알리바이@
@alien land@|@타국@
@alive [be alive]@|@살아 있다 (살아 있어요)@
@all@|@다, 모두@
@all day@|@하루종일@
@all kinds of@|@여러가지@
@all matters@|@만사@
@all muddy@|@흙투성이@
@all of it@|@전부@
@all together@|@모두, 한꺼번에@
@Allah@|@알랗@
@allegiance@|@충성@
@alley@|@골목@
@almost@|@거의@
@alone@|@스스로, 혼자, 홀로@
@along@|@따라서@
@alphabet [Korean alphabet]@|@한글@
@alphabet [n]@|@알파벳@
@alphabetic [a]@|@알파벳@
@already@|@벌써, 이미@
@alright@|@괜찮다@
@also@|@도@
@altar@|@참성단@
@aluminium@|@알루미늄@
@aluminium foil@|@알미늄 호일@
@aluminium wrap@|@알미늄 호일@
@always@|@늘, 언제나, 항상@
@Alzheimer [illness]@|@알츠하이머 병@
@amaranth@|@비름@
@ambulance@|@구급차@
@amen@|@아멘@
@America@|@미국@
@American English@|@미국 영어@
@American person@|@미국 사람@
@amphetamine@|@암페타인@
@amphibian [n]@|@수륙 양용비행기@
@amphibious@|@수륙 양용@
@amputation@|@절단@
@Amsterdam@|@암스테담@
@amusing@|@재미있는@
@anachronistic [a]@|@시대 착오@
@anaesthetic@|@마취약@
@analogue@|@아날로그@
@anarchism@|@아나키즘@
@anatomy@|@해부학@
@ancestor@|@조상@
@anchor@|@닻@
@anchovy@|@멸치@
@ancient@|@옛날@
@ancient [a]@|@고대@
@ancient style [calligraphy]@|@예서 입문@
@and@|@과, 그리고, 또, 와, 하고@
@and so@|@그래서@
@Andorra@|@안도라@
@Andy@|@앤디@
@angel@|@각, 귀, 낚다, 모서리@
@angle@|@각@
@Anglican@|@영국 성공회@
@Angola@|@안골라@
@angry@|@화난@
@animal@|@동물, 마리@
@animosity@|@반감@
@ankle@|@발목@
@Anna@|@안나@
@anniversary@|@기념일@
@another [different kind]@|@다른 거@
@another [one more]@|@하나 더@
@answer [n]@|@대답@
@answer [spoken]@|@대답, 응답@
@answer [written]@|@회신@
@answering machine@|@자동응답기@
@ant@|@개미@
@antelope@|@영양@
@anthropology@|@인류학@
@antibiotic@|@항생제@
@Antigua and Barbuda@|@앤티가 바부다@
@antihistamine@|@항히스타민제@
@antimony@|@안티모니, 안티몬@
@antipathy@|@반감@
@antiquity [n]@|@고대@
@antiseptic@|@살균제, 소독제@
@anus@|@항문@
@any@|@무슨@
@anyone@|@아무나@
@anything@|@아무 것, 아무거나@
@anything at all@|@아무거나@
@anywhere@|@어디나@
@apartment@|@아파트@
@apartment block@|@아파트@
@ape@|@원숭이, 유인원@
@aphid@|@진디@
@apologize [v]@|@빌리다 (빌려요)@
@apology@|@사과, 사죄@
@apostasy@|@배교@
@apparatus@|@기@
@appendicitis@|@맹장염@
@appetite@|@밥맛, 입맛@
@appetizer@|@전채@
@apple@|@사과@
@apple juice@|@사과 주스@
@apple tree@|@사과나무@
@application [computer]@|@프로그램@
@application [job]@|@신청@
@apply [H]@|@가 [加]@
@applying paste@|@풀칠@
@appointment@|@약속@
@appreciate [v]@|@감사 하다, 고마워하다, 이해 하다@
@approval@|@승낙@
@approximately@|@가량 [假量], 쯤, 한@
@apricot@|@살구@
@April@|@사월@
@apron@|@앞치마@
@aqua regia@|@왕수@
@Arabic [a]@|@아랍@
@archaic characters@|@전서@
@archipelago@|@군도@
@architecture@|@건축학@
@Argentina@|@아르헨티나@
@argon@|@아르곤@
@Arirang@|@아리랑@
@arise [v]@|@일어나다 (일어나요)@
@arm@|@팔@
@arm in arm@|@팔짱끼다@
@arm rest@|@팔걸이@
@arm used as pillow@|@필베개@
@arm wrestling@|@팔씨름@
@armchair@|@팔걸이의자@
@Armenia@|@아르메니아@
@armour@|@갑옷@
@armrest@|@팔걸이@
@arms [n]@|@무기@
@around [time]@|@쯤@
@around here@|@근처@
@arrange@|@조정하다@
@arrival@|@도착@
@arrival [n]@|@도착@
@arrivals [airport]@|@도착@
@arrive@|@도착하다 (도착해요)@
@arrogantly [act arrogantly]@|@콧대를 세우다@
@art@|@미술@
@art gallery@|@미술관@
@artery@|@동맥@
@arthritis@|@관절염@
@article@|@물건@
@artist@|@화가, 화가 [畵家]@
@as many as@|@무려@
@as soon as possible@|@가능한 빨리@
@ascend@|@비상 하다, 올라 가다@
@ashtray@|@재떨이@
@Asia@|@아시아@
@ask@|@묻다 (물어요), 물어보다 (물어봐요), 칠문하다@
@ask for [v]@|@원하다@
@asparagus@|@아스파라거스@
@aspirin@|@아스피린@
@assassinate@|@암살하다@
@assembly@|@회의@
@assignment@|@숙제@
@assistant [shop]@|@도우미, 점원@
@assumption [n]@|@가정 [假定]@
@aster@|@과꽃@
@asteroid@|@소행성@
@asthma@|@천식@
@astronomy@|@천문학@
@at@|@에, 에서@
@at a glance@|@한눈에@
@at home@|@집에@
@at midday@|@정오에@
@at night@|@밤에@
@at once@|@곧, 이제@
@at one time@|@한꺼번에@
@at sign []@|@골뱅이@
@at the moment@|@지금@
@at what place@|@어디 에서@
@at what price@|@얼마@
@athletics@|@스포츠, 운동 경기@
@Atlantic Ocean@|@대서양@
@ATM@|@현금 인출기@
@atmosphere [of place]@|@분위기@
@atrocity@|@극악@
@attack [n]@|@공격@
@attack [v]@|@공격하다@
@attack with knife@|@칼을 맞다@
@attend [a place]@|@가다 (가요)@
@attend [v]@|@다니다@
@attendance@|@출석@
@attending [a]@|@다닐@
@attract@|@끌다@
@attractive@|@예쁜@
@aubergine@|@가지@
@audience [theatre]@|@관객@
@audio type@|@카세트 테이프@
@August@|@팔월@
@aunt@|@아주머니, 이모@
@aunt [maternal aunt]@|@이모@
@aunt [paternal aunt]@|@고모@
@aunt [wife of father's y. br.]@|@속모@
@Australia@|@오스트레일리아, 호주@
@Australian person@|@호주 사람@
@Austria@|@오스트리아@
@author@|@작가, 저자@
@authority@|@권능, 권력, 권력자, 권위자@
@autism@|@자폐증@
@auto car@|@자동차@
@automatic [car]@|@오토@
@autonomous@|@자치@
@autonomy@|@자율성@
@autumn@|@가을@
@autumn leaves@|@당풍@
@auxiliary@|@보조의@
@availability [n]@|@가용도@
@avalanche@|@산사대@
@avenue@|@거리, 도로@
@avian influenza@|@조류 독감@
@avocado@|@아보카도@
@away from@|@떠나서@
@awl@|@송곳@
@axis of evil@|@악의 주축@
@azalea@|@진달래@
@Azerbaijan@|@아제르바이잔@
@azure@|@하늘색@
@B&B@|@민박@
@baby@|@아기, 애기, 유아@
@baby food@|@유아식@
@baby milk@|@아기 우유@
@baby seat@|@유아석@
@baby wipes@|@아기용 물수건@
@Babylon@|@바빌론@
@back [body]@|@등@
@back [in the back]@|@뒤@
@back [lower back]@|@허리@
@back [n]@|@등@
@back [of body]@|@등@
@back elbow@|@뒤팔꿈@
@back kick@|@뒤차기@
@back sole@|@뒤꿈치@
@back stance@|@뒷굽이 서기@
@backback@|@배낭@
@backbite@|@흉보다@
@bacon@|@베이컨@
@bacteria@|@박테리아, 세균@
@bad [a]@|@나쁜@
@bad [be bad]@|@나쁘다@
@bad [character]@|@나쁜@
@bad [food]@|@맛없는, 상한@
@badger@|@오소리@
@badminton@|@배드민턴@
@bag@|@가방, 자루, 포대@
@bagel@|@배글 빵@
@baggage@|@짐@
@baggage reclaim@|@수하물 수취대@
@Baghdad@|@바그다드@
@Bahamas@|@바하마@
@Bahrain@|@바레인@
@bait [n]@|@먹이, 미끼@
@bake [v]@|@굽다 (구워요)@
@bakery@|@빵집, 제과점@
@Baleares [islands]@|@발레아레스 제도@
@ball@|@공, 구, 볼@
@ball point pen@|@불펜@
@ballpoint pen@|@볼펜@
@baloney@|@헛소리@
@banana@|@바나나@
@band@|@그룹, 단체, 악단@
@band [music]@|@밴드@
@bandage@|@반창고@
@bandana@|@밴대나@
@bang@|@팡팡@
@bank [institute]@|@은행@
@bank [n]@|@은행@
@bank [of stream]@|@냇가@
@bank account@|@계좌@
@banker@|@은행원@
@banknote@|@지폐@
@bankruptcy@|@파산@
@banter [n]@|@야유@
@Baptist@|@침례교@
@bar [drinking place]@|@바, 술집@
@bar [n]@|@술집@
@bar of chocolate@|@초콜릿 가게@
@barbecue@|@바비큐@
@barbecue [v]@|@석쇠에 굽다@
@barbiturate@|@바르비투르 상염@
@bargain@|@염가, 할인@
@bark@|@나무껍질, 수피@
@barley@|@보리@
@barrel@|@통@
