@English@|@Korean@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@abalone@|@cheonbok@
@abdomen@|@bae@
@abnormal@|@isanghae@
@abortion@|@yusan@
@absent@|@kyeolgeun@
@absent-minded@|@meonghagoineun@
@abundance@|@bungbu@
@abundant@|@bungbuhan@
@academy@|@hagweon@
@accommodation (lodgings)@|@sugso@
@accomplice@|@gongbeomja@
@ache@|@apeuyo@
@acorn@|@dotori@
@acquaintance@|@aneunsaram@
@actor@|@nambaeu@
@actress@|@yeobaeu@
@add@|@deohada@
@address (mail)@|@juso@
@adjust@|@jeongdonhada@
@administrator@|@haengjeonggwan@
@adopted son@|@yangja@
@adult@|@eoreun@
@adventure@|@moheom@
@adventurer@|@moheomga@
@advertisement@|@kwanggo@
@advice@|@chunggo@
@advise@|@chunggohada@
@adviser@|@joeonja@
@aeroplane@|@bihaenggi@
@affection (love)@|@aejong@
@afraid@|@museoweohaneun@
@afternoon@|@ohu@
@age (period)@|@yeondae@
@age (years)@|@nai@
@ago@|@jeone@
@agree@|@tongeuihada@
@air (atmosphere)@|@gonggi@
@air base@|@gonggun giji@
@air conditioning@|@naengnanbang@
@aircraft@|@bihaenggi@
@airmail@|@hanggong@
@airplane@|@bihaenggi@
@airport@|@gonghang@
@alarm clock@|@jamyeongjong@
@alcohol@|@alko-ol@
@algebra@|@daesuhak@
@alive@|@saraineun@
@all@|@modu@
@alligator@|@akeo@
@alone@|@honja@
@alphabet@|@alpabet@
@aluminium@|@alruminyum@
@ambassador@|@daesa@
@ambulance@|@gugupcha@
@America@|@miguk@
@American person@|@migukin@
@anatomy@|@haebu@
@ancestor@|@josang@
@angel@|@cheonsa@
@angry@|@hwaganan, seongnaso@
@animal@|@dongmul@
@ankle@|@balmok@
@anniversary@|@ginyeomil@
@answer@|@daedap@
@ant@|@gaemi@
@apartment@|@apaateu@
@ape@|@weonsungi@
@apple@|@sagwa@
@apricot@|@salgu@
@April@|@saweol@
@aquarium@|@sujokgwan@
@archaeology@|@gogohak@
@archery@|@gungsul@
@architect@|@geonchukga@
@architecture@|@geonchuksul@
@area (space)@|@myeonjeok@
@arithmetic@|@sansu@
@arm@|@pal@
@army@|@yukgun@
@artist@|@hwaga@
@Asia@|@asia@
@asthma@|@cheonsik@
@astrology@|@jeomseonghak@
@astronomer@|@cheonmunhakja@
@astronomy@|@cheonmunhak@
@athlete@|@undong seonsu@
@athletics@|@undong gyeonggi@
@Atlantic@|@daeseoyang@
@atlas@|@jidochaek@
@atom@|@weonja@
@August@|@palweol@
@aunt@|@sukmo@
@author@|@jeoja@
@automobile@|@jadongcha@
@autumn@|@gaeul@
@avalanche@|@nunsatae@
@aviation@|@bihaeng@
@aviator@|@bihaengsa@
@axe@|@doggi@
@baby@|@agi@
@back (body part)@|@dwi@
@backbone@|@cheokchu@
@bacon@|@beikeon@
@baggage@|@suhamul@
@bake@|@gupda@
@bald@|@daemeori@
@balloon@|@pungseon@
@bamboo@|@taenamu@
@banana@|@banana@
@band (music)@|@akdae@
@bandage@|@bungdae@
@bank@|@eunhaeng@
@barber@|@shop ibalgwan@
@base (of operations)@|@budae@
@baseball@|@yagu@
@basketball@|@nonggu@
@bat (animal)@|@bakji@
@bath@|@mokyok@
@bath tub@|@mokyoktong@
@bathe@|@mokyokhada@
@bathroom@|@hwajangsil@
@beach@|@haebyeon@
@bear@|@gom@
@beard@|@suyeom@
@beautiful@|@areumdaun@
@beauty parlour@|@mijangweon@
@bed@|@jimdae@
@bed clothes@|@jamot@
@bedding@|@jimguryu@
@bedroom@|@jimsil@
@bee@|@kkulbeol@
@beef@|@sogogi@
@beehive@|@kkulbeoljip@
@beer@|@maekju@
@beginner@|@joboja@
@believer@|@seunim@
@Bible@|@seonggyeongchaek@
@bicycle@|@jajeongeo@
@big@|@keuda@
@bill@|@gyesanseo@
@billiards@|@danggu@
@binoculars@|@ssangangyeong@
@biography@|@jeongi@
@biology@|@saengmulhak@
@bird@|@sae@
@birthday@|@saengil@
@birthplace@|@julsaengji@
@black@|@geomjeongsaek@
@black market@|@amsijang@
@black pepper@|@huchu@
@blackboard@|@jilpan@
@blanket@|@damyo@
@bleach@|@pyobaekhada@
@blood@|@pi@
@bloom@|@kkochi pida@
@blossom@|@kkot@
@blouse@|@beulrauseu@
@blue@|@pureun@
@blueprint@|@jeongsajin@
@boar (wild)@|@mettwaeji@
@board@|@baereultada@
@boat@|@bae@
@body@|@yukche@
@boil@|@ggeulta@
@bone@|@bbyeo@
@book@|@chaek@
@bookstore@|@seojeom@
@bottle@|@byeong@
@bottom@|@mitbadak@
@bottomless@|@mitbadaki eopneun@
@bouquet@|@ggotdabal@
@bow (head)@|@jeolhada@
@bowl@|@sabal@
@boy@|@namja-ai@
@bracelet@|@paljji@
@brain@|@noe@
@branch (tree)@|@gaji@
@bread@|@bbang@
@bride@|@sinbu@
@bridegroom@|@sillang@
@brides man@|@sillang deulreori@
@bridesmaid@|@sinbu deulreori@
@bring@|@gajyeo-oda@
@broadcasting station@|@bangsongguk@
@broil@|@gupda@
@broken@|@buseojin@
@bronchitis@|@gigwanjiyeom@
@broom@|@bicharu@
@brown@|@galsaek@
@bucket@|@yangdongi@
@Buddha@|@bucheo@
@Buddhism@|@bulgyo@
@Buddhist@|@bulgyodo@
@Buddhist temple@|@jeol@
@bull (animal)@|@hwangso@
@bull frog@|@sikyong gaeguri@
@bus@|@beoseu@
@butcher@|@pujuhan@
@butter@|@beoteo@
@butterfly@|@nabi@
@button@|@danchu@
@button hole@|@danchu gumeong@
@buy@|@sada@
@cabbage@|@yangbaechu@
@cake@|@keikeu@
@calculate@|@gyesanhada@
@calculation@|@gyesan@
@calendar@|@dalyeok@
@calf@|@songaji@
@camel@|@nakta@
@camera@|@sajingi@
@camping@|@yayeong@
@campus@|@hakgyo gunae@
@candle@|@yangcho@
@candle light@|@chotbul@
@candle stick@|@chotdae@
@candy@|@satang@
@car@|@jadongcha@
@career@|@jikjangin@
@carpenter@|@moksu@
@carrot@|@danggeun@
@cat@|@goyangi@
@caterpillar@|@pulsswaegi@
@cave@|@gul@
@celery@|@selreori@
@cemetery@|@gongdongmyoji@
@centipede@|@jine@
@ceremony@|@yesik@
@chair@|@uija@
@chalk@|@bunpil@
@change (money)@|@jandon@
@checker board@|@janggipan@
@checkers@|@seoyangjanggi@
@cheek@|@bbyam@
@cheese@|@chijeu@
@chemistry@|@hwahak@
@cherry@|@beojji@
@chess@|@cheseu@
@chest@|@gaseum@
@chestnut@|@bam@
@chewing@|@gum ggeom@
@chewing gum@|@ggeom@
@chicken (animal)@|@dak@
@chicken meat@|@dakgogi@
@child@|@eorini@
@chin@|@teok@
@china@|@dojagi@
@China@|@jungguk@
@Chinese (people)@|@junggukin@
@Chinese language@|@junggukeo@
@chocolate@|@chokeolrit@
@chopsticks@|@jeotgarak@
@Christian@|@gidokgyoin@
@Christmas@|@seongtanjeol@
@church@|@gyohoe@
@cigarette@|@dambae@
@circle@|@weonhyeong@
@city@|@dosi, si@
@city centre@|@sinae@
@classmate@|@donggeupsaeng@
@classroom@|@gyosil@
@clock@|@datda@
@closet@|@byeokjang@
@clothes@|@ot@
@coat@|@oetu@
@cob web@|@geomijul@
@coconut@|@yajayeolmae@
@coffee@|@kopi@
@college@|@dangwadaehak@
@comb@|@bit@
@community@|@sahoe@
@company (firm)@|@hoesa@
@competition@|@gyeongjaeng@
@concert@|@eumakhoe@
@cone@|@weonbbul@
@congratulation@|@chukha@
@consonant@|@jaeum@
@contagious@|@jeonyeomseong@
@contaminate@|@oyeomsikida@
@contest (n.)@|@gyeongju@
@contraband@|@milsu@
