@English@|@Kosraean@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@above@|@fac-@
@all@|@kwewa, nuhkwewa@
@and@|@ac, mA@
@ash@|@-pEt, a-pEt, apact@
@at@|@i-, ke@
@back@|@fin tohkoh, fin tuku-n, tok, toko(l), tuku(n)@
@bad@|@nahsuhk@
@be knowledgeable@|@(a)-kyle-(n)@
@belly@|@in-siyac@
@below@|@ye@
@big@|@lAlæp, yohk@
@bird@|@tuhram, won@
@black@|@sroalsroal, srulsrul@
@blood@|@sræ, srah@
@bone@|@sri@
@branch@|@læ, lah, lwe@
@breast@|@titi, titi-(n), twetwe-(l)@
@child@|@nætA-(l), tAlik, tuhlihk@
@cloud@|@puhkuhn yeng@
@cold@|@mihsrihsr, mysrysr, ou, oyou@
@correct@|@pwacye@
@day@|@lwen@
@dirty@|@fohkfohk@
@dry@|@paho@
@dull@|@sahfiht@
@ear@|@insrwac, srwac@
@earth@|@infohk@
@egg@|@ahtro@
@eye@|@mAta-, muhta@
@fat@|@fact@
@father@|@pahpah, tAmwE-(l), tuhma@
@feather@|@unac, une-(n)@
@fire@|@e@
@fish@|@apil, ik@
@flower@|@yosep@
@fog@|@ohk@
@four@|@æng, ahng, yoko@
@good@|@wo@
@Good afternoon@|@Len wo@
@Good evening@|@Eke wo@
@good morning@|@Lotu wo@
@Good night@|@Fong wo@
@Goodbye@|@Muta@
@grass@|@mah@
@green@|@folfol sra@
@hair@|@in-sifac, une-(n)@
@hand@|@pæo-(l), paho, po@
@he@|@el@
@head@|@in-sifac, olo-(l), ulu-(n)@
@heavy@|@toasr@
@house@|@iwE-, lohm, yuwac, yuwE-@
@how?@|@fuhkah@
@husband@|@tuhmwac@
@I@|@nga@
@if@|@fin, fuhnuh@
@in@|@loac, loE, lu-(n)@
@intestines@|@fohk@
@leaf@|@sra@
@left@|@lacsac@
@leg@|@niyac, niyé-(l), niye-(n)@
@lightning@|@sahrom@
@liver@|@acs, Es, esyE-(l)@
@long@|@loes@
@louse@|@kut@
@man@|@mukul, wen@
@meat@|@ikoac, ikoE-(n)@
@moon@|@mæ-lwem, mahlwem@
@mosquito@|@em-(syE), emsyac@
@mother@|@ninac, ninE, nnæ@
@mouth@|@oal, oali-(k)@
@My name is@|@Inek pa@
@name@|@e@
@narrow@|@ohsrihksrihk@
@near@|@yuru-(n)@
@neck@|@in-kwacwac@
@needle@|@ninuhl@
@new@|@sasuh@
@night@|@fohng, fong@
@no@|@moh, sA-, se-@
@No@|@Mo@
@nose@|@fwac, fwE@
@old@|@mahtuh@
