@English@|@Kott@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of berry@|@šulpan, šulpán, šulpi@
@a k. of duck@|@aganga, agangan, akänga, althax, fur, fur, phur, phur@
@a k. of duck (1)@|@althagan, althakng@
@a k. of fish@|@thatn, thit@
@a k. of salmon@|@pat, patn@
@a k. of wood grouse@|@hupan, hupi@
@a small inset@|@dera, derán, detn, dira, dirä, direi, ditn@
@above@|@ujal@
@acroos@|@thëta@
@alive@|@éditu, ëtang, ëti, ëtï, etutu@
@angry@|@haipicháng@
@animal hole@|@kurup@
@ankle-bone@|@kächoga@
@ant@|@althïtekan@
@arm@|@kenar@
@arrow@|@hatagëm, khem, tem, tym, xamang, xem@
@ashes@|@fenang, fenangan, finang, funang, phenang@
@at home@|@hüchapeang@
@aunt@|@häja, häjan, häjei@
@autumn@|@höran, hörang, höri, hörï@
@away@|@üša, ušfe, ušfoattang, ušpe, ušpoattang@
@awl@|@tüt, tütn@
@back@|@hapar, hapar, haparang, kogar, xabar@
@backwards@|@šuga, šúka, šúxa@
@backwater@|@hautan, hautu@
@badger@|@haš@
@barking@|@cham, chamáng@
@bat@|@tagalá, tagála@
@bathing@|@ul-šui@
@be born@|@anigej, anigejang@
@bear@|@šajang@
@beard@|@gulub, halüp, halupang, hulup, hulüpang, xlup, xulup, xulüp@
@bearing@|@anagejang, anei, šigei@
@beater of the shaman drum@|@faitung, faitungán, phaitung@
@beaver@|@uršä, urše@
@beetle@|@xon@
@behind@|@tugalin@
@being there@|@ínej, ïng, ínij@
@bellow@|@ïtal@
@belly@|@thalok, thalox, tulók@
@below@|@ganala, hänal, thegal, thegalchang, thigal@
@belt@|@hïtakng, hïtëg, hïtëx, thakng, thég, théx, xitej@
@bench@|@jáfolang@
@bent@|@fiafui, phiafui@
@berry@|@chamar šulpi, fi, figan, figang, phi, šulpi@
@big@|@fachä, pacha, páchaga, phachä@
@big mountain@|@pachai, pachaji, zii@
@bind@|@öngang@
@birch@|@üca, ücan, ucha, ycha@
@birch bark@|@qy'j@
@bird@|@nenašili@
@bitch@|@penga-alchip@
@black@|@thum@
@blackly@|@tuma@
@blood@|@šur, šürang@
@blow@|@bafujang@
@blue@|@urekbas@
@bluely@|@šuenga@
@board@|@däfal, däfalang, däfol, däful@
@boat@|@khep, xajp, xapang, xep, xëp@
@body@|@hitag, hitagan, hitax@
@bone@|@arang, arangan, qagal, xagal, xakal@
@bow-string@|@gijtu, the, thekng, thi, thikng@
@boy@|@jali@
@brain@|@-nang, kö-nang, kö-nang@
