@English@|@Krytz@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st (masc.) class marker@|@0, j@
@2d-3d sing. class marker@|@b, w@
@3d p. imperative@|@-i@
@4th sing. class marker@|@-r-@
@a diminutive suffix@|@-ng@
@a plant with edible leaves@|@qöw@
@a prohibitive particle@|@m-@
@a small thing@|@kelket@
@above@|@wa-rä@
@ache@|@tit-@
@adjective substantivator plur.@|@-b@
@adjective substantivator sing.@|@-d, -zh@
@ant@|@jyz@
@apple@|@jech@
@arm@|@kyl@
@ashberry@|@nuräj@
@ashes@|@räq@
@ass@|@lem@
@autumn@|@jemx-izh@
@autumn wool@|@jis@
@axe@|@jok@
@back@|@jiq, sini@
@bag@|@xeb@
@ball@|@kot, kwat@
@barley@|@myx@
@barrel@|@bik@
@bast@|@zhigäl@
@bear@|@sar, xuj-@
@beard@|@zhiri@
@bed@|@mis@
@bed-bug@|@šut@
@beech-tree@|@pip@
@belly@|@fän@
@besom@|@magul@
@big@|@bu@
@big metal cauldron@|@kädyr@
@bind@|@ju=tul-@
@birch@|@merx@
@bitch@|@käch@
@black@|@lähä@
@blood@|@iräzh@
@boar@|@wak@
@bone@|@käräp@
@bottom@|@qän@
@branch@|@cili@
@bread@|@fu@
@breast@|@mäm, maxar@
@breath@|@'al@
@bridge@|@q:aw@
@bring@|@t-ugh-@
@brother@|@ši-d@
@burn@|@ug-azh@
@butter@|@chem@
@buttercup@|@zarzar@
@cabin@|@päzh@
@cake@|@kuk@
@calf@|@läh@
@cap@|@tätäx@
@cat@|@gäch@
@cave@|@cherä@
@cheek@|@kwatin@
@cheese@|@nisi, nissi@
@cicada@|@zhinzhira@
@clitoris@|@cyc@
@cloud@|@zhif@
@colostrum cheese@|@tä'@
@conditional@|@-änä@
@conjunctive@|@-eni-m@
@cornel@|@zhimel@
@cornfield@|@nik@
@cow's dung@|@xid@
@cradle@|@qu-su@
@cramp@|@täb@
@cream@|@zher@
@cubit@|@juq@
@cuckoo@|@gugu@
@dark@|@miche@
@dative@|@-s@
@daughter@|@riš@
@day@|@jigh@
@deaf@|@bešä-d@
@deer@|@mirg@
@dem. pronoun@|@li@
@demonstrative pronoun@|@ä-d, ä-m@
@denominative nominal@|@-wäl@
@desiderative@|@-dä-m, -dä-räj@
@directive prefix@|@q:-@
@dirt on the neck@|@mäch@
@dog@|@xwar@
@door@|@räk@
@dream@|@neq-ir@
@dried carcass@|@q:äx@
@drop@|@tykyn@
@dry@|@sä'ä@
@dung@|@käch, käche@
@dust@|@rug@
@ear@|@ibyr@
