@English@|@Kurdish@
@Author name@|@GPL@
@Font@|@Arial\12\Arial\12@
@# Erdal Ronahî@|@# Maintainer@
@# GNU Public Licence (GPL)@|@# Licence@
@# www.linux-ku.com/ferheng@|@# Project homepage@
@a@|@yek, yekem tîpa alfabeya inglîzî@
@A@|@(muz) a (not), a (li fêrgehan baştirîn pile)@
@A.@|@kurteya Absolute, kurteya Academy, kurteya acre, kurteya America[n], kurteya angstrom unit, kurteya Anno (= year), kurteya Artillery@
@abandon@|@berdan@
@abate@|@kêmkirin@
@abide@|@ragirtin@
@about@|@der barê@
@above@|@jor@
@abridge@|@kurtkirin@
@abscond@|@revîn@
@absence@|@tunebûn@
@absolute@|@xwerû@
@absorb@|@mêtin@
@abstract@|@razber@
@abundance@|@mal@
@abundant@|@berdar, kertek@
@acceptation@|@wate@
@access@|@gihiştin, xwegihandin@
@accident@|@bobelat, qeda@
@account@|@hesab, sedem@
@accountable@|@berpirs, berpirsiyar@
@accurate@|@rast@
@accustomed@|@fêr@
@ache@|@êşîn@
@acid@|@tirş@
@acrid@|@tûj@
@acrobat@|@canbaz@
@act@|@tevgerîn, zagon@
@action@|@bandor, bizav, çalakî, gurbizî, mêş@
@actions@|@çalakî@
@active@|@çalak@
@activities@|@çalakî, çalakiyan, çalakiyên@
@activity@|@bizav, çalakî@
@actress@|@aktrîs@
@actual@|@rastîn@
@actually@|@bi rastî@
@acute@|@tûj@
@adapt@|@lêanîn@
@add@|@zêdekirin@
@address@|@navnîşan@
@adept@|@pispor@
@adhere@|@çespandin@
@adjective@|@rengdêr@
@adjust@|@edilandin, lêanîn, sererastkirin@
@administer@|@birêvebirin, kargerandin@
@administration@|@kargerî@
@adolescence@|@ciwanî, xortanî@
@adroit@|@jêhatî@
@adventure@|@serborî@
@advertise@|@ragihandin@
@advice@|@pend@
@afar@|@dûr@
@affair@|@bûyer@
@affect@|@bandorlêkirin@
@affirmative@|@erênî@
@afflatus@|@best@
@affluence@|@mal@
@afresh@|@cardin@
@after@|@piştî@
@afterward@|@peyre@
@again@|@cardin, dîsa@
@against@|@dijber, hember@
@age@|@temen@
@agency@|@ajans@
@agenda@|@rojev@
@aggress@|@êrîşkirin@
@aggression@|@êrîş@
@agitate@|@çelqandin, hejandin, têwerdan@
@ago@|@berê@
@agony@|@kêşa@
@agreement@|@peyman@
@agricultural instruments@|@alatên çandiniyê, alav, amûret, hacet@
@ahead@|@pêş@
@aid@|@arîkarî@
@aide@|@alîkar, arîkar@
@aim@|@amanc, armanc@
@air@|@hewa@
@airconditioner@|@basark@
@akin@|@mîna@
@alien@|@biyanî@
@alike@|@manend, mîna@
@alive@|@jîndar, sax, şeng, zindî@
@all@|@hemû, sercem, tev, yekpare@
@allow@|@berdan@
@allowance@|@destûr@
@allowed@|@destûr da@
@allright!@|@bila be@
@almond@|@behîv, melaje@
@alone@|@tenê@
@alphabet@|@alfabe@
@already@|@jixwe@
@also@|@hem, jî@
@alter@|@guherîn@
@although@|@lê belê@
@always@|@domdar, her dem, tim@
@am@|@im@
@ambassador@|@balyoz, sefîr@
@ambitious@|@bi hêrs@
@ambush@|@bûse, kemîn@
@ameliorate@|@sererastkirin@
@amend@|@sererastkirin@
@amity@|@dostanî, nasyarî@
@among@|@nav@
@ample@|@gewre, girs, kertek@
@analyze@|@dahûrandin@
@ancestor@|@bapîr, kalik@
@anchor@|@qulbik, xepar@
@ancient@|@kevn, mêj@
@and@|@û@
@anecdote@|@derkenar@
@anesthetize@|@belikandin, benckirin@
@angel@|@ferişteh, melek@
@angry@|@bi hêrs, girgîn@
@anguish@|@renc@
@animal@|@sewal@
@anise@|@anîs, anix@
@announce@|@ragihandin@
@announced@|@ragihand@
@annul@|@rakirin@
@anomalous@|@neasayî@
@anonymous@|@gelêrî@
@another@|@din@
@answer@|@bersiv@
@ant@|@morî@
@antecedent@|@pêşîn@
@anterior@|@mêj@
@anticipate@|@bendeman, payîn@
@antique@|@kevnare, perûk@
@anxiety@|@tirs, xof@
@any@|@qe, yek@
@apex@|@lûtke, serî@
@apologia@|@berevanî, parêzname@
@apologist@|@berevan@
@apostrophe@|@dabir@
@appaled@|@apore, qutifî@
@apparatus@|@alav, amûr, rist@
@apparent@|@diyar, vekirî@
@appeared@|@xwiya bû@
@appendix@|@apandîs, rûviya zêde@
@applicable@|@guncaw@
@applicant@|@berendam@
@application@|@kiryar, melhem@
@apply@|@sepandin@
@apposite@|@guncaw@
@apprehend@|@fehmkirin, fêmkirin, têgihiştin@
@apprehension@|@aqil, tirs, xof@
@appropriate@|@guncaw@
@approve@|@erêkirin, pesendkirin@
@apt@|@guncaw@
@are@|@î@
@area@|@aqar, herem, pêgeh, war@
@arid@|@ziwa@
@arise@|@rabûn@
@arm@|@bask, mil, pî@
@arrange@|@rêzkirin, sererastkirin@
@arrest@|@binçavî, binçavkirin, rawestandin, sekinandin@
@arrive@|@gihan@
@art@|@huner@
@article@|@gotar@
@as@|@fena, mîna, nola, nolî, wek, wekî@
@ascension@|@bilindbûn@
@asinine@|@xêvik@
@ask@|@pirs kirin@
@asked@|@pirs kir@
@assassin@|@bikuj, mêrkuj@
@assault@|@êrîş, êrîşkirin@
@assemble@|@berhevkirin, lihevcivîn@
@assimilate@|@lêanîn@
@association@|@komel, komele, sazî, sazûman@
@assumption@|@pêşbînî@
@assurance@|@soz@
@astounded@|@apore, qutifî@
@astrology@|@stêrnasî@
@at@|@li@
@athirst@|@tî@
@atmosphere@|@seqa@
@attack@|@êrîş, êrîşkirin@
@attain@|@gihan@
@attempt@|@ceribandin@
@attention@|@bal, dêhn, serinc@
@attenuate@|@kêmkirin@
@attractive@|@balkeş@
@auger@|@behreme@
@aunt@|@xaltî@
@aurum@|@zêr@
@author@|@nivîskar, nûser@
@authority@|@hukûmet, pispor, raye@
@autonomic@|@xweser@
@autonomous@|@xweser@
@autumn@|@payîz@
@avenue@|@kolan, kûçe@
@average@|@kêmzêde@
@await@|@bendeman, payîn@
@award@|@xelat@
@awful@|@tirsnak@
@awkward@|@pêgiran@
@ax@|@bivir@
@axe@|@bivir@
@axle holding pins@|@akêra sinriyê@
@back@|@dû, par, paş, paşve, pey, pişt@
@bad@|@pûç, sext, xera, xwar@
@bad omen@|@bedbext@
@bag@|@çewal@
@bail@|@derhûde@
@baker@|@nanpêj@
@balance@|@hevkêş@
@bald@|@gurî, keçel, zelût@
@ballad@|@goranî, kilam, lawij@
@ballet@|@bale@
@balloon@|@nepox@
@ballot@|@deng@
@ban@|@qedexe, qedexekirin@
@bangle@|@xelek@
@bank@|@bank, kom@
@bankrupt@|@babidest, malketî@
@banner@|@al@
@bar@|@çaw, ço@
@bark@|@ewtîn@
@barley@|@ceh@
@barrister@|@parêzer@
@base@|@bin, bingeh, binî, binyad, hîm, xîm@
@baseless@|@bêbingeh@
@basic@|@bingehîn, sade@
@basin@|@çapemenî@
@basis@|@bingeh, binyad, hîm@
@basket@|@selik@
@bat@|@çilîçilî@
@batter@|@kutan, lêbezîn, lêdan, lêxistin@
@battle@|@ceng@
@bay@|@ewtîn@
@be@|@bûn@
@beach@|@perav@
@beam@|@biriqîn, çirûsîn, teyisîn@
@bear@|@ragirtin@
@beard@|@rih@
@beast@|@sewal@
@beat@|@kutan, lêbezîn, lêdan, lêxistin@
@beauteous@|@bedew, zerî@
@beautiful@|@bedew, zerî@
@beauty@|@bedewî, rindî@
@became@|@bû@
@because@|@ji ber ku, lewre@
@become@|@bûn@
@becomes@|@bû ne@
@bed@|@nivîn@
@bee@|@mêş@
@been@|@bû@
@before@|@berê, bêyî ku, pêşîn@
@began@|@dest pê kir@
@beggar@|@geda, parsek@
@begin@|@destpêkirin@
@beginning@|@destpêk@
@behave@|@tevgerîn@
@behold@|@dîtin@
@being@|@bûn@
@belief@|@bawerî, qinyat@
@believe@|@bawerî, bawerîpêanîn, bawerkirin, pêewlebûn, yeqînkirin@
@bell@|@naqos, zengil@
@below@|@bin@
@bench@|@sekû@
@beneficial@|@bikêrhatî@
@benefit@|@havil, kar, kelk, sûd@
@beside@|@kêlek, rex, tenişt@
@best@|@herî baş@
@better@|@çêtir@
@between@|@navber@
@bewilder@|@gêjkirin@
@bicycle@|@duçerxe@
@big@|@gewre, girîng, girs, mezin@
@biggest@|@ye/ya herî mezin@
@bilk@|@xapandin@
@billfold@|@kîs@
@biology@|@biyolojî@
@birth@|@zayîn@
@bitter@|@req, sext, zeb@
@black@|@çepel, gemar, kirêt, mujikî, qilêr, reş, tarî@
@blacksmith@|@hesinkar@
@blade@|@şûr@
@blast@|@teqîn@
@bleed@|@xwînjêhatin@
@blemish@|@kêmasî, xeletî@
@blind@|@kor@
@blood@|@xû, xwîn@
@blush@|@fedîkirin@
@bodies@|@leş@
@body@|@beden, cendek, laş@
@boil@|@kelandin@
@bold@|@aza, çeleng, dilawêr, egît, mêrxas@
@bolt@|@brûsk@
@bombs@|@bomb@
@bone@|@hestî@
@book@|@pirtûk@
@booty@|@extirme@
@border@|@kevî, sînor, tixub@
@borer@|@behreme@
@both@|@her dû@
@bottom@|@bin, binî, binyad, jêr@
@bound@|@girêdayî@
@boundary@|@sînor, tixub@
@bounteous@|@camêr, çavfireh@
@bowel@|@rovî@
@boy@|@lawik, xort@
@boyfriend@|@hevalê xort@
@bracelet@|@bazin@
@bracket@|@kevan@
@brain@|@aqil, jîrî@
@brave@|@çeleng, dilawêr, egît, leheng, mêrxas@
@brawl@|@pevçûn@
@bread@|@nan@
@breath@|@bêhn, henase@
@breed@|@babet, zayend@
@breeze@|@sir@
@brew@|@kelandin@
@bride@|@bûk@
@bridge@|@pir@
@briefly@|@bi kinahî@
@bright@|@bextewar, jîr, xûjal, zelal@
@brim@|@kevî@
@bring@|@anîn, weranîn@
@broad@|@diyar, fireh@
@broke@|@şikand@
@broken@|@aloz, şkestî, xera@
@bruise@|@çewsandin, gerisandin@
@brute@|@sewal@
@bucket@|@satil@
@budget@|@diravname@
@build@|@avakirin, çêkirin, damezrandin, sazkirin@
@bullock@|@ga@
@bureau@|@nivîsgeh@
@burn@|@şewitandin, şewitîn@
@burnish@|@biriqandin, mesqelkirin, teyisandin@
@burst@|@teqîn@
@business@|@pirsgirêk@
@buss@|@paçkirin, ramûsîn@
@but@|@belam, bes, lê@
@button@|@bişkoj@
@buttonhole@|@mêjî@
@buy@|@kirîn@
@by@|@bi, heta, heya@
@by force@|@bi kotekî@
@bystander@|@bîner@
@cabbage@|@çilfisandin, dizîn@
@cache@|@hilanîn@
@cake@|@kulîçe@
@calculate@|@hesibandin@
@call@|@bang, dengdan, dengkirin, denglêkirin, gazî, gazîkirin@
@calls@|@bang dike@
@calm@|@aram, asûde@
@caloric@|@tîn@
@came@|@hat@
@camp@|@baregeh, wargeh@
@can@|@dikare@
@canal@|@co, cok@
@cancel@|@betalkirin@
@candidate@|@berendam, namzed@
@candle@|@find@
@cane@|@gopal@
@cap@|@kum@
@capacity@|@kapasîte@
@capital@|@paytext, serbajar@
@caption@|@sernûçe@
@captured@|@girtî@
@car@|@tirimbêl@
@card@|@kart@
@care@|@bergirî, xem@
@carefree@|@bêxem@
@careful@|@baldar@
@caressing each other@|@bihevşabûn@
@carpet@|@tej@
@carrot@|@gêzer@
@carry@|@birin, guhêztin, veguhêztin@
@case@|@doz@
@cat@|@pisîk@
@cataclysm@|@bêtar@
@catastrophe@|@bêtar@
@catch@|@girtin, zeftkirin@
@category@|@çîn@
@cause@|@sedem@
@caution@|@bergirî, haydan@
@cave@|@şikeft@
@cease@|@kutabûn, rawestandin@
@ceiling@|@sepîtk@
@celebrated@|@binavûdeng, navdar@
@cell@|@şane@
@cellar@|@xenzik@
@center@|@navend, naverast@
@central@|@navendî@
@centre@|@navend, naverast@
@centres@|@navend@
@centrical@|@navendî@
@century@|@sedsal@
@ceramic@|@ferfûr@
@ceramics@|@ferfûr@
@certain@|@mîsoger@
@chafe@|@firkandin@
@chamber@|@menzel, ode@
@chameleon@|@margîse@
@change@|@guharin, guhartin, guherandin, guherîn@
@changed@|@guhart, guherrandin, guherrî, guhorrand, guhorrî@
@channel@|@co, cok@
@chanticleer@|@dîk@
@chaos@|@alozî@
@chapter@|@beş@
@character@|@sinc, taybetmendî@
@characterize@|@binavkirin@
@charge@|@barkirin, biha, buha, tawanbarkirin@
@chary@|@baldar@
@chase@|@seyd@
@chaste@|@xwerû@
@cheap@|@erzan@
@cheat@|@xapandin, xirandin@
@checkroom@|@derben@
@cheek@|@dêm@
@cheerful@|@şeng@
@cheese@|@penîr@
@child@|@zarok@
@childhood@|@biçûkahî@
@children@|@zarok@
@chilly@|@hênik, sar@
@chimney@|@bixêrî, kulek@
@chin@|@zenî@
@chorus@|@koro@
@chuck@|@avêtin@
@church@|@dêr@
@cinder@|@arî, xwelî@
@city@|@bajar@
@claim@|@dilkirin, maf, xwestin@
@claimed@|@heqê@
@class@|@çîn@
@classes@|@çîn@
@claw@|@kulab@
@clay@|@gil@
@clean@|@avîje, pak, pakkirin, pakûj, paqij, paqijkirin, xwerû@
@cleanly@|@avîje, pak, paqij@
@clear@|@diyar, eşkere, pakûj, paqijkirin, pendî, temîz, zelal@
@clever@|@aqilmend, jêhatî, zîrek, zîrevan@
@clique@|@kom@
@close@|@girtî@
@closer@|@nêzîktir@
@cloth@|@caw@
@cloud@|@ewr@
@cloudy@|@ewrawî@
@clover@|@ket, nefel@
@club@|@komele@
@cluster@|@kom@
@coal@|@rijî@
@coat@|@sako@
@cock@|@dîk@
@coffin@|@darbest@
@colander@|@mefsik@
@cold@|@bahor, sar, zekem@
@collar@|@berstûk, gerdenî, pastîn, pîst@
@collect@|@komkirin@
@color@|@boyax, gûn, reng@
@come@|@gehîştin, gihaştin, hatin, ragihiştin@
@comic@|@degel, ecêb@
@command@|@ferman@
@commend@|@pesindan@
@commentary@|@şîrove@
@commerce@|@bazirganî@
@commission@|@komîsyon, lijne, peywir, vatinî@
@common@|@digel, gelemper, gelemperî, gerdûnî, giştî, hevbeş, hevpar, ligel@
@communicate@|@ragihandin@
@communism@|@komunîzm@
@community@|@civat@
@companion@|@heval@
@company@|@malpar, şirket@
@compendious@|@kin, kurt@
@competent@|@hemser, hevser, hinkuf@
@competition@|@pozberî@
@competitor@|@berber@
@compilation@|@berhevok@
@compile@|@berhevkirin@
@complete@|@tev@
@component@|@hêman@
@computer@|@komputer@
@conceal@|@veşartin@
@conceited@|@pozbilind@
@conception@|@têgih, têgîn@
@concern@|@bal, pêwendî, xem@
@concerned@|@pêwend@
@concert@|@sazdêran@
@concise@|@kurt@
@conclude@|@bidawîkirin, dawîlêhatin, kutabûn@
@conclusion@|@bidawîbûn, dawî@
@condition@|@barîdox@
@conditions@|@şert@
@conduct@|@tevgerîn@
@conflict@|@pêvçûn@
@congress@|@kongre@
@consecution@|@qor, ref@
@consider@|@fikirîn, hizrîn@
@conspicuous@|@diyar@
@constant@|@domdar@
@constituent@|@hêman@
@constitution@|@makezagon@
@construct@|@avakirin@
@contemporary@|@hevçerx, hevdem@
@contention@|@qirên@
@contest@|@doz@
@continent@|@parzemîn@
@continue@|@domîn@
@continuous@|@mayînde@
@contra@|@dij@
@contribute@|@tevkarî kirin@
@contribution@|@gotar, hevpar, hevparî@
@control@|@kontrol@
@convenient@|@guncaw@
@convention@|@civîn@
@conversation@|@axaftin, cir, dembûhêrk@
@convey@|@guhêztin, veguhêztin@
@convocation@|@civîn@
@cool@|@hênik, hênikkirin@
@copartner@|@hevpar@
@copious@|@kertek@
@copper@|@sifir@
@copy@|@kopya, nimûne, wekok@
@cord@|@bend@
@corn@|@dexl@
@corporal punishment@|@seza laşî@
@corpse@|@cendek@
@correspond@|@lêguncîn@
@corrupt@|@pûç@
@cost@|@biha, buha@
@cough@|@kuxik@
@council@|@konsey@
@count@|@hejmartin@
@count on@|@hemet@
@countries@|@welat@
@country@|@welat@
@couple@|@cot, zo@
@courageous@|@çeleng, dilawêr, egît, leheng, mêrxas@
@course@|@alî, rex@
@court@|@dadgeh@
@cover@|@bahane, behane, betenî, bihane, dadan, devik, hêcet, hêncet, nixamtin, niximandin, nixumandin, penageh, qeram, stargeh, veşartgeh@
@covering of the joists@|@alaşkirin@
@cow@|@çêlek, mange@
@coward@|@bêzirav, bizdonek, tirsonek@
@crab@|@kevjal@
@crack@|@şkandin@
@cradle@|@dergûş@
@crash@|@şkandin@
@crazy@|@dîn@
@create@|@afirandin, dahênan, darêjtin@
@credence@|@bawerî@
@credit@|@kredî@
@crime@|@tawan@
@crisis@|@qeyran@
@criterion@|@pîvan@
@critique@|@rexne@
@crop@|@zad@
@crowd@|@girse@
@crude@|@xav@
@cruel@|@çavsor, stemkar, xedar, zordar, zordest@
@crust@|@tivil@
@cry@|@girîn@
@cryptic@|@nepenî@
@cull@|@neqandin@
@culture@|@çand, ferheng@
@cumulate@|@komkirin@
@cunning@|@bernac, kone, xasûk@
@cure@|@tîmar@
@curiosity@|@zîranî@
@curious@|@ecêb@
@curse@|@çêrlêkirin, nifir@
@cushy@|@hêsan@
@cusp@|@lûtke, serî@
@custom@|@ferheng@
@cut@|@birîn, jê kirin@
@cute@|@bernac, kone, xasûk@
@d@|@d@
@daft@|@dîn@
@daily@|@rojane@
@dam@|@bend@
@damage@|@ziyan@
@damp@|@şil@
@dance@|@reqisîn, reqs@
@danger@|@xeter, xetere@
@dangerous@|@xeternak@
@dare@|@wêrîn@
@dark@|@tarî@
@dash@|@avêtin@
@data@|@agahî@
@date@|@dîrok@
@daughter@|@keç@
@dawn@|@berbang@
@day@|@roj@
@daybreak@|@berbang, metîn, spêde@
@daylight@|@ronahî@
@days@|@roj@
@dead@|@bêcan, mirî@
@deaden@|@belikandin, benckirin@
@deal@|@bazarî, peyman@
@dear@|@berdil, delal@
@death@|@mirin@
@debate@|@nîqaş@
@deceit@|@tep@
@deceive@|@xapandin, xirandin@
@decide@|@biryar standin@
@decision@|@biryar@
@decisions@|@bîryar@
@declivity@|@berwar@
@decoration@|@xeml@
@decrease@|@kêmkirin@
@dedicate@|@nezirkirin@
@deep@|@kûr@
@default@|@rawêj@
@defect@|@kêm, kêmasî@
@defer@|@gîrokirin@
@deficiency@|@kêmî@
@definite@|@teqez@
@defraud@|@xapandin, xirandin@
@defray@|@dan, dayin@
@deft@|@jêhatî@
@degree@|@paye, pil, pile, rade@
@delegate@|@qasid@
@delight@|@kêf@
@demand@|@daxwaz, dilkirin, divêtin, hewceyî, pêdivî, pirsîn, viyan, xwestin@
@demented@|@dîn@
@democrat@|@demokrat@
@democratic@|@demokratîk@
@denotation@|@wate@
@dentine@|@aca diran@
@department@|@bask@
@depend on@|@hemet@
@deplore@|@gunehpêhatin@
@depress@|@kesirandin@
@depth@|@kûrahî@
@deputy@|@cîgir@
@derogate@|@kêmkirin@
@descent@|@irq, nîjad, regez, zayend@
@describe@|@binavkirin@
@description@|@babet, zayend@
@desert@|@berdan, beyaban, destjêberdan@
@desire@|@awat, daxwaz@
@destination@|@armanc, hind@
@destiny@|@bext, çarenûs@
@detach@|@çareserkirin@
@detain@|@rawestandin, sekinandin@
@detect@|@sehkirin@
@determinate@|@teqez@
@determined@|@teqez@
@detonate@|@teqîn@
@detriment@|@ziyan@
@development@|@pêşketin@
@devil@|@şeytan@
@devote@|@nezirkirin@
@devoted@|@dilsoz@
@devour@|@dabêlandin, daqurtandin@
@dexterity@|@huner@
@dialogue@|@danûstandin@
@dictator@|@zordar@
@dictionary@|@ferheng@
@did@|@kir@
@diddle@|@xapandin@
@died@|@mir@
@diet@|@parêz@
@different@|@cuda@
@difficult@|@dijwar, giran@
@difficulty@|@asteng@
@diffuse@|@rijandin@
@diminish@|@kêmkirin@
@dingy@|@çepel, gemar, kirêt, mujikî, qilêr@
@dinner@|@şîv@
@diploma@|@destûrname@
@dipper@|@hesk@
@direction@|@alî, hind, rex@
@director@|@gerînende, karger@
@dirt@|@qilêr, qirêj@
@dirty@|@çepel, gemar, kirêt, mujikî, qilêr@
@disadvantage@|@ziyan@
@disassociate@|@veqetandin@
@disaster@|@bêtar, bobelat, karesat, qeda@
@disburse@|@dan, dayin@
@discern@|@sehkirin@
@discussion@|@nîqaş@
@dislike@|@nefret kirin@
@disorderly@|@bêserûber@
@dispensary@|@tîmargeh@
@dispense@|@belavkirin@
@dispose@|@bikaranîn@
@dispute@|@qirên@
@disrupt@|@jêkirin, qetandin@
@disservice@|@ziyan@
@dissociate@|@veqetandin@
@dissolve@|@çareserkirin, helandin@
@distance@|@mesafe@
@distribute@|@belavkirin, dabeşkirin, parkirin@
@disturb@|@kesirandin@
@disturbed@|@gêj@
@ditch@|@kend@
@divide@|@dabeşkirin, parkirin@
@division@|@şax@
@do@|@encamdan, kirin@
@doctor@|@bijîşk@
@document@|@belge@
@dodge@|@lêp@
@does@|@dike@
@dog@|@kûçik, kûtî, se@
@doleful@|@daxbar, dilbikul, xemgîn@
@domestic@|@kedî@
@donate@|@bexişandin@
@done@|@kirî@
@donkey@|@ker@
@donor@|@dayende@
@door@|@derî@
@dope@|@bêmêjî@
@dot@|@deq, xal@
@doubt@|@guman, gumanbarbûn@
@doubtless@|@bêguman@
@down@|@ber bi jêr, jêr, jêrîn@
@dragon@|@ziha@
@draw@|@xêzkirin@
@dreadful@|@tirsnak@
@dream@|@xewn@
@dress@|@cil, fistan, kinc, wergirtin@
@drill@|@behreme, qulkirin@
@drink@|@vexwarin@
@drip@|@dilopkirin, niqutîn@
@drive@|@ajotin@
@drop@|@dilop, dilopkirin, niqut, niqutîn@
@druggist@|@dermanfiroş@
@drum@|@dahol@
@drummer@|@daholjen@
@drunken@|@mest@
@dry@|@sext, ziwa@
@duct@|@co, cok@
@dumb@|@lal@
@duration@|@mawe@
@dust@|@xubar@
@duty@|@bac, sparte@
@each@|@her@
@eagle@|@balinde, eylo, helo@
@early@|@zû@
@earring@|@guhar@
@earth@|@cîhan@
@earthquake@|@erdhej@
@easeful@|@aram, asûde@
@easily@|@bi hêsanî@
@east@|@rojhilat@
@easy@|@hesan@
@eat@|@xwarin@
@eccentric@|@beloq@
@echo@|@alan, alan dan@
@economic@|@aborî@
@economically@|@aborî@
@economist@|@aborînas@
@economy@|@aborî@
@edge@|@kevî@
@edifice@|@avahî, xanî@
@edition@|@çap@
@education@|@perwerdehî@
@effect@|@bandor, encam@
@effective@|@bibandûr, karîger@
@effects@|@tesîr@
@efficacious@|@karîger@
@effort@|@hewl, kizav, melavî, xîret@
@efforts@|@hewl@
@effuse@|@rijandin@
@egg@|@hêk, qaqê@
@eight@|@heşt, heyşt@
@either@|@an@
@election@|@hilbijartin@
@elections@|@hilbijartin@
@electron@|@elektron@
@element@|@hêman@
@elevation@|@bilindbûn@
@eligible@|@guncaw@
@elongate@|@dirêjkirin@
@else@|@wekî din@
@embassy@|@balyozxane@
@embrace@|@girtin, hembêzkirin, himbêz kirin@
@emend@|@edilandin, sererastkirin@
@eminent@|@serkeftî@
@emit@|@weşandin@
@emotion@|@coşî, dilîn, hes, hest@
@employ@|@bikaranîn@
@employment@|@karûbar@
@empty@|@vala@
@encircle@|@dorpêçkirin@
@enclose@|@pêçan, rapêçan@
@end@|@armanc, bidawîbûn, bidawîkirin, dawî, kuta, kutabûn, kutahî, talî@
@ended@|@xelas bû@
@ending@|@dawî, kuta, kutahî, talî@
@endless@|@bêdawî@
@endure@|@ragirtin@
@enemy@|@neyar@
@energy@|@hêz, wize@
@engulf@|@dabêlandin, daqurtandin@
@enjoyment@|@şad@
@enmity@|@berberî@
@enough@|@bes@
@enter@|@tomarkirin@
@entire@|@sercem, yekpare@
@entourage@|@derdor, derûder, dor, hawirdor@
@environs@|@derdor, derûder, hawirdor@
@ephemeral@|@demdemî@
@equal@|@pat, wekhev@
@equilibrist@|@canbaz@
@equitable@|@dadyane@
@equity@|@dad@
@erase@|@reşkirin@
