@English@|@Lak@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st (masc.) class marker@|@u, w@
@1st p. perfect@|@-w@
@2d class sing@|@d-, r@
@2d p. perf.@|@-unni@
@3d class sing.@|@-w-, b@
@4th class sing.-plur.@|@d-, r@
@a heap of sheaves@|@lizu@
@a high cloud@|@bark, bark-urdil@
@a k. of cereal@|@wit@
@a k. of field grass@|@much:uch@
@a k. of fruit@|@k:urmuz@
@a k. of weed@|@nur@
@a leathern noose@|@nika@
@a lot@|@ciavussa@
@a moment@|@laIp@
@a niche above the roof@|@qanlu@
@a petrified snail@|@laIxcha-baIrchalu@
@a prick@|@his@
@a prohibitive particle@|@ma@
@a skin crease@|@hal@
@a sort of pears@|@k:urk:ul@
@a sp. of barley@|@u@
@a woolen thread@|@marqw@
@ache@|@cu-n@
@alarm@|@lix:aIwu@
@alcoholic drink@|@han@
@all@|@š:al-la, š:ala@
@also@|@gu-ma@
@although@|@nu-gu@
@and@|@wa@
@and if@|@cha-gu@
@anger@|@ag'u, s:i@
@angle@|@murcu@
@ankle-bone@|@qIuršlu@
@anxiety@|@bich:i@
@apple@|@hiwch@
@arable field@|@q:ur@
@arc@|@k:urt:a@
@arise@|@laI=qa-n@
@ascarid@|@š:ira@
@ash@|@lax@
@attention@|@yawa@
@autumn@|@s:ut@
@awl@|@p:a@
@axe@|@rik@
@back@|@t:ilik@
@back of head@|@q:int:a@
@bad@|@uIk:i-s:a@
@bad fruits@|@piq@
@badger@|@x:u-wajs:a@
@bare@|@kacha-s:a@
@bark@|@k:iri@
@barley@|@qa@
@barrel@|@qali@
@barrier@|@bucur@
@basin@|@kichu@
@basket@|@chapa@
@bat@|@x:aIchara-chiIlmu@
@bayonet@|@ch:ala@
@be heading@|@=achi-n@
@bead@|@tunka@
@beads@|@chuIn@
@beak@|@q:iIp:a, qiIt@
@bear@|@cuša@
@beard@|@chiri@
@become curved@|@=a=ch:a-n, =a=ch:i-n@
@bed@|@ša-nu@
@bee@|@naj@
@bees' nectar@|@niIrza@
@beestings@|@chuw@
@beetle@|@ghangharati@
@bellows@|@purš@
@belly@|@läq'a@
@below@|@luw, š:aI@
@belt@|@muhlu@
@big@|@buhpa, qun-, qun-ma-s:a, x'unmassa@
@big vessel for flour@|@kara@
@bilberry@|@mahija@
@birch@|@kaIla-hi@
@bird@|@lelux:i, liIlu:i@
@bird small@|@chiIlmu@
@birth-mark@|@hulu@
@bitch@|@kucha@
@bite@|@q'ac'a t'un, qapan@
@bitter@|@qurchi-s:a@
