@English@|@Lakota@
@Author name@|@Mike Yarnold@
@Font@|@Arial\18\Arial\18@
@(Command statement - Female singular)@|@ye@
@(Command statement - Male plural)@|@po@
@(Command statement - Male singular)@|@yo@
@(Female gender ending  in statement - Singular)@|@ksto@
@(Female gender ending in statement - plural)@|@pe@
@(If a verb ends in u@|@welo, wo@
@(Making a question - female)@|@he@
@(making a question)@|@hwo@
@(Male gender ending in statement  - singular)@|@yeló@
@(Male gender ending in statement - plural)@|@peló@
@(negative marker)@|@Šní@
@(School Terms)@|@ȟláȟla@
@(shows relationship)@|@Ya@
@[a]     (IPA)@|@A a@
@[ã]    (IPA)@|@Aŋ aŋ@
@[b]    (IPA)@|@B b@
@[e]    (IPA)@|@E e@
@[ʃ]    (IPA)@|@Š š@
@[ɡ]    (IPA)@|@G g@
@[h]    (IPA)@|@H h@
@[ɪ]    (IPA)@|@I i@
@[ĩ]    (IPA)@|@Iŋ iŋ@
@[j]    (IPA)@|@Y y@
@[k]    (IPA)@|@K k@
@[kʼ]    (IPA)@|@K’ k’@
@[kʰ]    (IPA)@|@Kh kh@
@[kˣ]    (IPA)@|@Kȟ kȟ@
@[l]    (IPA)@|@L l@
@[m]    (IPA)@|@M m@
@[n]    (IPA)@|@N n@
@[o]    (IPA)@|@O o@
@[p]    (IPA)@|@P p@
@[pʼ]    (IPA)@|@P’ p’@
@[pʰ]    (IPA)@|@Ph ph@
@[pˣ]    (IPA)@|@Pȟ pȟ@
@[ʁ] / [ʀ]    (IPA)@|@Ǧ ǧ@
@[s]    (IPA)@|@S s@
@[t]    (IPA)@|@T t@
@[tʼ]    (IPA)@|@T’ t’@
@[tʃ]    (IPA)@|@Č č@
@[tʃ']    (IPA)@|@Č’ č’@
@[tʃʰ]    (IPA)@|@Čh čh@
@[tʰ]    (IPA)@|@Th th@
@[tˣ]    (IPA)@|@Tȟ tȟ@
@[ʊ]    (IPA)@|@U u@
@[ʊ̃]    (IPA)@|@Uŋ uŋ@
@[w]    (IPA)@|@W w@
@[z]    (IPA)@|@Z z@
@[ʒ]    (IPA)@|@Ž ž@
@[ʔ]    (IPA)@|@’@
@[χ]    (IPA)@|@Ȟ ȟ@
@1 (in counting)@|@Wáŋči@
@1 (in sentences)@|@Waŋží@
@10@|@wikčémna@
