@English@|@Laotian (romanized)@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@@|@á nū lom, á nū lom, á nū lom, á nū lom, á nū lom, cham nan cha, chi va ra ka la sa mai, chi va ra ka la sa mai, chout chop, seuk, seum, sông, sŏng@
@(act of turning wood or metal on a machine)@|@khong sian@
@(Boy)@|@sá koud@
@(date  the...th )@|@ván thi:@
@(French) neon light@|@fay ni on@
@(Khmer)@|@theuk@
@(letter of alphabet)@|@tua@
@(negative or question word particle)@|@bor@
@(progressive form@|@phuam@
@(the island of@|@kor lang ka@
@)@|@chun la phak@
@. N.@|@á nū lom@
@?samlo? tricycle -@|@lōt sarm lor@
@[t@|@thong am nat@
@]@|@sá nă:m fauk hard@
@‘a coconut tree with the color of fire’ used medicinally@|@phao phay@
@“cheap@|@theuk@
@000@|@pá kod, pá kod, pá kod@
@000 one hundred thousand billion@|@pá kod@
@000 years@|@nyuk ka li nyuk, nyuk ti@
@100@|@hoy@
@2nd day of Lao New Year@|@meu nao@
@2nd forest@|@pā: laow@
@35% rice alcohol by volume@|@sú rar rong@
@3rd day of Lao New Year@|@meu nao@
@3rd month@|@ma kha@
@3rd year@|@pi thaun sarm@
@432@|@nyuk ti@
@4th year of dodenary cycle@|@pi maow@
@50@|@pan ya sa@
@60mm mortar@|@peun hok sip@
@6future@|@khang na@
@6th@|@sŏ: tha san@
@80 Km/hour@|@paet sip@
@81mm mortar@|@peun paet sip at@
@864@|@nyuk ka li nyuk@
@a appreciation@|@mu thi ta@
@a bad child@|@á va xard ta boud@
@a bad thing@|@khong hay@
@a bad woman@|@ka li@
@a bamboo with bitter-tasting shoots used medicinally@|@bong khom@
@a bamboo with sugary shoots used medicnally@|@bong wan@
@a basket mage of rattan@|@ka ta huay@
@a beef dish@|@là:p xin@
@a beetle living in refuse@|@ka muan@
@a being endowed with life@|@xi va ni kay@
@a being that shines@|@xo ta ka@
@a bird in the hand is worth two in the bush@|@sip bear kay meu, sip bear kay meu, sip tam leung you phak nam yar day ao kha ning har song sa leung mar meu hay hip kam ao vay, sip tam leung you phak nam yar day ao kha ning har song sa leung mar meu hay hip kam ao vay@
@a bird of one of the following species@|@ka chap@
@a bird of the lark type@|@ka chip pheuang@
@a bird of the parrot family@|@sát ta var@
@a bird of the quail family@|@khum li, khum ma, khum ngua@
@a bird of the woodpecker family@|@thaet@
@a bit@|@noy neung, noy neung@
@a black bird of the crow family@|@ko ki la@
@a black Chinese medicament@|@ya dam@
@a black performed wood@|@kham phak@
@a black rock used in medicine@|@tap phet@
@a black scaled fish measuring 12-15”@|@pa: khor@
@a black scented wood from the tree@|@kit sa na@
@a black silkweed used medicinally@|@ngiv dam@
@a black styptic@|@ma ha non@
@a boat race@|@kheng heu@
@a bonze of the third rank@|@chao hua khu@
@A book of Buddhism@|@mang kha la sut@
@a bowl of earthenware@|@ka om@
@a bowl or basket containing betel and areca presented to the bride’s guardian during the weding ceremony@|@khan mak@
@a branch or vine which bends down@|@feuy@
@a brave man@|@khon kha han@
@a brilliant horoscope@|@kong keo@
@a bronze-footed tray@|@phan thong@
@A brown finger-length fish@|@pa: khi: hear@
@a brown viper with long tail@|@ka ba hang nyao@
@a Buddha statue@|@pha chao ong eung@
@a Buddhist believer@|@phut ma ma ka@
@a burglar gang of more than four members@|@khi phun@
@a bush@|@ban bu ri@
@a bush of the family@|@khem nam@
@a bush of the flooded areas@|@să:m phan tar@
@a bush with dark red flowers@|@á no xar@
@a bush with large while flower@|@xá ba@
@a bush with small round leaves@|@kao kang@
@a bush with white flowers@|@kádom phum@
@a business firm@|@buk khon ni ti som mut@
@a cake of glutinous rice@|@khao khop@
@a catfish@|@pa: phork@
@a catfish of the family Siluridae@|@duk@
@A chapter of the book on the disciples of Buddha@|@ma ha vak@
@a charm (usually of silver)@|@ká tut@
@a cheaply price article@|@khong theuk@
@a chief of spirits@|@phi thay@
@a Chinese flowers used in cooking@|@dok mai chin@
@a Chinese jacket with long sleeves and many buttons@|@kuy heng@
@a Chinese medicament@|@thian dam, thian khao, thiang deng@
@a city and province of southern Laos@|@át ta peu@
@a city of Burma@|@ma la maeng@
@a civet cat@|@chon dam@
@a clever trick@|@ku sa lo bay@
@a climbing lily with poisonous tuber@|@phan ma ha@
@a climbing plant having edible fruit@|@xai@
@a cloth press for squeezing out the cake@|@káterlornsong@
@a clump of (bamboo)@|@kor mai@
@a clump of grass@|@kor nya@
@a clump of rice@|@kor khao@
@a clump of trees@|@kor mai@
@a clump of tubers@|@ngom@
@a coarse shirt@|@seua kar sar@
@a coin@|@sá leung@
@a cold with fever@|@khay nao@
@a collection of rags from a dust heap@|@bang su kun@
@a collection of seven hundred@|@sát sa dok@
@a comer of land@|@mong@
@a communication from the king or queen@|@sá nong aud@
@A composed word@|@kham pha som@
@a condiment of pickled fish@|@pa: som@
@a consonant-vowel combination forming a fyllable@|@săng nhauk@
@a constant supply of food@|@nid phad tar harn@
@a constellation of three stars@|@phor ra ni@
@a container to measure powder@|@sát@
@a cooperative association@|@kong kan@
@a crunching sound@|@khop phor@
@a cry for pity@|@á nīd chung@
@a curved grater made of wood or metal@|@ngong@
@a cycle of time@|@ka la chak@
@a deaf@|@khon hu nuak, khon hu nuak@
@a decorative design@|@thep pha nom@
@a deep hole (as a ravine or canyon)@|@chok vok@
@a destructive wind@|@chan tha va ta@
@a difficult word@|@sáp saeng@
@a dirty object@|@khong pheun@
@a disease charaterized by hematuria@|@mut ta khat@
@a disgusting object@|@khong khi diat@
@a dish of raw chopped beef@|@là:p seua@
@a distance of@|@nyot@
@a division of military elephants@|@chom thap@
@a drum which signals the hour@|@kong nyam@
@a drum which sounds before dawn@|@kong derk@
@a dust heap@|@bang su kun@
@a fabulous mountain@|@pha hom@
@a feigned illness@|@khay man ya@
@a fervent Buddhist@|@ka yom@
@a fervent person@|@sát thar thi ka@
@a few@|@song sarm@
@a few (thing)@|@song sarm an@
@a few days@|@bor thor dia ni@
@a few people@|@noy khon@
@a fih or meat chowder flavored with lemon leaves and Kaffir lime@|@tom yam@
@a fine@|@sin may, sin may@
@A finger-length scaleless fish of the catfihs type@|@pa: ka nhaeng@
@a fire which is burning and spreading@|@fay khok@
@a fish@|@bu@
@a fish or meat chowder made with coconut cream and flovored with lemon leaves@|@tom yam ka thi@
@a fish similar to be larger than pa: xeum@|@pa: nang@
@a fish similar to but larger than@|@pa: khao@
@a fish with a red mouth@|@pa: daeng@
@a fish with a red-tipped tail@|@pa: kheung@
@a fish with long sharp teeth and soft flesh@|@pa: khob@
@a fishing bird as large as an eagle@|@ka ork@
@a fistula in the anus@|@pha khan tha la@
@a flat@|@kheng@
@a flat straw pannier in which paddy rice is tossed to remove chaff@|@kádoung@
@a flat white fish with a red belly@|@pa: mark mong@
@a flattened@|@kheu khang kop@
@a flower@|@ban yen@
@a flowering plant growing in-clearings@|@ka thom@
@a food flavoring@|@nàm nom maew@
@a footed dish@|@chan serng@
@a forest devil or spirit@|@kong koy@
@a forgotten favor@|@mak kha@
@a foul-smelling tree@|@bun nak@
@a fragrant ornamental shrub@|@ma li, ma li son@
@a fresh-water scavenger fish@|@săng ka vard@
@a frog@|@khiat@
@a fruit producing a type of bird-lime used medicinally@|@tum tang@
@a frum which calls the people@|@kong ngan@
@a gambling game played with cowries@|@po: kham@
@a game in which success goes to the one who can throw the Lao harmonica@|@ngaev@
@a game of tossing chopsticks@|@kaeng khi sang@
@a gamr played with shells(counting by fours)@|@kam thua@
@a generation@|@xua khon@
@a gift@|@kam nan@
@a ginger whose flower resembles the crest of a peacock@|@khing nok yung@
@a girl beautiful as the moon@|@chan tha ka la@
