@English@|@Laotian@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@@|@ຈີວະຣະກາລະສະໄຫມ, ຈີວະຣະກາລະສະໄໝ, ຈຸດຈົບ, ຈຳນັນຈາ, ສົງ, ສົ້ງ, ເສິກ, ສຶມ, ອະນຸໂລມ, ອະນຸໂລມ, ອະນຸໂລມ, ອະນຸໂລມ, ອະນຸໂລມ@
@(á nar khar mi: phon) Buddh. the principles to which the sages owe their success in attaining nirvana@|@ອະນາຄາມີຜົນ@
@(á sou pha kam ma tharn) Buddha. meditative trance with complete dislodgment of the spirit@|@ອະສຸພະກັມມະຖານ@
@(act of turning wood or metal on a machine)@|@ຂອງຊ່ຽນ@
@(Boy)@|@ສະກຸດ@
@(date  the...th )@|@ວັນທີ@
@(French) neon light@|@ໄຟນີອອນ@
@(Khmer)@|@ທຶກ@
@(letter of alphabet)@|@ຕົວ@
@(negative or question word particle)@|@ບໍ່@
@(progressive form@|@ພວມ@
@(the island of@|@ເກາະລັງກາ@
@)@|@ຈຸນລະພາກ@
@. N.@|@ອະນຸໂລມ@
@?samlo? tricycle -@|@ລົດສາມລໍ້@
@[t@|@ທົງອຳນາດ@
@]@|@ສະໜາມຝຶກຫັດ@
@‘a coconut tree with the color of fire’ used medicinally@|@ພ້າວໄຟ@
@“cheap@|@ຖືກ@
@000@|@ປະໂກດ, ປະໂກດ, ປະໂກດ@
@000 one hundred thousand billion@|@ປະໂກດ@
@000 years@|@ຍຸກກະລີຍຸກ, ຍຸກຕິ@
@100@|@ຮ້ອຍ@
@2nd day of Lao New Year@|@ມື້ເນົາ@
@2nd forest@|@ປ່າງຫລົ່າ@
@35% rice alcohol by volume@|@ສຸຣາໂຣງ@
@3rd day of Lao New Year@|@ວັນເນົາ@
@3rd month@|@ມາຄະ@
@3rd year@|@ປີຖ້ວນສາມ@
@432@|@ຍຸກຕິ@
@4th year of dodenary cycle@|@ປີງຫມົ້າ@
@50@|@ປັນຍາສະ@
@60mm mortar@|@ປືນຫົກສິບ@
@6future@|@ຂ້າງຫນ້າ@
@6th@|@ໂສທະສັນ@
@80 Km/hour@|@ແປດສິບ ກລມ/ໂມງ@
@81mm mortar@|@ປືນແປດສິບເອັດ@
@864@|@ຍຸກກະລີຍຸກ@
@a appreciation@|@ມຸທິຕາ@
@a bad child@|@ອະວະຊາດຕະບຸດ@
@a bad thing@|@ຂອງຮ້າຍ@
@a bad woman@|@ກາລີ@
@a bamboo with bitter-tasting shoots used medicinally@|@ບົງຂົມ@
@a bamboo with sugary shoots used medicnally@|@ບົງຫວານ@
@a basket mage of rattan@|@ກະຕ່າຫວາຍ@
@a beef dish@|@ລາບຊີ້ນ@
@a beetle living in refuse@|@ກະຫມວນ@
@a being endowed with life@|@ຊີວະນິກາຍ@
@a being that shines@|@ໂຊຕະກະ@
@a bird in the hand is worth two in the bush@|@ສິບຕຳຫລຶ່ງຢູ່ຟາກນ້ຳຢ່າໄດ້ອ່າວຄະນິ່ງຫາ ສອງສະຫລຶງມີມາໃຫ້ຮີບກຳເອົາໄວ້, ສິບຕຳລຶ່ງຢູ່ຟາກນ້ຳຢ່າໄດ້ອ່າວຄະນິ່ງຫາ ສອງສະລຶງມີມາໃຫ້ຮີບກຳເອົາໄວ້, ສິບເບ້ຽໃກ້ມື, ສິບເບ້ຍໃກ້ມື@
@a bird of one of the following species@|@ກະຈາບ@
@a bird of the lark type@|@ກະຈິບເຟືອງ@
@a bird of the parrot family@|@ສັດຕະວາ@
@a bird of the quail family@|@ຂຸ້ມງົວ, ຂຸ້ມມ້າ, ຂຸ້ມຫລີ@
@a bird of the woodpecker family@|@ແທດ@
@a bit@|@ນ້ອຍຫນຶ່ງ, ນ້ອຍຫນຶ່ງ@
@a black bird of the crow family@|@ໂກກິລາ@
@a black Chinese medicament@|@ຢາດຳ@
@a black performed wood@|@ຄຳພັກ@
@a black rock used in medicine@|@ຕັບເປັດ@
@a black scaled fish measuring 12-15”@|@ປາຄໍ@
@a black scented wood from the tree@|@ກິດສນາ@
@a black silkweed used medicinally@|@ງົ້ວດຳ@
@a black styptic@|@ມະຫານົນ@
@a boat race@|@ແຂ່ງເຮືອ@
@a bonze of the third rank@|@ເຈົ້າຫົວຄູ@
@A book of Buddhism@|@ມັງຄະລະສູດ@
@a bowl of earthenware@|@ກະອອມ@
@a bowl or basket containing betel and areca presented to the bride’s guardian during the weding ceremony@|@ຂັນຫມາກ@
@a branch or vine which bends down@|@ເພື້ອຍ@
@a brave man@|@ຄົນກ້າຫານ@
@a brilliant horoscope@|@ກົງແກ້ວ@
@a bronze-footed tray@|@ພານທອງ@
@A brown finger-length fish@|@ປາຂີ້ເຮັ່ຍ@
@a brown viper with long tail@|@ກະບາຫາງຍາວ@
@a Buddha statue@|@ພະເຈົ້າອົງຫນຶ່ງ@
@a Buddhist believer@|@ພຸດມາມະກະ@
@a burglar gang of more than four members@|@ຂີ້ປຸ້ນ@
@a bush@|@ບານບຸຣີ@
@a bush of the family@|@ເຂັມຫນາມ@
@a bush of the flooded areas@|@ສາມພັນຕາ@
@a bush with dark red flowers@|@ອະໂນຊາ@
@a bush with large while flower@|@ຊະບາ@
@a bush with small round leaves@|@ກາວກາງ@
@a bush with white flowers@|@ກະດອມພຸ໋ມ@
@a business firm@|@ບຸກຄົນນິຕິສົມມຸດ@
@a cake of glutinous rice@|@ເຂົ້າໂຄບ@
@a catfish@|@ປາເຜາະ@
@a catfish of the family Siluridae@|@ດຸກ@
@A chapter of the book on the disciples of Buddha@|@ມະຫາວັກ@
@a charm (usually of silver)@|@ກະຕຸດ@
@a cheaply price article@|@ຂອງຖືກ@
@a chief of spirits@|@ຜີໄທ້@
@a Chinese flowers used in cooking@|@ດອກໄມ້ຈີນ@
@a Chinese jacket with long sleeves and many buttons@|@ກຸຍເຮັງ@
@a Chinese medicament@|@ທຽນຂາວ, ທຽນດຳ, ທຽນແດງ@
@a city and province of southern Laos@|@ອັດຕະປື@
@a city of Burma@|@ມະລະແຫມ່ງ@
@a civet cat@|@ຈອນດຳ@
@a clever trick@|@ກຸສະໂລບາຍ@
@a climbing lily with poisonous tuber@|@ພັນມະຫາ@
@a climbing plant having edible fruit@|@ໄຊ່@
@a cloth press for squeezing out the cake@|@ກະເຕິລອດຊ່ອງ@
@a clump of (bamboo)@|@ກໍ່ໄຜ່@
@a clump of grass@|@ກໍ່ຫຍ້າ@
@a clump of rice@|@ກໍ່ເຂົ້າ@
@a clump of trees@|@ກໍ່ໄມ້@
@a clump of tubers@|@ໂງມ@
@a coarse shirt@|@ເສື້ອກາສາ@
@a coin@|@ສະລຶງ@
@a cold with fever@|@ໄຂ້ຫນາວ@
@a collection of rags from a dust heap@|@ບັງສຸກຸນ@
@a collection of seven hundred@|@ສັດສະດົກ@
@a comer of land@|@ມ້ອງ@
@a communication from the king or queen@|@ສະຫນອງໂອດ@
@A composed word@|@ຄຳຜະສົມ@
@a condiment of pickled fish@|@ປາສົ້ມ@
@a consonant-vowel combination forming a fyllable@|@ສັງໂຍກ@
@a constant supply of food@|@ນິດພັດຕາຫານ@
@a constellation of three stars@|@ພໍຣະນີ@
@a container to measure powder@|@ສັດ@
@a cooperative association@|@ກົງການ@
@a crunching sound@|@ຂົບເພາະ@
@a cry for pity@|@ອະນິດຈັງ@
@a curved grater made of wood or metal@|@ງ້ອງ@
@a cycle of time@|@ກາລະຈັກ@
@a deaf@|@ຄົນຫູຫນວກ, ຄົນຫູໜວກ@
@a decorative design@|@ເທບພະນົມ@
@a deep hole (as a ravine or canyon)@|@ໂຈກໂຫວກ@
