@English@|@Latin@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@"send out" a letter or ambassador@|@dirigo@
@(+ abl.)@|@super (prep.)@
@(+ acc.)@|@sileo, somnio@
@(+ dat.)@|@blandior, infundo infudi infusum, obviam@
@(+ gen.)@|@patiens@
@(+ refl.)@|@adstringo (persons)@
@(+abl.)@|@palam@
@(+acc.)@|@erubesco (+ inf.)@
@(+verb in subj.)@|@sicut@
@(adv.)@|@aliquis, ante (prep. + acc.), vel, videlicet@
@(cause)@|@per (+ acc.)@
@(character)@|@corrumpo (documents), fervens@
@(command)@|@ut (+ subj.)@
@(esp. aginst chastity)@|@culpa@
@(ex improviso)@|@improviso@
@(in dat.)@|@obvius@
@(in pl.)@|@pignus@
@(intransitive)@|@contingo@
@(ironically)@|@videlicet (adv.)@
@(marriage bed)@|@cubile@
@(means/instrument)@|@per (+ acc.)@
@(med.)@|@vicinus, villa@
@(metals)@|@decoquo@
@(mil.)@|@expeditus@
@(milit.)@|@erumpo, pono posui positum@
@(of a disease)@|@corripio@
@(of persons)@|@reconcilio@
@(of rivers)@|@lambo@
@(of space)@|@per (+ acc.)@
@(of time)@|@per (+ acc.), porro@
@(of words)@|@sono@
@(pass + abl)@|@delecto@
@(persons)@|@laboriosus@
@(prep. + abl.)@|@ex (= e )@
@(property)@|@distraho (persons)@
@(purpose)@|@ut (+ subj.)@
@(result)@|@ut (+ subj.)@
@(revenue)@|@redeo@
@(rivers)@|@subluo@
@(sometimes)@|@infirmus@
@(the abbess)@|@qua (fem. sing. abl.)@
@(the building)@|@cuius (neut. sing. gen)@
@(the church)@|@quam (fem. sing. acc.)@
@(the eagerness)@|@quo (neut. sing. abl.)@
@(the man)@|@quem (masc. sing. acc.)@
@(the milkmaid)@|@quae que (fem. sing. nom.)@
@(the money)@|@quo (masc. sing. abl.)@
@(the monster)@|@cui (neut. sing. dat.)@
@(the prince)@|@qui (masc. neut. nom.)@
@(the queen)@|@cuius (fem. sing. gen.)@
@(the saint)@|@cuius (masc. sing. gen.)@
@(the sea)@|@quod (neut. sing. acc.)@
@(the war)@|@quod (neut. sing. nom.)@
@(things)@|@accedo@
@(time)@|@duco, infra (+ acc.), inibi, iuxta (+ acc.)@
@(trans.)@|@lamentor@
@(wind)@|@concido@
@(with inf.)@|@ingredior@
@(with verbs of hindering@|@quin@
@)@|@lugeo@
@* appointed@|@statutum tempus@
@* draw near@|@adpropinquo@
@* joy@|@gaudium@
@* leader@|@princeps@
@* suffer capital punishment@|@plecto aliquem capite@
@? Herimann@|@solio@
@[+ abl.] deuoid of@|@cassus@
@[+ abl.] free from@|@securus@
@[+ abl.] settle@|@compono@
@[+ abl.] to be devoid of whatever@|@cassus@
@[+ acc] make resound with@|@resono@
@[+ ad@|@inhio@
@[+ comp. adj.] more than usually@|@solito@
@[+ dat.] to be the equal of@|@equipero@
@[+ dat] to speak in favor of@|@suadeo@
@[+ gen.] fellowship with@|@commercium@
@[+ gen] to be lord and master of@|@dominor@
@[+ gen] unreliable@|@levis@
@[+ gen] untroubled by@|@securus@
@[+ in] prosecute@|@exercitatio@
@[+ inf.] is of importance@|@attinet@
@[+ inf] accustomed to@|@suetus@
@[+ remis] ply one's oars@|@insurgo@
@[+ subj clause] to be better@|@praesto@
@[+ subj.] rather@|@quin@
@[+ yerga@|@verto@
@[-a@|@cavus@
@[a] suppliant@|@supplex@
@[acc] for sale@|@venum@
@[adj.] reviling@|@blasphemus@
@[adj] courageous@|@bellator@
@[boundary] line@|@cardo@
@[cavi cautum] beware@|@caveo@
@[dative] for sale@|@veno@
@[inesse@|@insum@
@[instrument of] deceit@|@dolus@
@[leather] helmet@|@galea@
@[left] behind@|@post tergum@
@[make a] bust@|@tumultuor@
@[med] juror@|@inquisitor@
@[medieval] one holding an honor@|@persona@
@[-onis] punishment@|@castigatio@
@[-orum] an encampment@|@castra@
@[passive] to land@|@appello@
@[persons] careful@|@cautus@
@[pl.] dessert@|@bellaria@
@[political/diplomatic power] influence@|@potentia@
@[property] made safe@|@cautus@
@[resperi@|@respergo@
@[-rexi@|@derigo@
@[sic](adverb)@|@aliquoties@
@[things] secure@|@cautus@
@[vinxi@|@evincio@
@[wish]@|@utinam@
@+ abl. relying upon@|@fretus@
@+ acc.to imagine foolishly@|@somnio@
@+ gen.@|@sterilis@
@+acc.= be on guard against@|@caveo@
@+dare =to publish@|@foras@
@+dat. of a person= take care of@|@caveo@
@+ut+subj.=take care@|@caveo@
@=se@|@sese@
@1@|@opinor@
@1/10 of a legion@|@cohors@
@100 (undeclinable)@|@centum@
@1500th@|@sesquimellesimus@
@3@|@illudo-si-sum, instituo-ui-utum@
@44)@|@didico@
@a@|@aliquis, in@
@-a@|@futurus, iunctus@
@a bad sign (owl?)@|@parro@
@a bad smell@|@foetor@
@a banquet@|@epulae, epulum@
@a barker (such as a dog)@|@latrator@
@a base@|@basis@
@a basket@|@bascauda@
@a bath@|@lauvabrum@
@a beam of wood@|@traba@
@a bean@|@legumen@
@a beating@|@verbera (in pl.)@
@a beginning@|@orsus@
@a bending@|@inflexio@
@a bird of ill-omen@|@parro@
@a bit@|@aliquantulus@
@a bit of money@|@peculium@
@a biting@|@morsus@
@a bitter weed@|@ervum@
@a blacksmith@|@ferrarius@
@a blow@|@plaga@
@a boundary mark@|@terminus@
@a breaking@|@infractio@
@a bringing forward@|@prolatio@
@a brute@|@bellua@
@a bullet@|@plumbum@
@a bundle@|@facis@
@a bushel basket@|@modio@
@a buying@|@emptio@
@a cake@|@laganum@
@a cardinal point@|@cardo duplex@
@a catching@|@captus@
@a certain (one@|@quendam@
@a certain person or thing@|@quidam quaedam quedam quidam@
@a charcoal burner@|@carbonarius@
@a charge@|@decursio (milit.)@
@a charge in court@|@querimonia@
@a chestnut or chestnut@|@castanea@
@a church@|@basilica@
@a citizen of the lowest rank@|@proletarius@
@a clam@|@peloris@
@a clarification@|@declaratio@
@a clean sweep@|@everriculum@
@a colewort (plant)@|@eruca@
@a combining@|@confusio@
@a coming@|@adventum, ventio@
@a contest@|@decertatio@
@a cough@|@tussis@
@a country other than Greece or Rome@|@barbaria@
@a cow with calf@|@forda@
@a coward@|@ignavus@
@a crash@|@fragor@
@a crowd of attendants@|@stipatio@
@a cubit@|@cubitum@
@a cubit long@|@cubitalis@
@a cypress-wood casket@|@cupressus@
@a dark garm@|@pullus@
@a dart@|@runa@
@a demand@|@postulatio@
@a depth@|@profundum@
@a design@|@propositum@
@a destroyer@|@eversor@
@a digger@|@fossor@
@A disease where the body is curved backward@|@opisthotonos@
@a disgrace@|@turpe@
@a dish@|@patina@
@a distinguishing@|@distinctus@
@a diver@|@urinor@
@a door@|@foris@
@a doze@|@intervigilium@
@a dragging@|@tractus@
@a dream@|@somnium@
@a drop (of liquid)@|@stilla@
@a dwarf@|@pumilius pumilio@
@a dying@|@mortalitas@
@a face@|@vultus@
@a falling@|@casus@
@a fee for using a pasture@|@pastoricium (med.)@
@a fermented fish sauce@|@garum@
@a festival of mysteries@|@orgia@
@a few@|@pauci@
@a fiftieth part@|@quinquagesimus@
@a fine@|@damnum, miseratio@
@a fishing net@|@everriculum@
@a flogging@|@verberantia@
@a flowing over@|@eluvies@
@a following@|@stipatio@
@a fool@|@stultus@
@a force@|@vis (sing.)@
@a foreigner@|@barbaricus, extraneus@
@a forge@|@caminus@
@a fork@|@furca@
@a form@|@instar@
@a former@|@formator@
@a gang of@|@latrocinium@
@a gathering together@|@coadunatio@
@a goblet with handles@|@carchesium@
@a god@|@caelestis@
@a going back@|@recessus@
@a good deal@|@aliquantum (noun)@
@a grain measure@|@modio@
