@English@|@Latvian@
@Author name@|@Patrick Jouannès@
@Font@|@Arial\12\Arial\12@
@a bargain is a bargain@|@kas padarīts, tas padarīts@
@abbot@|@abats@
@abdomen@|@vēders@
@acid (adj)@|@skābs@
@acid (subst)@|@skābe@
@acorn@|@zīle@
@addle egg@|@veca ola@
@air@|@gaiss@
@alder@|@alksnis@
@ale@|@alus@
@alive@|@dzīvs@
@all@|@viss@
@all are present@|@visi ir klāt@
@all of you@|@jūs visi@
@almond@|@mandele@
@almost@|@gandrīz@
@also@|@arī@
@always@|@vienmēr@
@amber@|@dzintars@
@anal@|@anāls@
@anchor@|@enkurs@
@and@|@un@
@angel@|@eņģelis@
@anger (subst)@|@dusmas@
@angry@|@dusmīgs@
@ankle@|@potīte@
@ant@|@skudra@
@ant-eater@|@skudrlācis@
@anus@|@tūplis@
@anvil@|@lakta@
@apiary@|@drava@
@apple@|@ābols@
@apple of discord@|@strīda ābols@
@apple-tree@|@ābele@
@April@|@aprīlis@
@Aquarius (zodiac)@|@Ūdensvīrs@
@arable (adj)@|@arams@
@arc@|@loks@
@arid@|@sauss@
@aridity@|@sausums@
@Aries (zodiac)@|@Auns@
@arrow@|@bulta@
@arse@|@dibens@
@ash (powder)@|@pelni@
@ash (tree)@|@osis@
@aspen@|@apse@
@asphyxiate@|@smakt@
@ass (donkey)@|@ēzelis@
@at table@|@pie galda@
@aunt@|@krustmāte@
@autumn@|@rudens@
@autumnal@|@rudenīgs@
@awl@|@īlens@
@axis@|@ass@
@back (subst)@|@mugura@
@bad (subst)@|@ļaunums@
@bad bargain@|@neizdevīgs darījums@
@badger (subst)@|@āpsis@
@bag@|@maiss@
@baker@|@maiznieks@
@barbed wire@|@dzeloņstieple@
@bark (tree)@|@miza@
@barley@|@mieži@
@battle (subst)@|@kauja@
@battlefield@|@kaujas lauks@
@be (verb)@|@būt@
@bear (verb)@|@nest@
@beard (subst)@|@bārda@
@bearded@|@bārdains@
@beaver@|@bebrs@
@bee@|@bite@
@beeswax@|@bišu vasks@
@begin (intr)@|@sākties@
@begin (trans)@|@sākt@
@beginner@|@iesācējs@
@beginning@|@sākums@
@belly@|@vēders@
@bile@|@žults@
@billow (subst)@|@banga@
@birch@|@bērzs@
@bird@|@putns@
@bird of prey@|@plēsīgs putns@
@bizarre@|@savāds@
@black (adj)@|@melns@
@blackberry@|@kazene@
@bladder (anat)@|@pūslis@
@bland@|@mīlīgs@
@blanket@|@sega@
@blind (adj)@|@akls@
@blindly@|@akli@
@blindness@|@aklums@
@blood@|@asinis@
@blue (adj)@|@zils@
@bluish@|@zilgans@
@boar@|@vepris@
@bog (subst)@|@purvs@
@bomb@|@bumba@
@bone@|@kauls@
@bony@|@kaulains@
@book@|@grāmata@
@born loser@|@dzimis neveiksminieks@
@both@|@abi@
@bread@|@maize@
@bream (fish)@|@plaudis@
@bribe (subst)@|@kukulis@
@bridge@|@tilts@
@brink@|@mala@
@brother@|@brālis@
@brother-in-law@|@svainis@
@bull@|@bullis@
@burner@|@deglis@
@butterfly@|@tauriņš@
@buxom@|@ražens@
@by nature@|@no dabas@
@by night@|@naktī@
@cadaver@|@līķis@
@camel@|@kamielis@
@camp@|@nometme@
@cancer (medical)@|@vēzis@
@Cancer (zodiac)@|@Vēzis@
@candle@|@svece@
@cannibal@|@cilvēkēdājs@
@carp@|@karpa@
@carrion@|@maita@
@carrot@|@burkāns@
@casket@|@šķirstiņš@
@castle@|@pils@
@cavalry@|@jātnieki@
@caviar@|@kaviārs@
@cease-fire@|@pamiers@
@cellar@|@pagrabs@
@cemetery@|@kapsēta@
@centre@|@centrs@
@century@|@gadsimts@
@chain@|@ķēde@
@chair@|@krēsls@
@chalk@|@krīts@
@cheap (adj)@|@lēts@
@cheap (adv)@|@lēti@
@cheek@|@vaigs@
@cheese@|@siers@
@cherry@|@ķirsis@
@child@|@bērns@
@childhood@|@bēnība@
@chin@|@zods@
@chisel (subst)@|@kalts@
@church@|@baznīca@
@clay@|@māls@
@clayey@|@mālains@
@clean@|@tīrs@
@cleanly@|@tīri@
@cliff@|@klints@
@coal@|@ogle@
@cockroach@|@tarakāns@
@cod (fish)@|@menca@
@coffe@|@kafija@
@coffin@|@zārks@
@cold blood@|@aukstasinība@
@colt@|@kumeļš@
@copper@|@varš@
@corpse@|@līķis@
@cough (subst)@|@klepus@
@courage@|@drosme@
@cow (subst)@|@govs@
@coward (adj)@|@gļēvs@
@coward (subst)@|@gļēvulis@
@cranberry@|@dzērvene@
@crane@|@dzērve@
@crime@|@noziegums@
@crow (subst)@|@vārna@
@cucumber@|@gurķis@
@cut with a knife@|@griezt ar nazi@
@dale@|@ieleja@
@damned (pp)@|@nolādēts@
@dank@|@drēgns@
@daughter@|@meita@
@daughter-in-law@|@vedekla@
@day@|@diena@
@deadly enemy@|@nāvīgs ienaidnieks@
@deadly wound@|@nāvīgs ievainojums@
@deaf@|@kurls@
@deaf of an ear@|@kurls ar vienu ausi@
@deafness@|@kurlums@
@death@|@nāve@
@December@|@Decembris@
@deer@|@briedis@
@deity@|@dievība@
@desert (subst)@|@tuksnesis@
@devil@|@velns@
@dew@|@rasa@
@dog@|@suns@
@donkey@|@ēzelis@
@door@|@durvis@
