@English@|@Laz@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@3rd person pronoun@|@mu-@
@a k. of broadleaf plant@|@burg-@
@a k. of cherry tree@|@cu-, mcko-, mckol-@
@a k. of fruit@|@'oumur-, qomu, qomur@
@a k. of gourd@|@qoqore@
@a k. of insect@|@burtqu, butqu@
@a k. of iron gadget@|@xvec-@
@a k. of millet@|@gom, gomu, kurum-@
@a k. of plant@|@chang-@
@a k. of wheat@|@moxa@
@a little@|@chita, chuta, mchuta@
@a part of a grapes cluster@|@kumx-@
@a person@|@ma-n-zhal-e@
@a plot of land@|@msua, psua, sua@
@a split@|@no-pinckale@
@a toponym@|@škid-on-a@
@above@|@ža-, ži, žin, žo-@
@accustom@|@çk-, mçk-@
@acquire@|@njin-@
@affirmative particle@|@ko@
@afterwards@|@okule@
@alder@|@ntxombu, ntxomu, pškvel-a, txomu@
@all@|@ir-@
@among@|@xol-@
@and@|@-da, do@
@ant@|@dimchku, dumchku, mcka-, mska-@
@appear@|@chkin-, chkind-, škun-@
@apple@|@oškir-, oškur, oškur-, uški, uškir, uškur@
@area near the fireplace@|@o-kreb-ule, o-rkebule@
@armpit@|@gala-zhizh-@
@arrange@|@ck-, cq-@
@arrive@|@nch-, nchap-@
@arrow@|@i-sizh-@
@ash@|@mtuta@
@ashes@|@mtwer-@
@at that time@|@hemin-dor-as@
@badger@|@munçk-, munçkv-, munçq-, munçx-@
@barn@|@bag-u@
@be destroyed@|@žol-, žul-@
@be scared@|@ckin-@
@bear@|@mtut-, tut-@
@beard@|@pimp-il-@
@beat@|@kir-, kor-, kor-, tkvac-@
@bee@|@butkuzh-@
@bee sting@|@ginzhgil-@
@beech@|@cipr-, cipur-@
@beetle@|@bob-ochva, bob-onchva@
@bell@|@orakaloni@
@belly@|@korba@
@big@|@did-@
@big dipper@|@kopa@
@big mountain mouse@|@jemur-@
@big stick@|@biga@
@bird-trap@|@rag-@
@bitter@|@m-cutx-e@
@black wax@|@dindgu, dundg@
@blackberry@|@muq-@
@blackbird@|@mzesku, mzesku@
@blood@|@dicxir-, dincxir-@
@blow up@|@bar-@
@boil@|@pupu-, pupul-, pupur-@
@bone@|@'il-, qvil-@
@book@|@supara@
@borther-in-law@|@sizha@
@bosom@|@oba, uba@
@boss@|@msirsu-, msursu-@
@bottom@|@zhizh-@
@boy@|@biç'i@
@brain@|@kin-, kun-@
@branchy tree@|@bozhg-@
@breath@|@švan-@
@bridge@|@xinzh-@
@bring@|@m-@
@bristle@|@bujg-@
@brood-hen@|@kox-, krox-@
