@English@|@Lepcha@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a box of bamboo@|@tüng-bo@
@a corner@|@a-kjang, kjang, tung-kjang@
@a creeping plant@|@kün-tóng@
@a cup@|@tuk-chim@
@a cut@|@mó@
@a female@|@a-mít, mít@
@a house@|@a-dóng, dóng, lí@
@a large basket@|@khjong@
@a large expanse@|@da thó, thó@
@a month@|@lä-vo@
@a musk-melon@|@tüng-mel pót@
@a rat@|@kä-lók, kün-lók@
@a rising hill@|@zhang, zhóng@
@a road@|@a-gun, gun@
@a rupee@|@kóm@
@a shrub@|@lum-njeng muk@
@a son-in-law@|@myók@
@a spec of Sterculia@|@kä-hljám kun@
@a spec. of rice@|@kum-bu zo@
@a spec. of vegetable@|@kä-hlu rik-bí@
@a spec. of worm@|@tä-ljang bü@
@a spec. of zo (rice)@|@tam-pu chen zo@
@a spec. of zo rice@|@jä-mór-zo@
@a stream@|@kjong@
@a thorn@|@a-zhu, zhu@
@a twig@|@ting@
@a well@|@lap@
@a word@|@a-ming, ming@
@a yak@|@jók@
@abdomen@|@ta-bak, tä-fük@
@above@|@thang, to@
@accuracy@|@a-zham, zham@
@add to@|@kjep@
@all@|@gün@
@all country below the source@|@a-täng, täng@
@an aunt@|@a-nju, nju@
@an evil spirit@|@mung, mung-ma@
@answerable for@|@thóp@
@anus@|@tü@
@arched@|@küm@
@arrow@|@sa-li@
@as ripe fruit@|@kär-däng@
@ashes@|@ju@
@bag slung@|@küm-bal@
@banks of river@|@klóp@
@bark@|@a-pi@
@basket for carrying rice@|@ku-mu@
@basket for fowls@|@a-grem, a-grjam, grjam, tüng-grjam@
@be able to walk@|@grang@
@be adhesive@|@krap@
@be bare@|@tën@
@be bent a little@|@kong@
@be bitter@|@krí, krí-mto@
@be deprived@|@krjuk@
@be dried up@|@krek@
@be dry@|@hrju@
@be extremely cold@|@kjang@
@be finished@|@mut@
@be level@|@tar@
@be moist as rice@|@kjór@
@be on service to@|@tek@
@be one upon another@|@kjóm@
@be plump as child@|@thor@
@be strong on legs@|@krang@
@be surrounded@|@kul@
@be thick as anything@|@tang@
@be thin@|@chim@
@be wasted@|@lók@
@become tame@|@ljan@
@bed of river@|@krul@
@beer@|@chí@
@belt@|@rí@
@bite@|@cuk@
@black ant@|@tük-gar@
@block of wood@|@a-kam, kam@
@blood@|@vi@
@body of slaughtered animals@|@kong@
@boiled mixture@|@tük-täk@
@brain@|@jäng, jöng@
@breast@|@njen@
@breath@|@a-sóm@
@bright as star@|@kür-dü@
@broad@|@klóp-lä@
