@English@|@Lezgi@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a big jar@|@k:war@
@a deictic emphatic stem@|@ha@
@a diminutive suffix@|@-g, -k@
@a k. of thorny grass@|@mažw@
@a little@|@sa t'imil@
@a prohibitive particle@|@-mir@
@a small thing@|@kerket@
@a sort of small nuts@|@aka@
@a thousand@|@aghzur@
@about@|@baradaj, haqindaj@
@above@|@vinel, wi-nel@
@abscess@|@barxun, heshwel@
@abundant@|@bul@
@accordion@|@ch'aghan@
@account@|@haqh-hisab@
@ache@|@ta-@
@achievement@|@agalq'un@
@acorn@|@meghv, meghver, meghy@
@acquainted@|@tanish@
@additonal@|@alava@
@adjective substantivator@|@-bur@
@adjective substantivator sing@|@-d-@
@adverbial suffix@|@-ba, -ka@
@advice@|@meslaet@
@afraid@|@kich'e@
@after@|@gyghyniz@
@after all@|@exir@
@against@|@aksi, aksina@
@age@|@jash, jashdi@
@agreeing with@|@razi@
@agreement@|@iq'rar@
@air@|@cav, cavu, hava@
@alder-tree@|@maq:u-n t:ar@
@alien@|@ghejri@
@allowed@|@halal@
@almost@|@saki@
@alone@|@q'ildi@
@along@|@t'uz@
@alpine meadow@|@barza@
@always@|@hamisha@
@amazing@|@azhab@
@anchor@|@labar@
@ancient@|@qadim@
@and@|@va@
@angel@|@malaik@
@anger@|@qel, qhel, qhile@
@angle@|@pip@
@angry@|@qhel kvaj@
@animal@|@hajvan@
@ankle@|@k'eheb, kunuk@
@answer@|@zhavab@
@ant@|@c:egw, cegv, cekvre@
@anxiety@|@qajghu@
@appeal@|@ever@
@appearance@|@kuc@
@appetite@|@ishtagh@
@apple@|@ich, ichini@
@apprentice@|@faele@
@approach@|@agaxhun@
@apricot@|@mashmash@
@are@|@ja@
@argument@|@baehs@
@arise@|@aradal atun@
@arm@|@ghil@
@armful@|@kem@
@armpit@|@q'ych', q'ynch', qüch@
@arms@|@jaraq'@
@army@|@q'ushun@
@arrow@|@xel, xhel, xhile@
@article@|@maqala@
@as if@|@guja, na luhudi@
@as much as@|@aqwan, q'van@
@ashes@|@rüq, ryqh, ryqhvedi@
@asp@|@werx@
@ass@|@lam@
@at all@|@esillah, jerli@
@at least@|@q'vanni@
@at that time@|@a ch'avuz, a vaxtunda@
@at the beginning@|@sifte@
@athlete@|@pahlivan@
@attaches@|@akalun@
@attack@|@huzhum@
@attention@|@diqet@
@aunt@|@eme, xala@
@aunt maternal@|@xala@
@aunt paternal@|@eme@
@aunt; maternal@|@eme@
@aunt; paternal@|@xala@
@aurochs@|@gav, gavra@
