@English@|@Ligurian@
@Author name@|@GENOVES.com.ar@
@Font@|@Arial\12\Arial\12@
@a (f)@|@unna, 'na, ina@
@a (m)@|@un, 'n, in@
@a bit@|@un pö, un pitìn, pöco, 'n pö, pöc'asæ@
@a bit more@|@un pö de ciù@
@a bit of@|@un pö de@
@a little piece@|@un tochetìn@
@a lot@|@un mùggio@
@a lot of@|@un mùggio de, un sàcco de@
@a pair of@|@un pâ de@
@a piece@|@un tòcco@
@a quarter (fraction)@|@un quàrto@
@abacus@|@abachìn@
@abandon@|@abandón@
@abbess@|@abadéssa@
@abbey@|@abaçîa@
@abbot@|@abòu@
@abbreviation@|@abreviaçión@
@abnormal@|@anormâle@
@about@|@cìrca@
@above@|@sciù@
@abroad@|@a l'estranxêo@
@Abruzzi (Italian region)@|@Abrùzzo@
@absolute@|@asolûto@
@absolutely@|@asolutaménte@
@absorbed@|@asòrto@
@absurd@|@asùrdo@
@abundance@|@abondànsa@
@abundant@|@abondànte@
@abuse@|@abûzo@
@abusive@|@abuxîvo@
@academy@|@académia@
@accent@|@açénto, acénto@
@access@|@acèsso@
@accident@|@açidénte@
@accommodation@|@alögio@
@accomodation@|@albèrgo@
@accompaniment@|@aconpagnaménto@
@accordeon@|@fizarmònica@
@according to@|@segóndo@
@account@|@cónto@
@accumulate@|@amugiâ@
@accurate@|@menuçiôzo@
@accusative@|@acuzatîvo@
@accustomed@|@asoefæto@
@ace@|@àsso@
@ache@|@dô, mâ (nm)@
@acquaintance@|@conoscénsa@
@across@|@a travèrso@
@act@|@àtto@
@acting (theatre)@|@réçita@
@action@|@açión@
@active@|@atîvo@
@activity@|@ativitæ@
@actor@|@atôre, atô@
@actress@|@atrîxe (nf)@
@acute@|@agùsso@
@Adam@|@Adàmmo@
@Adam's apple (throat)@|@pómmo d'Adàmmo@
@addiction@|@dipendénsa@
@addition@|@azónta@
@address@|@adrésso (pop.)@
@adhesive@|@adexîvo@
@adjective@|@agetîvo@
@adjoining@|@anésso@
@admirable@|@amirévole@
@admiral@|@amiràggio@
@adolescence@|@adolescénsa@
@Adolph@|@Dórfo@
@adoption@|@adoçión@
@Adriatic@|@adriàtico@
@adult@|@adùlto@
@advance@|@antìçipo@
@advantage@|@vantàggio, pró (nm)@
@advertisement@|@publiçitæ, publicitæ@
@aerial@|@aèreo@
@aeronautical@|@aeronòutico@
@affair@|@facénda@
@affectedness@|@riçercatéssa@
@affection@|@afétto, afeçión@
@affectionate@|@amôzo, afetôzo@
@affirmation@|@afermaçión@
@affirmative@|@afermatîvo@
@afflicted@|@aflîto@
@afloat@|@a gàlla, a nêuo@
@Africa@|@Àfrica@
@African@|@africàn@
@aftcastle (nautical)@|@càsou@
@after@|@aprêuvo a, dòppo@
@after all@|@in fóndo, in fìn di cónti@
@after that@|@dapeu, apeu, peu@
@afternoon@|@dòpoprànso, depoidirnâ, séia, dòpodisnâ@
@afterwards@|@aprêuvo@
@again@|@tórna@
@against@|@cóntra@
@against time@|@cóntra o ténpo@
@agave@|@èrba spâ (nf)@
@age@|@etæ@
@agency@|@agensîa@
@agile@|@lèsto@
@ago@|@són (v), fa@
@agony@|@angonîa@
@agreement@|@acòrdio@
@agriculture@|@agricoltûa@
@ailment@|@mâ (nm), magàgna, malatîa (it.), moutîa@
@air@|@âia (nf)@
@aircraft carrier@|@pòrtarioplàn (nm)@
@aired@|@ventilòu@
@airplane@|@avión, aèreo@
@airport@|@aeropòrto@
@airscrew@|@élice (nf), èliçe (nf)@
@alarm clock@|@resvegìn@
@Alassio (SV)@|@Aràsce, Aràsci@
@Albania@|@Albanîa@
@Albanian@|@albanéize@
@Albenga (SV)@|@Arbénga@
@Albert@|@Bertìn, Òbèrto, Bèrto@
@Albisola (SV)@|@Arbisêua@
@album@|@àlbon (nm)@
@Alessandria (Piedmont)@|@Lisciàndria@
@Alexander@|@Lisciàndro@
@Alexandria@|@Lisciàndria@
@alfalfa@|@èrba mêga (nf)@
@Alfred@|@Alfrêdo@
@Algeria@|@Algerîa@
@Algerian@|@algerìn@
@Alghero (Sardinia)@|@L'Arghê@
@Alice@|@Lîce@
@alien@|@foestê, forèsto@
@alive@|@vîvo@
@all@|@tùtto@
@all (fpl)@|@tùtte (fpl)@
@all (fsing)@|@tùtta@
@all (mpl)@|@tùtti (mpl)@
@all (msing)@|@tùtto@
@all at the same time (m)@|@tùtti inte 'na vòtta@
@all the time@|@pe de lóngo, de lóngo@
@alley@|@caróggio, carogìn@
@allied@|@aleòu@
@alligator@|@aligatô@
@ally@|@aleòu@
@almond@|@amàndoa@
@almond tree@|@èrbo d'amàndoe@
@almost@|@quæxi, squæxi@
@alms@|@limöxina@
@aloe@|@èrba spâ (nf)@
@alone@|@sôlo@
@along with@|@insémme a@
@alphabet@|@arfabêto@
@Alpine@|@alpìn@
@already@|@za@
@alright@|@tùtto a pòsto, tùtto bén@
@Alsace@|@Arzàçia@
@Alsatian@|@arzaçiàn@
@also@|@ànche, ascì@
@altar@|@artâ (nm)@
@Altare (SV)@|@Artâ@
@alteration@|@alteraçión@
@altitude@|@ertéssa@
@altogether@|@tùtt'insémme@
@always@|@sénpre, de lóngo, pe de lóngo@
@amazed@|@stupîo@
@amazement@|@stupô@
@amber@|@ànbra@
@amen@|@amén, âmen@
@America@|@América@
@American@|@americàn@
@American aloe@|@èrba spâ (nf)@
@Americans@|@americhén (mpl)@
@among@|@tramêzo a, fra, de tramêzo a, tra@
@amount@|@quöta@
@amusement@|@divertiménto@
@amusing@|@diverténte@
@an hour@|@unn'ôa, 'n'ôa@
@analysis@|@anàlixi (nf)@
@anatomy@|@anatomîa@
@anchovy@|@anciôa@
@ancient@|@antîgo@
@and@|@e@
@and so on@|@e vîa dixéndo, e vîa discorìndo@
@Andalusian@|@andalûzo@
@Andes@|@Ande (fpl)@
@Andora (SV)@|@Andêua@
@Andrew@|@Andrîa, Drîa@
@angel@|@àngjo@
@anger@|@fótta, ràggia@
@angler (monkfish)@|@bùdego@
@Anglo-Saxon@|@anglosàsone@
@angry@|@aragiòu@
@aniline@|@anelìnn-a@
@animal@|@béstia, animâle@
@animation@|@animaçión@
@anise@|@ànixe (nf)@
@aniseed@|@ànixe (nf)@
@anisette@|@ànixe (nf)@
@Anne@|@Nìnna, Netìn, Netìnn-a, Ninìn, Nétta, Ànna@
@annexed@|@anésso@
@announcement@|@anónçio@
@annoyance@|@despêto@
@annoyed@|@stùffo@
@annoying@|@ascidiôzo, ròuzo@
@anonimity@|@anonimâto@
@anonymous@|@anònimo@
@another (f)@|@unn'âtra, 'n'âtra@
@another (m)@|@'n âtro, un âtro@
@another half hour@|@unn'âtra mêz'ôa@
@another time@|@unn'âtra vòtta@
@answer@|@rispòsta@
@ant@|@formìgoa@
@Anthony@|@Tögno@
@antiquary@|@antiquâio@
@antique@|@antîgo@
@antiquity@|@antighitæ@
@Antoinette@|@Tognêta@
@ant's nest@|@tànn-a de formîgoe@
@anulled@|@anulòu@
@anvil@|@anchîze@
@anxious@|@ansiôzo, anscetôzo@
@any@|@quàrche, quarsevéuggia@
@anybody@|@quarchedùn@
@anybody (f)@|@quarchedùnn-a@
@anyone@|@quarchedùn@
@anyone (f)@|@quarchedùnn-a@
@anything@|@quarcösa@
@Aosta Valley@|@Vàlle d'Aòsta@
@apart@|@a pàrte@
@apart from that@|@do rèsto@
@Apennines@|@Apenìn@
@aperture@|@avertûa@
@apparatus@|@apægio@
@apparently@|@a l'aparénsa@
@appetite@|@apetìtto@
@apple@|@méi (nm)@
@apple tree@|@èrbo de méie@
@appointment@|@apontaménto@
@appropriate@|@adegoòu@
@approximate@|@aproscimatîvo@
@approximately@|@sciù pe zu, cìrca@
@apricot@|@apricòtta, bricòcalo, armognìn, ramognìn@
@April@|@arvî@
@apron@|@scösâ (nm), scösæn@
@Apulia (Puglia)@|@Pùggia@
@aquiline nose@|@nâzo a-a becûa@
@Arab@|@àrabo@
@Arabia@|@Aràbia@
@Arabian@|@àrabo@
@arbitrarily@|@a rêo, abrétio@
@arcade@|@pòrtego@
@arch@|@èrco, àrco@
@archduke@|@arçidùcca (nm)@
@ardour@|@ardô, fervô@
@Arenzano (GE)@|@Arensén, Rensén, Insén@
@Argentina@|@Argentìnn-a@
@Argentine@|@argentìn@
@Argentinean@|@argentìn@
@Argentinian@|@argentìn@
@argument@|@lîte (nf), ratélla, barùffa, arguménto, bæga@
@aridity@|@sechêa@
@Aries@|@æo@
@ark@|@àrca@
@arm@|@bràsso@
@armament@|@armaménto@
@armaments@|@armaménto@
@armchair@|@pötrónn-a@
@armour@|@armatûa@
@arms@|@bràsse (fpl)@
@army@|@ezèrcito, armâ (nf)@
@around@|@in gîo a@
@around the world@|@pe-o móndo@
@arquebus@|@archebûxo@
@arquebusier@|@archebuxê (nm)@
@arrival@|@arîvo, vegnûa@
@arrogance@|@supèrbia@
@arrogant@|@supèrbo, supèrbio@
@arrow@|@saétta, fréccia@
@art@|@àrte (nf)@
@artichoke@|@ardiciòcca@
@article@|@artìcolo@
@artisan@|@artexàn@
@artist@|@artìsta@
@as ... as possible@|@o ciù ... poscìbile@
@as desired@|@a piaxéi@
@as far as I know@|@pe quànte ne sò@
@as soon as@|@apénn-a@
@as well@|@pe de ciù@
@ascent@|@montâ (nf)@
@ash@|@çénia@
@Asian@|@aziàtico@
@aside@|@arénte@
@asininity@|@âzenàia@
@askew@|@goèrso@
@asphyxia@|@asfixîa@
@asphyxiation@|@asfixîa@
@ass@|@panê (nm), cû@
@assassin@|@asascìn@
@assassination@|@asascinaménto, asascìnio@
@assistant@|@ascisténte@
@associate@|@sòccio@
@association@|@sodalìçio, asociaçión@
@asthma@|@àxima@
@astonished@|@stupefæto, stupîo@
@astonishment@|@stupô@
@at a good price@|@a bón mercòu, a bón pàtto, a bón prêxo@
@at a guess@|@a éuggio@
@at a low price@|@a pöco prêxo@
@at all@|@pe nìnte@
@at breakneck speed@|@a rótta de còllo@
@at dawn@|@a-o fâ do giórno, a-o levâ do sô@
@at daybreak@|@a-o fâ do giórno, a-o levâ do sô@
@at dusk@|@in sciô fâ da séia@
@at first@|@in scê prìmme@
@at home@|@in cà, a cà@
@at least@|@a-o mêno, armêno, quantomêno@
@at night@|@de néutte@
@at nightfall@|@in sciô fâ da séia@
@at once@|@in sce doî pê@
@at one o'clock@|@a 'n'ôa@
@at random@|@a câxo, a rêo, abrétio@
@at sunset@|@in sciô fâ da séia@
@at the back@|@derê, inderê@
@at the bottom@|@in fóndo@
@at the end@|@infìn@
@at the same time@|@a-o mæximo ténpo@
@at worst@|@a-a pêzo, a-o pêzo, a-o pêzo andâ@
@atheist@|@àteo@
@atom@|@àtomo@
@attached@|@alegòu@
@attempt@|@tentatîvo@
@attention@|@atençión, cûa@
@attentive@|@aténto@
@attorney@|@procuòu, avocâto@
@attractive@|@atraénte, seduxénte@
@attribute@|@atribûto@
@aubergine@|@meizànn-a@
@auction@|@subàsta@
@audio@|@òudio@
@audition@|@oudiçión, udîo@
@auditive@|@ouditîvo@
@August@|@agósto@
@aunt@|@làlla@
@Australia@|@Oustràlia@
@Australian@|@oustraliàn@
@authentic@|@outéntico, sccétto@
@authenticity@|@sccetéssa@
@author@|@aotô, outô@
@authoress@|@outrîxe (nf)@
@autobus@|@àotobos@
@autograph@|@outògrafo@
@automobile@|@outomòbile@
@autonomous@|@outònomo@
@autonomy@|@outonomîa@
@autumn@|@outùnno@
@auxiliary@|@ouxiliâ@
