@English@|@Lingala@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1 (not in pain)@|@1 (na zali na pasi té)@
@a@|@moko@
@a bad odor@|@nsolo mabe@
@a confortable chair@|@Kiti elengi@
@a hard stone@|@libanga makasi@
@a lot of@|@mingi@
@A lot of people@|@Bato mingi@
@a pleasant trip@|@Mobembo elengi@
@a religious feast@|@Eyenga ya Nzambe@
@a strong chair@|@kiti makasi@
@A white car@|@Motuka ya mpembe@
@above@|@na likolo ya@
@Africa@|@Afrika@
@African grey parrot@|@cakú, shakú@
@Afrika@|@Afrika@
@afternoon@|@mpokwa@
@again@|@lisusu, naino@
@air@|@mompepe, mopepe@
@airs@|@mimpepe, mipepe@
@alcoholic drink@|@masanga@
@all@|@nyé, nyónso, tû@
@all day@|@mokolo mobimba@
@also@|@mpe@
@Am I going to be alright?@|@Est-ce que na kozala malamu?@
@an old car@|@motuka ya kala@
@and@|@mpé@
@and we caused@|@tosololaki@
@anger@|@nkanda@
@animal@|@niama, nyama@
@ankle@|@sapato@
@ansewers@|@biyano@
@answer@|@eyano@
@Are going to look for a chair@|@Zwa kiti mpo na tata@
@Are you allergic to any drug?@|@O zali allergique?@
@Are you allergic to Aspirin?@|@O zali Aspirine?@
@Are you allergic to medicine?@|@O zali Ba kisi mosusu?@
@Are you allergic to Penicillin@|@O zali Penicilline?@
@Are you pregnant?@|@O zali na dzemi?@
@Are you taking any medicine@|@O zali komelaka ba kisi?@
@Are you well?@|@Tu vas bien?@
@arm@|@liboko@
@arms@|@maboko@
@as@|@lokola@
@ash@|@putulú@
@asked me for money@|@Asengi ngai mbongo@
@at@|@na, o@
@at market; bargained the dish@|@Na zando nakakoli basani oyo@
@at market; I saw many people@|@Na zando namoni bato mingi@
@aunt@|@mama-kulutu, mama-leki@
@aunts@|@bamama-kulutu, bamama-leki@
@back@|@mikongo, moköngö@
@bad@|@mabe, mabé, malamu te@
@badly@|@mabe@
@baggage@|@biloko@
@ballpoint pen@|@babiki, biki@
@banana plantain@|@likemba, makemba@
@bananas@|@makemba@
@bark@|@lomposo@
@basket@|@ekolo@
@baskets@|@bikolo@
@be happiness of@|@kozala na esenga ya...@
@bean@|@lidesu@
@beans@|@madesu@
@beard@|@mandefu@
@beautiful@|@kitoko@
@beauty@|@kitoko@
@because@|@mpo na, zambí@
@bed@|@mbeto@
@bee@|@nzoi@
@beef@|@ngombe@
@beginning@|@ebandela@
@behind@|@nsima, nsina, sima, sina@
@behind the house@|@na nsima ya ndako@
@belly@|@libumu@
@between us@|@Biso na biso@
