@English@|@Lithuanian@
@Author name@|@Serhiy Ponomaryov@
@Font@|@Arial\12\Arial\12@
@(question particle)@|@ar@
@a bit@|@truputį@
@a drop in the ocean@|@lašas jūroje@
@a few@|@keletas@
@a little@|@kiek, šiek tiek, truputį@
@a long time ago@|@seniai@
@a lot of (colloq.)@|@daug@
@a pity@|@gaila@
@abandon@|@apleisti (apleidžia/apleido)@
@abbey@|@vienuolynas (katalikų ~)@
@abbreviate@|@sutrumpinti (pina/pino) (žodį)@
@ability@|@gabumas, sugebėjimas@
@Abkhazia@|@Abchazija@
@about@|@galbūt, galimai@
@about what@|@apie@
@above@|@virš, viršuje@
@abstinent@|@blaivus@
@abyss@|@bedugnė@
@academic)@|@laipsnis@
@accessary@|@bendras@
@accident@|@atsitikimas, nelaimingas atsitikimas@
@accidental@|@atsitiktinumas@
@accompany@|@lydėti (lydi/lydėjo), palydėti (palydi/palydėjo)@
@accomplice@|@bendras (nusikaltimo ~)@
@accordion@|@akordeonas@
@account@|@ataskaita, sąskaita@
@accumulate@|@susikaupti (kaupia/kaupė)@
@accurate@|@tikslus@
@accurate person@|@kruopštus žmogus@
@accusation@|@kaltinimas@
@accusatory@|@kaltinamasis@
@accuse (of)@|@kaltinti (kaltina/kaltino)@
@accused@|@kaltinamasis@
@accuser@|@kaltintojas@
@ache@|@durti (duria/durs), skaudėti (skauda/skaudėjo)@
@achievement@|@laimėjimas, pasiekimas@
@acme (grk.)@|@aukščiausias, kulminacinis taškas@
@acme (med.)@|@ligos krizė@
@acme (prk.)@|@viršūnė@
@acquaint (with)@|@supažindinti (suteikti žinių)@
@act@|@veiksmas@
@act (on scene)@|@vaidinti (vaidina/vaidino)@
@acticle of treaty@|@sutarties straipsnis@
@acting as@|@ėjimas (pareigų ~)@
@action@|@veiksmas@
@activities@|@veikla, veiksmas@
@activity@|@veikla, veiksmas@
@actor@|@aktorius@
@actress@|@aktorė@
@acuity@|@aštrumas, smailuma@
@acute (tiesiog. ir. prk.)@|@smailus@
@Adam's apple (anat.)@|@Adomo obuolys@
@add (math.)@|@sudėti (sudeda/sudėjo)@
@addition (mat.)@|@sudėtis@
@address@|@adresas@
@adjective (gram.)@|@būdvardis@
@admire@|@žavėtis (visi/vėjosi) + inst.@
@Adriatic Sea@|@Adrijos jūra@
@adult@|@suaugęs@
@advance@|@kilti (kyla/kilo) (tarnyboje), žengti (žengia/žengė)@
@adverbial modifier (gram.)@|@aplinkybė@
@advertise@|@reklamuoti (muoja/mavo)@
@advertisement@|@skelbimas@
@Adzharia@|@Adžarija@
@Aegean Sea@|@Egėjo jūra@
@aeroplane@|@lėktuvas@
@affinity of emotions@|@dvasinė giminystė@
@affluent@|@intakas (upės ~)@
@Afghanistan@|@Afganistanas@
@Africa@|@Afrika@
@African@|@afrikietis (-ė)@
@after all@|@galų gale@
@again (dll.)@|@vėl@
@age@|@amžius@
@aged@|@pagyvenęs, senas@
@agile@|@vikrus@
@agitate@|@jaudinti (jaudina/jaudino)@
@agitation@|@susijaudinimas@
@agree (to)@|@sutikti (sutinka/sutiko) + su@
@agreement@|@susitarimas, sutartis@
@ailment@|@liga, negalavimas@
@aim@|@tikslas@
@aim (at)@|@atstatyti (tato/tatė) + acc.@
@air@|@oras@
@aircraft@|@lėktuvas@
@aircraft wing@|@lėktuvo sparnas@
@airmail@|@oro paštas@
@airport@|@aerouostas@
@air-pump@|@siurblys@
@alarm-clock@|@laikrodis, žadintuvas@
@alas!@|@deja@
@Alaska@|@Aliaska@
