@English@|@Luiseño@
@Author name@|@Mike Yarnold@
@Font@|@Arial\12\Arial\12@
@- to@|@híqwa-, piláchi-@
@- to be (the eyes)@|@chúupa-@
@(grammatical question marker)@|@$u /sing/, $um /pl/@
@/v/@|@ngávi-@
@1@|@supúl@
@10@|@maháarnumanáhant@
@11 /2 hands + 1/@|@wehwunnumatápahantsupúl@
@12 /2 hands + 2/@|@wéhwunnumatápahantwéh@
@2@|@wéh@
@3@|@páahay@
@4@|@wasá'@
@5@|@maháar@
@6@|@paváahay@
@7@|@wehnumannáhant@
@8@|@páahaynumanáhant@
@9@|@wasá'numanáhant@
@a@|@híkwsash, iwée'it, kíicha, kukúul, kúumal, kuyúul, múu$il, páachavut, pál'vismal, purúprush, purúprush@
@a divinity@|@chingíchngich@
@a little@|@wéhmali@
@a lot@|@múyuk@
@a place to winter@|@$ovova@
@abalone@|@áyla@
@able@|@'ayákawut@
@above@|@éechi@
@acorn flour@|@máaxiš, máaxiš, máaxish@
@acorn mush@|@wíiwish@
@acorns@|@héhat /curtis/@
@Adenostegia@|@yumayut@
@Adenostoma fasciculatum@|@u'ut@
@adobe tick@|@turóo$anat@
@adroit@|@'ayálkawut@
@adult -an@|@awólvu@
@adversary@|@-káytu@
@afraid of - to be@|@tšuere@
@Afraid of - to be; apprehensive - to be@|@sowóo@
@afraid of -be  /v/; apprehensive -be /v/@|@náala@
@afraid of -be /v/@|@$owóo@
@afraid -to be@|@$uwó-@
@afresh; again; anew; another time@|@yú'pan@
@after@|@-éeman, yú´pan@
@agave@|@amúl /curtis/@
@ago@|@nóllimokwici@
@aha!@|@aaašiša@
@alas!@|@'elée (woman's word), alaka@
@Alcatraz@|@'álkatras@
@Alder@|@takúvut@
@alike@|@páy'wish@
@alive@|@ahíkya@
@all@|@chó'on, chóo'un@
@all day@|@chó'on temet, có'on temet@
@allow - to@|@kamíi'i@
@allow /v/@|@kamíi'i@
@alone@|@-xay@
@already@|@amú', wam'@
@also@|@pí@
@always@|@puyáamangay@
@Ambrosia artemisiaefolia@|@pachavut@
@among themselves@|@pomtáax@
@an@|@á$wut@
@ancestor@|@-píiwi@
@and@|@pí@
@and then@|@pa pi@
@angry - to be@|@wúltu@
@angry - to get@|@wultú'a@
@angry /v/@|@wúltu@
@angry -get /v/@|@wultú'a@
@another@|@awóo@
@answer - to@|@tamayáawi@
@answer /v/@|@tamayáawi@
@ant@|@'ánmal@
@antagonist@|@-káytu@
@antelope@|@tónla /curtis/@
@anyhow@|@wáxmuk@
@Apium graveolens@|@pa'kil@
@Apocynum cannabinum@|@wicha@
@appear - to@|@aa-@
@apprehensive -be /v/@|@$owóo@
@approach - to@|@háaya-@
@Arctostaphylos Parryi@|@kolul@
@arduous@|@hiká'kas, wimmáat@
@arm@|@mát@
@arrow@|@húula@
@arrow - my@|@nohúu@
@arrow straightener@|@yólash /curtis/@
@Arrow weed@|@hangla@
@arrowmaker@|@húulukat@
@Artemesia@|@páaku$ish@
@artemisia dracunuloides@|@wachish@
@artemisia heterophylla@|@pakokish@
@Asclepias eriocarpa@|@tokmut@
@Ash@|@pávlas@
@ashamed - to be@|@hamóoya-@
@ashes@|@téelingiš@
@ask - to@|@tuvyúngi@
@ask /v/@|@tuvyúngi-@
@at@|@-nga, -nga (with nouns), -oto /pronouns/@
@at the house@|@kíinga@
@attach onto - to@|@íingi-@
@attractive@|@yawáywiš@
@attractive - to be@|@yawáywiš míi@
@aunt@|@-nus@
@aunt (maternal younger)@|@-yósmay@
@aunt (paternal)@|@-páamay@
@aunt /maternal-elder/@|@-nós /curtis/@
@autumn@|@tá$pa, táspa@
@Avena fatua@|@arus, urns@
@away@|@wuniq@
@away - to go@|@pulúcha-@
@awl@|@éevat@
@baby@|@kíikat@
@Baccharis Douglasii@|@morwaxpish@
@back /the/ (of the body)@|@máachat@
@back -go /v/@|@némay@
@bad@|@aláaxwush@
@bad -be /v/@|@'aláxwush míi@
@bad guy@|@híchikat@
@badge@|@húnal /curtis/@
@badger@|@húnal@
@badly@|@aláaxwushi@
@bake - to@|@kóchi-@
@bale  - to@|@póni-@
@ball@|@purúprush@
@ball lightning@|@táakwish@
@bark /v/@|@wá'i@
@base@|@-tówla@
@basket@|@pákumal /curtis/, peyéevmal, túkmal@
@basket -burden@|@pákwat /curtis/@
@basket cap@|@chílkwat /curtis/@
@basket -food@|@siqwalal /curtis/@
@basket -granary@|@músqunus /curtis/@
@basket -trinket@|@cháqat /curtis/@
@basket -winnowing@|@túkmal /curtis/@
@basketmaker@|@tóonavkat@
@bat@|@taválalakamay@
@bathe - to@|@áa$a-@
@bather@|@'á$ikat@
@be /v/@|@'íi, míi@
@be cold  /v/@|@'íita /weather/@
@be cold /v/@|@puráara@
@be enemies /v/@|@káytu@
@be in a certain place - to@|@áa'-, áaw-@
@be somewhere /v/@|@'áw@
@beans@|@frixóol /loan from Spanish/, frixóol /spanish loan/@
@bear - a thirsty /obj@|@húunwuti páapavichi@
@bear - a thirsty /subj@|@húunwut páapavish@
@bear /v/@|@yáw@
@bear -a -the@|@húunwut@
@beard@|@múu$il@
@bears@|@húunwutum@
