@English@|@Macedonian@
@Author name@|@Vasilevski Goce@
@Font@|@Arial\12\Macedonian Tms\14@
@a bag of bones@|@koska i ko`a (fig)@
@a memory block@|@blokada na memorija@
@a modicum@|@barem malku@
@a plague on you@|@Proklet da si!@
@a week hence@|@za edna nedela@
@ab ovo usque ad mala@|@od po~etok do kraj (Horacij)@
@aback@|@nazad, odzadi@
@abandon@|@ma`), napu{ta, odrekuva (od prestol, ostava@
@abandoned@|@napu{ten, ostaven, prepu{ten (taga), zaboraven@
@abandoned 1@|@oddaden (na piewe), poro~en, rasipan@
@abandonment@|@napu{tawe, oddavawe, odrekuvawe, prepu{tawe@
@abandonment 1@|@o~aj, osamenost, samozaborav@
@abase@|@poni`uva, sni`uva@
@abasement@|@poni`uvawe, sni`uvawe@
@abash@|@posramuva, zbunuva@
@abashedly@|@posrameno@
@abashedness@|@posramenost, zbunetost@
@abatable@|@smiruva~ki, ubla`uva~ki@
@abate@|@smaluva, smiruva, sni`uva (cena), ubla`uva (bol)@
@abatement@|@smaluvawe, smiruvawe, sni`uvawe, ubla`uvawe@
@abatement 1@|@oslabuvawe, otpi{uvawe, popust, zaguba@
@abbess@|@igumenija, opatica@
@abbey@|@opatija@
@abbot@|@igumen, opat@
@abbreviate@|@skratuva, stega@
@abbreviation@|@kratenka, skratenica, skratuvawe, stegawe@
@abdicate@|@abdicira, dava ostavka, se povlekuva@
@abdication@|@abdikacija@
@abdomen@|@abdomen, stomak@
@abdominal@|@stoma~en@
@abduct@|@grabnuva, odveduva, odvlekuva@
@abduction@|@grabnuvawe, odveduvawe, odvlekuvawe@
@abed@|@v krevet, vo postela@
@aberrant@|@abnormalen, isklu~itelen, izopa~en, nevoobi~aen@
@aberration@|@isklu~ok, otstapuvawe (od normala)@
@aberration 1@|@abnormalnost, izopa~enost@
@abet@|@podbucnuva, potpomaga, pottiknuva, s'ska@
@abeter (abetor)@|@podbucnuva~, potpomaga~, pottiknuva~@
@abetment@|@podbucnuvawe, pomagawe vo nedelo, potpomagawe@
@abeyance@|@is~ekuvawe, miruvawe, neodlu~enost@
@abeyant@|@{to miruva (is~ekuva), neodlu~en@
@abhor@|@odvraten e, se gadi@
