@English@|@Malay@
@Author name@|@Moosa Abdulla / Wu-Kung Sun@
@Font@|@Arial\12\Arial\12@
@(1 )deal in small wares@|@jagal@
@(1 )parallelogram@|@genjang@
@(multiplication)@|@kali@
@a@|@se, suatu@
@a beam (of light)@|@sinar@
@a beat (heart)@|@denyutan@
@a bend@|@lentuk@
@a bend or curve@|@belokan@
@a bird's chirp@|@kicauan@
@a bit@|@colek, secolek@
@a bite@|@gigitan@
@a blow@|@paluan@
@a bolt@|@selak@
@a bond@|@simpulan@
@a bottomless coffin@|@long@
@a bribe@|@sogok@
@a brief glance@|@kerlingan@
@a broadcast@|@siaran@
@a brush@|@penggosok@
@a bud@|@tunas@
@a bulge@|@bonjol@
@a bunch@|@gemal, rangkai@
@a bunch (of bananas)@|@sikat@
@a bundle@|@rangkai@
@a bundle or bunch of@|@segugus@
@a burrow@|@korok, liang@
@a by product@|@sampingan@
@a cake made from durian or jackfruit cooked with@|@lempuk@
@a call@|@panggilan@
@a captive@|@tawanan@
@a catch@|@tangkapan@
@a chain@|@untai@
@a challenge@|@cabaran@
@a change of direction@|@belokan@
@a channel@|@saluran@
@a chapter of the Koran@|@surah@
@a chime or burr@|@dering@
@a Chinese or Buddhist temple@|@tokong@
@a chip@|@serpih, serpihan@
@a claim@|@tuntutan@
@a claw@|@cakar@
@a cleaner@|@penggosok@
@a climb@|@pendakian@
@a clip@|@kepit@
@a clod@|@gumpalan@
@a clot@|@lendap@
@a cloud of smoke@|@kepulan@
@a clump@|@rumpun@
@a cluster@|@rangkai, rumpun@
@a coil@|@belitan, lingkar, lingkaran@
@a cold (medical)@|@selsema@
@a collapse@|@kejatuhan@
@a colon (:)@|@titik dua@
@a comb@|@sikat@
@a comb (of bananas)@|@sisir@
@a common fight or struggle@|@seperjuangan@
@a complaint@|@rungutan@
@a compliment or praise@|@pujian@
@a compress or pad to stop bleeding@|@jaram@
@a contest or competition@|@peraduan@
@a controller@|@pengawal@
@a convolution@|@lingkaran@
@a cooked dish of fish@|@lauk@
@a copy@|@salinan, tiruan@
@a couple@|@sekelamin@
@a crack@|@retakan@
@a cradle@|@buaian@
@a creature@|@makhluk@
@a cross@|@pangkah, silang@
@a crunching sound@|@kerkap@
@a cubic measure@|@cupak, gantang@
@a curse@|@kutukan, laknat, makian, serapah@
@a dance@|@tarian@
@a dance (for couples)@|@ronggeng@
@a dash@|@sengkang@
@a date (fruit)@|@kurma@
@a day-dream@|@angan-angan, lamunan@
@a debate or discussion@|@perbahasan@
@a defeat@|@kekalahan@
@a demand@|@tuntutan@
@a deposit@|@cagaran@
@a detour@|@lencongan@
@a deviation@|@lencongan@
@a dirty person@|@pengotor@
@a discovery@|@jumpaan@
@a dish@|@sajian@
@a dish of food@|@hidangan@
@a display@|@tayangan@
@a dispute@|@sengketa@
@a distinct social group@|@anasir@
@a diversion@|@lencongan@
@a dot@|@titik@
@a draft@|@rang@
@a drama@|@lakonan@
@a draw (as in a lottery)@|@cabutan@
@a dream@|@impian@
@a drill@|@gerimit, gerudi@
@a drink@|@minuman@
@a drink made of jelly-like strands of dough and c@|@cendol@
@a drop@|@titis@
@a drop of liquid@|@titik@
@a dug-ou@|@lading@
@a fall@|@kejatuhan@
@a fan@|@kipas@
@a feast@|@jamuan, kenduri@
@a female child@|@sunti@
@a female Koran reader@|@qariah@
@a female vampire@|@langsuir@
@a few@|@dikit@
@a fiddle@|@gesekan@
@a fight@|@perjuangan@
@a figure@|@tokoh@
@a file (for smoothening things)@|@kikir@
@a finding@|@jumpaan@
@a fire@|@kebakaran@
@a fistful@|@segenggam@
@a fixed allowance@|@catuan@
@a flat Malaysian bread made from wheat@|@roti canai@
@a flicker@|@kerlipan@
@a flower@|@sekuntum@
@a fly (insect)@|@lalat@
@a fold@|@lipatan@
@a fowl's pen@|@reban@
@a fragment@|@serpih, serpihan@
