@English@|@Maldivian@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@abaft (back half of ship)@|@kolhufas@
@abandon (an idea or action)@|@dhookollun@
@abandon (house or island)@|@falhukurun@
@abandoned@|@falhu (rasheh, ge-eh, thaneh)@
@abdomen@|@ban'du@
@ability@|@kulhadhaanakan@
@ability (to plan & implement)@|@hikumaiy@
@able@|@kulhadhaana@
@abnormal@|@aadhayaakhilaafu@
@abode@|@ulheythan@
@abolish@|@uvaalun@
@abound@|@ginavun@
@about@|@gaa-igan'dakah, gulhey, medhu (behey)@
@about (concerning)@|@aai behey@
@above@|@matheegai, mathi (thireege idhikolhu)@
@abridge@|@kurukurun@
@abrupt@|@kulliakah@
@abscess@|@mulihi@
@absent@|@ghairu haaziru, haaziru nuvun, nethis@
@accept@|@gaboolukerun, gaboolukurun@
@accepting Allah's will@|@vakeelukurun@
@accompany@|@ekugaivun@
@account@|@hisaabu@
@accurate@|@sahh'a@
@ache@|@rihun, rissun, thadhuvun (veynlibun)@
@acid@|@alifaan aavi@
@act (theatrical)@|@thamseelukurun@
@action@|@harakaaiy@
@active@|@harakaaiytheri@
@actor@|@filmaai thamseelu kulhey meeha@
@actual@|@hageegee@
@Adam's children (humankind)@|@aadhamuge dharin@
@add (increase)@|@ginakurun@
@add (numbers)@|@ekkurun (hisaabu adhadhu)@
@address (formally)@|@dhennevun@
@address (speech)@|@thagureeru (thaq-reer)@
@adequate@|@fudheyvaru@
@adhesive@|@theras@
@adjective@|@nan-ithuru@
@adjust@|@heyovarukurun@
@admiral@|@halaaseen@
@admire@|@gadharu kurun@
@admit@|@ebbasvun@
@adorn@|@zeenaiytherikurun@
@adrift@|@leggi@
@adult@|@bodethi meehun@
@adultery@|@ziney@
@adulthood@|@bodethi meehunge umuru, zuvaanun@
@advance@|@kuriah dhiun@
@advantage@|@faidhaa, kuri libidhey haalathu@
@adverb@|@kan-ithuru@
@advice@|@naseyhaiy@
@advise@|@naseyhaiydhinun@
@advisor@|@musheeru@
@aerial yam@|@mathivah@
@aeroplane@|@mathindhaa boatu@
@affection@|@loabi (kulunu)@
@afore (front half of ship)@|@dhirun'baa@
@afraid@|@birun@
@African (black)@|@baburu@
@after@|@fahun@
@after that@|@e-ah-fahu@
@afterlife@|@aakhirathu@
@afternoon@|@mendhuru fas@
@afterwards@|@dhenfahe, dhenfahu@
@again@|@alun, anekkaaves@
@against@|@dhekolhu, idhikolhu, khilaafu@
@age@|@dhuvasvun, umuru@
@age when babies start walking@|@fai-in'dhey furain@
@aggregate@|@jumla (mulhi-eku)@
@aggression@|@fasaadha@
@ago@|@kurin@
@agony@|@veyn@
@agree@|@ebbasvun@
@agriculture@|@dhan'duverikan, ziraa-athu@
@aid@|@ehee, eheevun@
@aim@|@amaazukurun, ammazu@
@air@|@vai@
@airmail@|@vaigemagun (sitee), vaigemagun (sitee)@
@airplant@|@fathungasfalhaa@
@airport@|@vaige ban'dharu@
@akin@|@thimaage@
@albacore@|@kanfaiydhigu kanneli@
@album@|@albamu@
@alert@|@samaaluvehunna@
@alert (warning)@|@samaaluvun@
@Alexander Laurelwood tree@|@funa gas@
@alienated(from things-people)@|@vakivun@
@alive@|@dhirihurun@
@all@|@emmehaa, hurihaa@
@all day-all night@|@hatharu dhan@
@all over (covering)@|@mulhithaangai@
@alleviate@|@luikurun@
@allow@|@huddha dhinun@
@ally@|@ebbaivun, ekuverivun, ekuveriyaa, gulhun, gulhun, ebbaivun@
@Almighty (Allah)@|@arahushi@
@almost@|@gaa-iygadakah@
@alms@|@sa'adhaqaaiy@
@alone@|@ekani@
@along@|@gulhigen, oiygothah@
@along with@|@ekugai@
@alphabet@|@Akurutha' (Hashanara), akuruthah eg.Alifu-baa, hashanara@
@already@|@dhemme, mihaaruves@
@already happened@|@hin'gaafaivaa@
@also@|@ves@
@alternanthera bicolor@|@fehivina, raiyvina@
@although@|@namaves@
@always@|@abadhu@
@amaze@|@ajaaibuvun, hairaanvun@
@ambassador@|@safeeru@
@amber@|@anguru@
@ambergris@|@goma, goma (maavaharu), goma, maavaharu, maavaharu@
@ambition@|@azum@
@ambulance@|@embiulens@
@ameliorate@|@luikurun, ran'galhukurun@
@amendment(to law/constitution)@|@islaahu@
@amiable@|@maquboolu@
@amicable@|@rattehi@
@ammunition@|@vazan (hathiyaaruge)@
@among@|@medhugai@
@amorous@|@loabivethi@
@amount@|@adhadhu, minvaru@
@amount(level/degree of)@|@hisaabakah@
@amulet@|@thaveedhu@
@amuse@|@hevvun@
@amusing@|@samaasaaveri@
@analysis@|@thahuleelu@
@ancestors@|@kaabafain@
@anchor@|@nagili@
@anchor rope@|@salaamathi@
@ancient@|@boadhaa, eveylaa, gadheemee, gadheemee, boadhaa,@
@and@|@aai, adhi@
@anemometer@|@vaivaru@
@angel@|@malaaikathu@
@angelonia salicarifolia@|@misuru gan'dhakoalhi@
@anger@|@rulhi@
@angry@|@rulhiaun, rulhiveri@
@anguish@|@hithaama, veyn, veyn, hithaama, veyndhenivi@
@animal@|@janavaaru@
@animal udders@|@wahgandu@
@animosity@|@dhushminkan@
@ankle@|@than'bi@
@anklet (ornament)@|@thakaholhi@
@announce@|@iu'laan kurun (engun)@
@annoy@|@rulhieruvun@
@annual@|@aharee@
@annual wake@|@aharumathi@
@annually@|@aharaku eh faharu@
@another@|@e'cheh), ehen (meeheh@
@answer@|@javaabu, javaabudhinun@
@ant (large black)@|@kan'daa@
@Antarctic@|@entaatik@
@antique@|@aasaaree@
@anvil@|@kirunu@
@anybody@|@evves meeheh@
@anything@|@evves/ kommes echcheh@
@apartment@|@epaatmantu@
@apologise@|@ma-aafah edhun@
@apparition@|@dhelimaali@
@appeal@|@aadheys, ilthimaas kurun, ilthimas@
@appear@|@fenun (fenna fenun)@
@appease@|@russun@
@apple@|@aafalu@
@apply (put or spread on)@|@un'gulhun@
@appoint@|@iskurun@
@approach@|@gaa-iyvun, kairivun@
@Arabian gum@|@giulhilaashi@
@Arabian jasmine@|@irudheymaa@
@aralia balfouri@|@boathashibageechaa@
@architect@|@farumaa kuraa meehaa@
@Arctic@|@aaktik@
@area@|@sarahaddu@
@area (physical or abstract)@|@dhaaira@
@areca nut@|@foah, fua@
@areca nut palm@|@fen foah ruh@
@argue@|@zuvaabukurun@
@arid@|@hiki hanafas@
@aristocrats@|@beyfulhun@
@arm@|@aiy, hathiyaaru elhun@
@armchair@|@aiy gan'dulee gon'di@
@armour@|@dhahanaa@
@armpit@|@kihilifaiy@
@army@|@fauju, lash-karu@
@aroma (pleasant)@|@meeruvas@
@around@|@gaa-iygadakah, vashaigen@
@arrange@|@ethurun, reyvun, tharutheebukurun@
@arrest@|@hayyarukurun@
@arrive@|@aun@
@arrive (by boat)@|@lefun@
@arrogant@|@bodaa, kiburuveri@
@arrows@|@dhuni, theeru@
@art@|@kurehun@
@article (e.g. in a newspaper)@|@mazumoonu@
@article (non-fiction essay)@|@mazumoonu@
@article (of legal document)@|@maaddhaa@
@article (thing)@|@echcheh@
@artist@|@kurahaa meehaa@
@artist's house@|@kurahaage@
@as indicated@|@gothugematheen@
@asafoetida (plant)@|@hun'gu@
@asarum (plant)@|@assaroon@
@ascetic@|@zaahidhu@
@ash@|@alhi@
@ashamed@|@ladhugenfa@
@Ashoka tree (sorrowless tree)@|@nikabelissa@
@ashtray@|@alhiken'di@
@Asian Koel@|@dhivehi koveli@
@aside@|@effaraathun@
@ask@|@ehun (suvaalukurun)@
@asleep@|@nidhaafai@
@asparagus@|@sathaavaru@
@ass@|@himaaru@
@assemble@|@ekkurun@
@assent@|@ruhun@
@assist@|@eheevun@
