@English@|@Maliseet@
@Author name@|@David A. Francis / Robert M. Leavitt@
@Font@|@Arial\12\Arial\12@
@(expresses emphasis or surprise)@|@iya (pc)@
@a lot@|@ktanaqi (ktanaq-)(pv)@
@abandon SB@|@makskelomal (vta), nokolal (vta)@
@abdomen: SB's ~@|@wot (ni-d)@
@abduct SB: SB ~s@|@komutonalal (vta)@
@able to have children: SB is ~@|@kisi-nicanke (vai)@
@aboriginal@|@skicinuw- (pv/pn)@
@about@|@ciw (pc), akim (pc), al (pc), uhc (pc)@
@about to: be ~@|@kotuwi (kotuw- koti) (pv)@
@above@|@spomk (pc), spomkik (pc), spomok (pc), tehsahqiw (pc)@
@abscess@|@anqotuwa (na)@
@abscesses: SB has ~@|@anqotuwawine (vai)@
@abundance: have ST in great ~@|@moke-psonomon (vti)@
@abundant: SB is ~@|@ktanaqsu (vai), ktenaqsu (vai)@
@abundant: ST is ~@|@ktanaqot (vii)@
@abuse SB@|@mekahal (vta)@
@abuse SB: SB ~s@|@kotomakiyal (vta)@
@abyss: ST is an ~@|@mulayalokot (vii)@
@accelerate ST: SB ~s (car)@|@kossomkomon (vti)@
@accent: place ~ on ST@|@piyemolamuhtomon (vti)@
@accept SB@|@nihtunal (vta)@
@accept ST@|@nihtunomon (vti)@
@accident: SB got into an ~@|@kistehsin (vai)@
@accident: SB has an ~@|@sesolahkelomoqe (vai)@
@accidentally@|@ahtopi (ahtop-)(pv), kespi (kesp-)(pv), pocc- (pv), pot- (pv), pott- (pv)@
@accidentally bumps SB into the shore: paddler ~@|@cicokahtehsimal (vta)@
@accidentally falls asleep: SB ~@|@kespoqsu (vai)@
@acclaim SB: SB ~s@|@cipokehtuwal (vta)@
@accompany SB@|@wiciyemal (vta)@
@accomplish ST@|@t-osehkomon (vti)@
@accord: an ~ (peace treaty)@|@lakutuwakon (ni)@
@accordian@|@siptokehtasik (-il)(ni)@
@accordion@|@katiyan (ni)@
@accordion: small ~@|@katiyansis (ni dim)@
@account@|@akonutomakon (ni)@
@account of what happened@|@acomuwakon (-ol)(ni)@
@account: SB ~s for all@|@pehkacomu (vai)@
@accountable: SB is held ~@|@ktahpe (vai)@
@accurate: ST is ~@|@wolelot (vii)@
@accusation: expresses ~@|@on kahk-oc (pc)@
@accuse SB without justification@|@pisuwimal (vta)@
@ace of cards@|@neqtuwikhikon (-ok)(na)@
@ache: SB muscle ~s@|@kikitewokosu (vai)@
@acne: SB has ~@|@meqehsisuwine (vai)@
@acquaint: SB gets ~ ed@|@noluwasu (vai)@
@acquaint: SB is well ~ ed with people@|@noluwomtu (vai)@
@acrobat@|@nuci-amalhapekiyat (na)@
@acrobatics: SB performs ~@|@amalhapekiye (vai)@
@acrobats@|@nuci-amalhapekiyacik (na-pl)@
@across@|@ksoka (ksokay-)(pv), ksokayiw (pc), okamok (pc), qsokay- (pv)@
@across a field@|@ksokayaskutew (pc)@
@across a lake@|@ksokayakom (pc), ksokayakomew (pc), ksokayakomiw (pc)@
@across: directly ~@|@ksokayahqiw (pc)@
@act@|@-omahtu- (v rt), -omtu- (v rt)@
@act as a guide for SB: SB ~s@|@iyalhulal (vta)@
@act: SB ~s thus@|@olomahtu (vai)@
@activity: joint ~@|@witahkewakon (-ol)(ni)@
@activity: too much ~@|@sispenaqot (vii)@
@actor@|@nuci-ektuwit (na), nutsakiyut (na)@
@actor: SB barely passes as ~@|@pqanaqsu (vai)@
@actor: SB is an ~@|@kehkoluhtomakesku (vai)@
@actors@|@nuci-ektuwulticik (na-pl)@
@actress@|@nuci-ektuwit (na), nutsakiyut (na)@
@actresses@|@nuci-ektuwulticik (na-pl)@
@acutely@|@ksi (ks-)(pv)@
@adams apple: SB ~@|@ahcikonemol (na)@
@adapt: SB ~s@|@noluwasu (vai)@
@add liquid to SB: SB ~ (cup or pot)@|@ankuhpolal (vta)@
@add liquid to ST: SB ~s@|@ankuhpehtun (vti)@
@add: SB writes to ~ numbers@|@mawwikhike (vai)@
@adhesive@|@kelcoqet (na)@
@adjacent to@|@siciw (pc)@
@administered: ST is ~@|@qaskuwiw (vii)@
@administrator@|@nihkanatpat (na)@
@admits: SB ~s (doing ST)@|@akonimsu (vai)@
@adobe house@|@qahqolunsqikuwam (-ol)(ni)@
@adopted child@|@tahpahqonikonol (ni-d)@
@adore SB@|@wisokitahamal (vta)@
@Adrian@|@Atoliyan (na)@
@adrift: SB is ~@|@yaloqimu (vai)@
@adrift: ST is ~@|@yaloqimu (vii)@
@adult@|@kci-pomawsuwin (na)@
@adult man@|@kci-skitap (na)@
@adult: SB is ~@|@kisiku (vai)@
@adulterous relationship: SB is having an ~@|@woneyu (vai)@
@adulterous: SB is having an ~ relationship@|@woneyu (vai)@
@adultery@|@woneyuwakon (ni)@
@adultery: SB commits ~@|@komutuwalke (vai)@
@advance payment to SB@|@monapenkuwal (vta)@
@adze@|@cikihikewey (ni), ciktihikewey (-al)(ni)@
@affairs: personal ~@|@leyuwakon (ni)@
@affect SB@|@matkuwal (vta)@
@affect SB strongly: SB ~s@|@kakawtehkuwal (vta)@
@affect: stop ~ ing SB@|@metkuwal (vta)@
@affection: have a strong ~ for SB@|@munsa-kotuwahalal (vta)@
@affection: SB tries to gain SB ~@|@ahsihpulal (vta)@
@affliction@|@ksinuhkewakon (ni)@
@affluent: SB is ~@|@woleyu (vai)@
@afford: able to ~  ST@|@teponuhmon (vti)@
@afford: able to ~ SB@|@teponuwal (vta)@
@afraid: be ~ of ST@|@nokatomon (vti)@
@afraid: SB is ~@|@nokasu (vai)@
@afraid: SB is so ~@|@tutpayu (vai)@
@afraid: SB is very much ~@|@siktehpayu (vai), wisokihpayu (vai)@
@afraid: SB s ~@|@seksu (vai)@
@afraid: very much ~ of ST@|@wisoki-nokatomon (vti)@
@after a while@|@mahkiyew (pc)@
@after: go ~ SB@|@nathomuwal (vta)@
@afternoon: ST is ~@|@kisi-pasque (vii)@
@again@|@apc (pc)@
@again and again@|@iqoni (iqon-)(pv), munsay- (pv)@
@against@|@sic- (pv)@
@age: SB is of such an ~@|@tuceyu (vai)@
@agent (person especially Indian agent)@|@econ (na)@
@agile: SB is ~@|@nokosanoma (vai), nokosanome (vai)@
@agitate by talking: SB ~s@|@ksomokikesu (vai)@
@agitate: SB ~s@|@macotake (vai)@
@agitator: SB is an ~@|@macotakesku (vai)@
@ago: long ~@|@pihce (pc)@
@agree to do ST@|@ulitahatomon (vti)@
@agreement with SB: begin an ~@|@maciyahmuwal (vta)@
@agreement: begin an ~ with SB@|@maciyahmuwal (vta)@
@agreement: make ~ with SB on SB@|@t-olhomuwal (vta)@
@agreement: peace ~@|@lakutuwakon (ni)@
@Agusut@|@amoniyat kisuhs (na)@
@ahead@|@nihkaniw (pc)@
@ahead: ST is turned ~ (clock)@|@nihkanehtasu (vii)@
@aid SB@|@wicuhkemal (vta)@
@aim at SB@|@t-olaksuhutuwal (vta), t-oliqsuhutuwal (vta)@
@aim at ST@|@t-olaksuhutun (vti), t-oliqsuhutun (vti)@
@aim: SB ~s accurately@|@wolakhom (vai)@
@aim: SB ~s straight up@|@motkayakhom (vai), ptokayakhom (vai)@
@aim: SB steadies for accurate ~@|@osehta (vai)@
@air@|@pisuwokisq (ni)@
@alarm (sound or device)@|@kinuwehtahsuwey (ni)@
@alcohol content: ST is very strong in ~@|@ksikonewiw (vii)@
@alcoholic@|@wikossomuwin (-uwok)(na)@
@alcoholic: SB serves ~ beverages@|@pithope (vai)@
@alder bark@|@tuhpiyasq (-iyil)(ni)@
@alder pole@|@tuhpiyahtoq (ni)@
@alder: black ~@|@tuhp (-iyik)(na)@
@alert (announcement)@|@kinuwehtahsuwey (ni)@
@alert: SB ~s@|@kinuwehtahsu (vai)@
@alewife@|@siqonomeq (ok)(na)@
@Alexander@|@Leksatol (na)@
@alhough@|@apeq (pc)@
@alight and holds on: SB/ST ~s@|@kolomu (vai/vii)@
@alight: SB ~s@|@nahtokassu (vai)@
@alike: all ~@|@kcoci (pc)@
@alive: SB is ~@|@pomawsu (vai), tolawsu (vai)@
@alive: SB looks barely ~@|@wahkacinaqsu (vai)@
@alive: ST is ~@|@pomawsuwiw (vii)@
@all@|@kihka ('kihkay-)(pv), msi (pc), msiw (pc), psi (pc), psiw (pc)@
@all alike@|@kcoci (pc)@
@all around@|@noluwiw (pc)@
@all at once@|@pehk- (pv), pek- (pc)@
@all day@|@kekiw (pc)@
@all over@|@nemsotay- (pv), pson- (pv)@
@all the time@|@nehkayiw (pc)@
@all: get ~ of ST@|@pektehmon (vti)@
@alligator@|@akotalahq (-ok)(na)@
@allow SB to do ST: SB ~s@|@cikihtuwal (vta)@
@allow SB: SB ~s@|@kiseltomuwal (vta)@
@allow self (ST): SB ~s@|@kiselsu (vai)@
@allspice@|@alspays (ni)@
@allspice berries@|@alspaysol (ni pl)@
@all-star team@|@pkonikonok (na)@
@almanac@|@alomonik (ni)@
@almost@|@keka (pc)@
@alone@|@qoci ('qoc- 'qot-)(pv), qot- (pv), qotuhkayi (pc), qotuhkayiw (pc)@
@alone: SB is ~ in boat@|@qotulom (vai)@
@alone: SB lives ~@|@qotuhkanu (vai), qotupihtom (vai)@
@along@|@pom- (pv)@
@along edge@|@onuc- (pv), sonuciw (pc)@
@along the edge@|@sopayiw (pc)@
@along with@|@nsp- (pv), sp- (pv)@
@along: drag SB ~@|@pomacqimal (vta)@
@already@|@kis (pc)@
@also@|@na (pc), ona (pc)@
@altar@|@ihtoli-kiselomosimok (ni)@
@altar boy/girl@|@nutonahket (na)@
@although@|@alu-ehta (pc), alu (pc), aluwehta (pc)@
@aluminum object@|@wapahkuhsisey (-ak)(na), wapahkuhsisey (-al)(ni)@
@always@|@mecim- (pv/pn), mecimi-te (pc), mecimiw (pc)@
@amass ST@|@maqehtehmon (vti)@
@amazed by SB: is ~@|@assokitahamal (vta)@
@amazed: SB is ~@|@assokitahasu (vai)@
@amazed: SB looks ~@|@assokiqe (vai)@
@amazingly@|@assoki (assok-)(pv)@
@ambassador@|@kinuwehtahsuwin (na)@
@ambush SB@|@sesolaktehkuwal (vta)@
@ambush SB: SB ~s@|@koppaskuwatomuwal (vta)@
@American@|@malihkin (-ok)(na)@
@among@|@nawiw (pc)@
@amputate SB@|@monosal (vta)@
@amputate ST@|@monosomon (vti)@
@anaestheitc (general such as ether or chloroform)@|@kewkahsuwik (ni)@
@anchor@|@cuhponapsqakon (ni), cuwahponapsqakon (ni)@
@anchor: SB drops ~@|@cuhponapsqe (vai)@
@ancient@|@kancoqi (kancoq-)(pv)@
@and@|@an (pc), cel (pc), naka (pc), on (pc)@
@and also@|@ayut (pc), ayut (pr)@
@and besides@|@ayut (pc), ayut (pr)@
@and even@|@ayut (pc), ayut (pr)@
@and then@|@an (pc), on (pc)@
@Andrea@|@Atoliye (na)@
@Andrew@|@Atole (na)@
@anesthetic@|@pilsewokihkahsuwik (-il)(ni)@
@angel@|@aselis (na)@
@anger SB@|@wisokiluweyuwal (vta)@
@anger: SB hides ~@|@kaciluwehe (vai)@
@angle: at an ~@|@asuwiw (pc)@
@angle: ST is at an ~ (ST stick like)@|@asuwaqte (vii)@
@angrily: SB speaks ~@|@wisokatuwe (vai)@
@angry at SB@|@uhkayihtuwal (vta)@
@angry with SB@|@wisokiluwehtuwal (vta)@
@angry with SB: become ~@|@wisokiluwehehtuwal (vta)@
@angry: be continuously ~ at SB@|@munsa-kotuwihponolal (vta)@
@angry: become ~ with SB@|@wisokiluwehehtuwal (vta)@
@angry: SB becomes ~@|@peciluwehe (vai)@
@angry: SB becomes ~ while talking@|@muskuwatewestu (vai)@
@angry: SB is ~@|@qayu (vai), wisokiluwehe (vai)@
@angry: SB is ~ as result of ST@|@muskuwaciye (vai)@
@angry: SB looks ~@|@kiniqewu (vai), wisokiluwehenaqsu (vai)@
@angry: SB made SB ~@|@kisiluweyuwal (vta)@
@angry: SB suddenly becomes ~ while working@|@muskuwatoluhke (vai)@
