@English@|@Maltese@
@Author name@|@Freelang@
@Font@|@Arial\12\Arial\12@
@a@|@Ġarja@
@A couple of@|@Ġiex@
@abandon@|@Abbanduna@
@abandon oneself@|@Intelaq@
@abdicate@|@Abdika@
@Ability@|@Setgħa@
@Able@|@Abbli@
@Abortion@|@Abort@
@About _____ people@|@Madwar ____ ruħ@
@Above@|@Fuq@
@Above all@|@Fuq kollox@
@absorb@|@Assorbi (-xx-)@
@abuse@|@Nġurja@
@accept@|@Aċċetta@
@ache@|@Waġa'@
@Acqueduct@|@Sieqja@
@Acrid@|@Ħarr@
@act of@|@Ġari, Ġlied, Ħolm, Mewt, Qari, Rqad@
@Act of Awakening@|@Qawmien@
@act of laughing@|@Daħk@
@Act of mischief (v.n.)@|@Brikkunata@
@Action@|@Azzjoni@
@Active@|@Attiv@
@Activist@|@Attivist@
@Activity@|@Ħidma@
@add@|@żied@
@Added@|@Miżjud@
@Address@|@Indirizzat@
@adjust@|@Aġġasta@
@admire@|@Ammira@
@Adolescent@|@Tfajjel@
@Advantageous@|@Vantaġġuż@
@Affable@|@Fabbli@
@Affectedness@|@Taqżież@
@After@|@Wara@
@After all@|@Wara kollox@
@Against@|@Kontra@
@Ago@|@Ilu@
@agree@|@Qabel@
@Agreeing@|@Ftehim@
@Agreement@|@Ftehima@
@Ailment@|@Marda@
@Air@|@Arja@
@Airborne@|@Itir@
@airplane@|@ajruplan@
@All@|@Ilkoll@
@All right@|@Kollox Sew@
@Alone@|@Waħd + p.s.@
@Also@|@Wkoll, Anki@
@Altar@|@Altar@
@Always@|@Dejjem@
@Amazement@|@Skantament, Stagħġib@
@Amicable@|@Dħuli@
@Amongst@|@Fost@
@And@|@U@
@And you?@|@U int?@
@Anger@|@Rabja@
@Anguish@|@Diqa@
@animal@|@annimal@
@annihilate@|@Xejjen@
@announce@|@Annunzja@
@answer@|@wieġeb@
@Ant@|@Nemla@
@apartment@|@appartament@
@appear@|@Deher@
@apple@|@tuffieħa@
@apply@|@Applika@
@Appology@|@Apoloġija@
@approach@|@Rasaq@
@approve@|@Approva@
@Approximately@|@Bejn wieħed u ieħor@
@Arab@|@Għarbi@
@Arm@|@Driegħ@
@Around@|@Madwar@
@Arrival@|@Miġja@
@arrive@|@Wasal@
@Arriving (v.n.)@|@Miġi@
@Art@|@Arti@
@Artist@|@Artista@
@As + verb@|@Bħal ma@
@As far as@|@Sa@
@As if@|@Bħallikeiku@
@As much as@|@Daqs kemm@
@As soon as@|@Filli, Malli@
@ascend@|@Tala'@
@Ascending@|@Tiela'@
@Ascent@|@Tlugħ@
@Ashamed@|@Mistħi@
@ashes@|@rmied@
@ask@|@saqsa, Staqsa, Talab@
@Asleep@|@Rieqed@
@Aspirin@|@Aspirina@
@associate@|@Assoċja@
@associate oneself@|@Issieħeb, Sieħeb@
@At@|@Għand@
@At a stand still@|@Wieqaf@
@At day break@|@Mas-sebħ@
@At night@|@Bil-lejl@
@At sunset@|@Ma' nżul ix-xemx@
@At the best of@|@Fl-aqwa@
@At what time@|@X'ħin@
@Attack@|@Attakk@
@Attention@|@Attenzjoni@
@auction off@|@Inkanta@
@Aunt@|@Zija@
@awaken@|@Stenbaħ@
@Awakening@|@Qawma, Stenbiħ, Stenbiħa@
@Baby@|@Tarbija@
@Bachelor@|@Għażeb@
@Back@|@Dahar@
@Backwards@|@Lura@
@Bad@|@Ħażin@
@Bag@|@Borża@
@bake@|@ħema@
@bake hard@|@Baskat@
@Baker@|@Furnar@
@Balanced@|@Ekwilibrat@
@Bald@|@Qargħa@
@Ball@|@Ballu@
@Banana@|@Banana@
@Band@|@Banda@
@bandage@|@Infaxxa@
@Bandage@|@Faxxa@
@bank@|@bank@
@Bank@|@Bank@
@Baptism@|@Magħmudija@
@Bar@|@Bar@
@Barber@|@Parrukkier@
@Barefootedness@|@Ħefa@
@bark@|@qoxra@
@Bark@|@Nebħa@
@Barking@|@Nbiħ@
@barter@|@Partat@
@Bashfulness@|@Mistħija, Reqqet il-wiċċ@
@Basil@|@Ħabqa@
@Basket@|@Qartalla, Qoffa@
@Basketful@|@Qoffa@
@Bass@|@Baxx, Oħxon, Ħoxna@
@Bastion@|@Sur@
@Bay@|@Bajja@
@be@|@Kien@
@be able to@|@Sata'@
@be absent@|@Falla@
@be added@|@Ingħadd@
@be amazed@|@Stagħġieb@
@be ashamed@|@Staħa@
@be baptized@|@Tgħammed@
@be begun@|@Inbeda@
@be believed@|@Twemmen@
@be bitter@|@Mrar@
@be blessed@|@Tbierek@
@be blocked up@|@Stadd@
@be bound@|@Intrabat@
@be broken@|@Tkisser@
@be brought@|@Trabba@
@be brought down@|@Tniżżel@
@be buried@|@Indifen@
@be called@|@Issejjaħ@
@be caught@|@Inqabad@
@be cheated@|@Tbixkel@
@be cold@|@Kesaħ@
@be collected@|@Iġġemma'@
@be confused@|@Tħawwed@
@be cut@|@Inqata'@
@be cut inpieces@|@Tqatta'@
@be deepend@|@Tfannad@
@be delighted@|@Tpaxxa@
@be devastated@|@Tħarbat@
@be diligent@|@ħawtel@
@be disbanded@|@Sfaxxa@
@be driven a way@|@Tkeċċa@
@be felt@|@Inħass@
@be filled@|@Imtela@
@be followed@|@Issegwa@
@be fooled@|@Iċċewweċ@
@be forgotten@|@Intesa@
@be found@|@Insab, Instab@
@be frightened@|@Tbażża'@
@be gathered@|@Inġama'@
@be given@|@Ingħata@
@be heard@|@Instama'@
@be hemmed@|@Tberfel@
@be impoverished@|@Ftaqar@
@be injured@|@Korra@
@be killed@|@Inqatel@
@be left over@|@Fadal@
@be made false@|@Tfallaz@
@be maintained@|@Tmantna@
@be mentioned@|@Issemma@
@be named@|@Jisem + ps@
@be necessary@|@Inħtieġ@
@be out of tune@|@Stona@
@be placed@|@Tqiegħed@
@be presumptuous@|@Iżżattat@
@be purified@|@Issaffa@
@be quiet@|@Siket@
@be read@|@Inqara@
@be rude@|@Tpastaż@
@be said@|@Ingħad, Intaqal@
@be smelt@|@Inxtamm@
@be sold@|@Inbiegħ@
@be spent@|@Intefaq@
@be spilt@|@Iċċarċir@
@be spread@|@Infirex@
@be stingy@|@Xaħħ@
@be stolen@|@Inseraq@
@be strong@|@Felaħ@
@be suffered@|@Issofra@
@be sustained (law)@|@Issostna@
@be swallowed@|@Inbala'@
@be swung@|@Tbandal@
@be terrified@|@Twerwer@
@be understood@|@Ftiehem@
@be widowed@|@Romol@
@be worth@|@Sewa@
@be written@|@Inkiteb@
@Beak@|@Munqar@
@Beam@|@Travu@
@Beast@|@Bhima@
@Beautiful@|@Sabiħ@
@Beautifying@|@Tisbiħ@
@Beauty@|@Sbuħija@
@Because@|@Billi, Għax@
@become@|@Sar@
@become bad@|@ħżien@
@become beautiful@|@Sbieħ@
@become clean@|@Ndaf@
@become cloudy@|@Sbaħ@
@become deep@|@Fnad@
@become dry and barren@|@Ħrar@
@become dusty@|@Trab@
@become false@|@Flaz@
@become pale@|@Sfar@
@become poor@|@Ftaqar@
@become rancid@|@Snieħ@
@become severe@|@ħrax@
@become sturdy@|@Sħaħ@
@become thin@|@Raqq@
@become warm@|@Saħan@
@Bed@|@Sodda@
@Bed of flowers@|@Mixtla@
@Bee@|@Naħla@
@Beer@|@Birra@
@Beetroot@|@Pitrava@
@Before@|@Qabel@
@Before + verb@|@Qabel ma…@
@beg@|@ttallab@
@Beggar@|@Tallab@
@begin@|@Beda@
@begin with@|@Qabel xejn@
@Beginning@|@Bidi, Bidu@
@Behavior@|@Mġiba@
@Behind@|@Wara@
@belch@|@Tfewwaq@
@Belief@|@Twemmina@
@believe@|@Emmen@
@Believed@|@Mwemmen@
