@English@|@Mam Todos Santos@
@Author name@|@J D Young@
@Font@|@Arial\22\Arial\22@
@'It is good' he or she says (the ch means the b'a'n is a quote)@|@b'a'nch@
@(it) reached my heart@|@Ma ku'pen toj wanimye@
@(this) is@|@atzun@
@a bad odor@|@junxj@
@a bag without ears (handles) used to store things in@|@ch'u'xh@
@a bag without ears used to store things in@|@ch'u'xh@
@a beam to secure the roof frame@|@lamb'il@
@a believer@|@nimal, nimil@
@a better quality domestic animal that has a good appearance due to the special care it has received (and therefor will fetch a higher price when sold)@|@k'a'chin@
@a big stem (when said with a short 'a')@|@lach'@
@a bird with a long beak that lives along rivers and eats fish@|@chwis@
@a bit@|@ch'in, nux@
@a bite (would you like a bite of tamale)@|@b'liq'@
@a bite)@|@jatz'@
@a black cat@|@jun wixh q'aq@
@a blister@|@punq'je'n@
@a boar (pig) whose testicles are internal and cannot engender@|@sis@
@a branch that is dried out on the ground@|@chak'li@
@a branch without leaves (chank- is a positional root)@|@chank-@
@a branch without leaves lying on the ground@|@chankli@
@a branch without leaves thrown down (chank- is a positional root)@|@chank-@
@a brief bright and intermittent reflection@|@tilk'ajil@
@a bromiliad that grows on tree trunks of humid forests@|@tmaneky'@
@a buckle (for a belt or a shoe etc)@|@twitz xjab'@
@a bug that is similar to a bedbug@|@uk@
@a bulky object or a large container made of hide (used to transport things) placed on some surface@|@tanli@
@a bundle that is no bigger than what will fit in both arms (this word must be preceded by a number)@|@pk'oj@
@a burn@|@ttz'eyb'en@
@a burn (on the body)@|@tz'e'ynaq@
@a burning itch (like with a new scar)@|@chiyil@
@a call for turkeys@|@pi@
@a causitive marker (making something happen or exist)@|@-le@
@a change in attitude can be meant here but not necessarily with the intent to deceive@|@meltz'il@
@a chicken@|@talun ek'@
@a child's toy that consists of a metal or wooden rim (called a hoop) and stick that is used to roll the hoop@|@tul@
@a child who has been sponsored (by a godparent) to be baptized@|@chelinj@
