@English@|@Manchu@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a big arrow@|@kejfu@
@a big monkey@|@bono, mono@
@a bird that has lost feathers@|@Goqzhi@
@a k. of duck@|@xongGolon, xongGon@
@a k. of locust@|@chacharaqu@
@a k. of oak@|@laxari@
@a k. of salmon@|@azhin@
@a k. of upper clothes@|@kurume@
@a k. of weed@|@xara@
@a k. of wild millet@|@xife@
@a measure of weight@|@malin@
@a poisonous plant@|@gu orxo@
@a prohibitive particle@|@ume@
@abstemious@|@malxun@
@acacia@|@Goro@
@Adam`s apple@|@boxä; boxäë, buge mongGon@
@Adam's apple@|@Gungqan@
@alder@|@dulgik@
@all@|@gemu, gumä@
@angle@|@xošo@
@another@|@Guä, Guwa@
@appearance@|@arävän, arävun@
@apron@|@leleke@
@army@|@chöxa@
@arrow point@|@atan@
@at once@|@daritï, dartai@
@autumn@|@bolori@
@back@|@dara, darama, darämä@
@back of the nape@|@gen-dä@
@bad@|@eru-n@
@bait@|@be@
@bamboo bast@|@muchixa@
@band@|@xata@
@bast@|@chike-ku@
@bathe@|@ebiše-, efäsä-, efäšä-@
@be born@|@banzhä, banzhi-@
@be divided@|@delxe-@
@bear@|@lefä, lefu@
@bear eating ants@|@mochinzhi, mozhix'an@
@beauty@|@bochä, bocho, bochu@
@become stronger@|@masi-la@
@bed@|@besergen@
@belt@|@xebtexe@
@bend@|@gexu-, mudan@
@big@|@amba@
@bird@|@dei, Gasähä Gasxa@
@black heron@|@qaralzha@
@blade of a knife@|@GarGa, Garin@
@blue fox@|@luka@
@boat pole@|@guwafu@
@bon fire@|@Golon tuwa@
@bone@|@girangä, giranggi@
@border@|@chikin@
@branch@|@Garähän@
@bread worm@|@mobsexe@
@breast@|@chezhen@
@breast bone@|@boqšon@
@breath@|@eräxän, ergen@
@bridle@|@hadälä, qadälä, xadala@
@broad@|@mila, mila-xun@
@building@|@olen, ulen, ülen@
@cage@|@xorin@
@cane@|@darGan@
@cartilage@|@buge, buxe@
@cat@|@ninuri@
@catch an epidemic disease@|@majla-@
@catch fire@|@xur-še-@
@catching thieves@|@xuzha-chi@
@cavity@|@kumdu@
@certainly@|@esi@
@chimney@|@hulan, xulan@
@clammy!@|@langaq!, langga-!, langga-langa, langGaq!, langgas!, nangga!@
@clan@|@xala@
@clay@|@ilban@
@clean@|@bolähän, bolähun@
@clear@|@bolGo@
@clear of sky@|@GalGa@
@cloggy@|@langga!@
@close@|@adaki@
@clothing@|@utuku@
@club@|@muqäsan, muqäšan@
@clumsy@|@lazhu@
