@English@|@Mangaian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a countless throng@|@e tini e mano@
@a covenant@|@koreromotu@
@a descendant of@|@ngati@
@a fowl@|@moa@
@a gridle@|@hitiki@
@a harbinger@|@havaiga@
@a ladder@|@atamoa, vatavata@
@a line@|@ao@
@a lizard@|@moko@
@a mallet for beating out cloth@|@ike@
@a measure of ten fathons@|@kume@
@a mountain@|@maun'a@
@a mountain is touching the sun@|@e maunga i te rà nei@
@a nest@|@koanga, toanga@
@a path@|@ara@
@a place of abode@|@kain'a@
@a road@|@ara@
@a shadow@|@ata@
@a shelf to put things on@|@ata@
@a sigh@|@mu@
@a sign of the vocative case@|@e@
@a thousand@|@e mano o te ao@
@a way@|@arataa@
@a yoke@|@kiato@
@abundance os sweet smelling@|@e maire e kakara tuputupu@
@an instructor of kings@|@koromatua@
@and@|@ma@
@as only spirits can@|@ua e tiki i te u tuarangi@
@barter@|@oko@
@basket@|@kete@
@be close to our left side@|@o ua rere i maui@
@be healed with the healing@|@mau aea koe i ie mau@
@behold@|@ina@
@behold! I'm with you@|@e ina! tei vaitaia au ia koe@
@beloved@|@akaaroa@
@beloved child of Motuone@|@tama aroa na Motuone@
@bent@|@mingi@
@bird in general@|@manu@
@black pigment@|@ngarahu, ngarangara, ngarau@
@bone@|@ivi@
@bundle@|@pakete@
@by a perilous path to Iva@|@i te ara taurere ki Iva@
@by and by@|@auenei@
@calm@|@marino@
@chief@|@mataiapo@
@chop off the tail of a whale@|@ei koti i te iku o te toora@
@cleared off@|@maraerae@
@close together@|@kapiti@
@clothed in net work@|@kua kakau i te kirikiriti@
@cold@|@toketekete@
@covering of ridge of house@|@au@
@crest of hill@|@kaivi@
@crooked@|@he@
@daylight@|@avatea@
@dear@|@aka-ereere@
@distant@|@mamao@
@distant land to where you fled@|@te enuo mamao i oro atu na è@
@drink@|@unu@
@dry and hard@|@malo, maro@
@e te namunamu@|@thou mosquito@
@earth@|@kai'a, kele@
@family@|@kopu-tangata@
@farewell!@|@ei kona ra kai ai@
@fibre of coconut@|@puru@
@fish@|@ika@
@fixed@|@mau@
@food@|@kai@
@food for ruddy Miru@|@ei kai na Miru-kura@
@foolish@|@neneva@
@garments@|@kakau@
@gently@|@marie@
@give me a new life@|@omai tai noku ora e@
@god@|@io@
@grant me a new life@|@omai tai noku ora e@
@gray@|@ina, inaina@
@gray hair@|@olohina@
@green@|@moto@
@habitation@|@kaihegahega@
@here's water from the swamp@|@e vai ngaere te vai i tu ai@
@hill@|@tuaivi@
