@English@|@Mangarevan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a@|@e@
@a bad smell@|@hogohogo@
@a band made of leaves@|@rau@
@a basket for fish@|@inaki@
@a beautiful sunrise@|@atalurakura@
@a blab@|@ererokoikoi@
@a boil in the skin@|@ohaoha@
@a bunch@|@uui@
@a bunch of grapes@|@kahui@
@a bundle@|@apaga@
@a calabash@|@hue@
@a caterpillar@|@enuhe@
@a cave@|@ana@
@a circular reef@|@agoa@
@a coffer@|@afata@
@a comb@|@pahere, pahore@
@a crow@|@au@
@a crown@|@au, aupikitavale, aurumokoe@
@a crumb@|@huga@
@a deep place in the sea@|@vahihohonu@
@a deformed knee@|@apeturi@
@a fall of grain@|@oroarua@
@a fan@|@peikahi@
@a filament is sinnet@|@purukaha@
@a flow of blood@|@heketoto@
@a footprint@|@e ata o te vavae@
@a friend@|@aka-oa, hoa, oa@
@a garland of pandanus@|@aukatakata@
@a gentle disturbance of air@|@agiagiga@
@a gimlet@|@hou@
@a great flowing of blood@|@ikere@
@a great noise@|@aka-erurururu@
@a great number of persons@|@tuahu@
@a great plain@|@ariamogo@
@a hollow@|@koana, pokopoko@
@a joint@|@egaega@
@a kind of fern@|@eiei@
@a king@|@aka-riki@
@a large wave@|@haumatapehau@
@a light@|@ikuiku@
@a mat@|@ariki@
@a mirror@|@aka-kata@
@a miss@|@ara@
@a morsel@|@iho@
@a novice@|@matahou@
@a particle@|@ana@
@a piece@|@iho@
@a piece of wood for food@|@kouhata@
@a place od assembly@|@tohua@
@a plume@|@urumanu@
@a promontory@|@mataihu@
@a protector@|@aka-marumaru@
@a relative particle@|@ai@
@a road@|@ara, ara@
@a rough place@|@arapupu@
@a sign of vocative case@|@e@
@a small hill@|@ivi@
@a species of banana@|@hurita@
@a squall@|@amiomio@
@a stick for digging with@|@oka@
@a stranger@|@iva@
@a surge@|@peahu@
@a troubled sea@|@taiehu@
@a walk@|@erega@
@a well-grown young man@|@puahuahu@
@a white beard@|@pavahina@
@a wife@|@veine@
@a woman@|@ahine, toaahine@
@a wooden stick for digging@|@oka@
@abortive@|@ero@
@above@|@ruga@
@addition@|@kopitiraga@
@always@|@ae@
@an@|@e@
@an arrow@|@oto@
@an exclamation of surprise@|@haha@
@an extinct tree@|@hiapo@
@an image@|@ata@
@an oar@|@ohe@
@an obstacle@|@alai, arrai@
@an offset of banana@|@huri@
@an old torn garment@|@maevaeva@
@an only son@|@atariki@
@an orphan@|@hihi@
@and it is roaring@|@a ua hetu e hana nei@
@anew@|@aka-hou@
