@English@|@Mansi@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of berry@|@päasär, pasar, picäa.r@
@a k. of bird@|@cülc, sils, süls, sulsi@
@a k. of fir-tree@|@nol, nolee, nul, nuläs, nuli, nulis@
@a k. of fish@|@pail, pajil@
@a k. of mushroom@|@paangx, peengk, peengkl-, peengl-@
@a k. of plant@|@panlä, polnaa, ponal, ponlä@
@a k. of salmon@|@oš-köl, uš, üs, üš@
@a loft on a pole@|@neel@
@a small bird@|@cängcï, sängks, sängs, sangsi@
@all@|@pussän@
@and@|@os@
@animal@|@uuj@
@arrow@|@lihänpaaxtnä-piwät@
@aunt@|@aanï, oon, ooni@
@back@|@sis@
@bad@|@l'uul'@
@because@|@kastäl, maahäs@
@below@|@jil, jolän@
@big@|@janih@
@black@|@seemäl@
@black currant@|@šošäh, sosih@
@blossom@|@soor, söri@
@board@|@paal, pal, pöl-kän@
@carry@|@aalent-, aalm-, älm-, ölm-@
@cartilage@|@naaräh, neeräh, neeräj, neerkee@
@chase@|@vujt-, wojt-, wujt-@
@child@|@naawram@
@chin@|@ëngän, ihän, ïn, jën, olc, uleš, üls, uuläs, wuuls@
@chop@|@jakt-, jäkt-, jäxt-, jikt-@
@circle@|@päart-, pährt-, powart-, püwäart-@
@cold@|@ašarma@
@cone@|@paak, paako, pöko@
@cover@|@pant-, pänt-@
@day@|@xötal@
@dog@|@aamp@
@door@|@ajäw, äjïw, äw, äwi, ëw@
@drinking vessel made of birch@|@sumpal, sumpäl@
@dust@|@raaw@
@ear@|@paal', pal', päl', palt-, pil'@
@earth@|@maa@
@edge@|@päart, part@
@egg@|@müngi@
@elbow@|@kat-pas, päs, pisi@
@elder female relative@|@uup, wuup@
@end@|@awä.l, ool, oowl, owl@
@eye@|@sam@
@fang@|@ansar, ansär, änsär, anser, encä.r@
@father@|@äacï, aas, jah, ös@
@father-in-law@|@apaa, op, up@
@feather@|@pun@
@fire@|@naaj@
@fish@|@xuul@
@fish milt@|@näncii, nins, nisäng@
@five@|@at@
@flea@|@šonš, šoš, sus, šuš@
@fog@|@seengkw@
@foot@|@paalkat, pölkänt@
@four@|@nila@
@front part@|@aj, az, až, ažin@
@glitter@|@sulh-, sülh-, süll-@
@good@|@jomas@
@grass@|@pum@
@grey@|@seeri, sir, šir@
@hair@|@aat, eet@
@hand@|@kaat@
@hard snow@|@saali-sihr, sahr, sárt-, sihr, sihrt, soor, soräj-@
@he@|@taw@
@head@|@aawa, päng, pängk, pungk@
@heart@|@sim@
