@English@|@Manx@
@Author name@|@Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@(prefix) -able@|@yn-@
@(prefix) diminutive@|@myn-@
@(prefix) duplicate@|@mac-@
@(prefix) multi-@|@yl-@
@(prefix) ortho@|@cair-@
@(suffix) -like@|@-oil@
@a bad sort@|@drogh cheintagh@
@a bath@|@tobbyrr-oonlee@
@a bill@|@coontey@
@a bit@|@red beg@
@a bite@|@greim@
@a black sheep@|@keyrrey cheeir@
@a bog@|@curragh@
@a book@|@lioar@
@a brake@|@glackan@
@a break@|@brishey@
@a British person@|@Goaldagh@
@a brush@|@skeab@
@a bus@|@barroose@
@a centre@|@laare@
@a change@|@caghlaa (pl. caghlaaghyn)@
@a chat@|@cooish, cowag (pl. cowagyn)@
@a cheese@|@caabaig@
@a club@|@club@
@a cook@|@coagyrey (pl. coagyryn)@
@a cooker@|@coageyder (pl. coageyderyn)@
@a curse@|@mollaght@
@a drill@|@tarrar@
@a drink@|@jough@
@a farm@|@gowaltys@
@a few more@|@beggan elley@
@a file (line)@|@strane@
@a flat@|@cummal rea@
@a floor@|@laare@
@a fly@|@quaillag@
@a form@|@ferrym@
@a gap@|@baarney@
@a garden@|@garey@
@a great many@|@ymmodee mooar@
@a grid@|@moggyl@
@a grill@|@greddan@
@a grip@|@greim@
@a guarantee@|@barrantys@
@a guest@|@goaldagh@
@a head@|@kione@
@a hill@|@cronk@
@a hint@|@sannish@
@a hollow@|@laggan@
@a joke@|@spotçh@
@a lecture@|@leaght@
@a light@|@soilshey@
@a little@|@beggan@
@a little more@|@beggan elley@
@a load@|@laad@
@a loan@|@eeasaght@
@a lot@|@lab@
@a man@|@dooinney, fer, fer  (pl. fir)@
@a man's son@|@mac dooinney@
@a map@|@caslys-çheerey@
@a mark; marks@|@cowrey (pl. cowraghyn)@
@a marsh@|@curragh@
@a meal@|@lhongey@
@a mesh@|@moggyl@
@a mess@|@brock@
@a mill@|@mwyllin@
@a minute@|@minnid@
@a minute account@|@mynchoontey@
@a mouth@|@beeal@
@a note@|@note@
@a novel@|@oorskeeal@
@a park@|@pairk@
@a pet; pets@|@biggin (pl. bigginyn)@
@a photograph@|@caslys-soilshey@
@a pill@|@milleen@
@a play@|@cloie (pl. cloiaghyn)@
@a prize@|@aundyr@
@a question@|@feysht@
@a race@|@ratçh@
@a record@|@recortys@
@a rest@|@fea@
@a rod@|@slat@
@a room@|@reamys@
@a sandwich@|@braghtan@
@a seat@|@soiag@
@a seed@|@rass@
@a series@|@strane@
@a sheep@|@keyrrey (pl. kirree)@
@a shirt@|@lheiney@
@a shop@|@shapp@
@a society@|@sheshaght@
@a sort@|@sorçh@
@a Spanish person@|@Spaainagh@
@a stream@|@strooan@
@a tax@|@keesh@
@a terrace@|@strane@
@a very short time@|@tootch@
@a very thin person@|@ushylagh@
@a view@|@reayrt@
@a wheel@|@queeyl@
@a while@|@tammylt, tamylt@
@a while ago@|@vaidjin@
@a whisper@|@sannish@
@a whistle@|@feddan (pl. feddanyn)@
@a wing@|@skian@
@AAerican@|@Americaanagh@
@abacus@|@abacus@
@abberant@|@shaghyrnagh@
@abbey@|@abban@
@abbot@|@abb@
@abbreviate@|@aagherrey@
@abbreviation@|@aagherrid@
@abdicate@|@irree ass@
@abdicated@|@irrit ass@
@abdication@|@irrey ass@
@abdominal@|@y volgey@
@Aberdeen@|@Aberdon@
@ability@|@ablid@
@abjuration@|@mynney noi@
@ablaut@|@ablout@
@able-bodied@|@lajer@
@abnormalityy@|@anreiltys@
@aboard@|@er-boayrd@
@abode@|@chagh, ynnyd veaghee@
@abolish@|@astyral, astyrt@
@abolished@|@astyrit@
@abolition@|@astyrt@
@abortive@|@anappee@
@about@|@mychione, mygeayrt, mysh@
@about me@|@moom@
@about to@|@çhee: er çhee, er-çhee@
@about you@|@mood@
@above@|@erskyn, ny shlee na@
@above her@|@er-e-skyn@
@above him@|@er-e-skyn@
@above you@|@er-dty-skyn@
@above-mentioned@|@heose imraait@
@above-named@|@heose imraait@
@abreast of the times@|@heose rish y traa t'ayn@
@abroach@|@baarnit@
@abrogated@|@jeant gyn bree@
@abscess@|@askaid vooar@
@abscessed@|@ingyrit@
@absconder@|@cheader@
@absence@|@assaar@
@absent@|@ass eanish, assaaragh, assairagh@
@absentee@|@assaaragh@
@absinth@|@absynt@
@absolute@|@ynrican@
@absolutely@|@ass myghin, er dagh ooilley chor@
@absoluteness@|@ynricanys@
@absolved@|@leihit@
@absolving@|@feayslee, feayslee@
@absorb@|@jiole seose, maanal@
@absorbency@|@maanalys@
@absorbent@|@maanalagh, maaneyder@
@absorbing@|@maanagh@
@absorption@|@maanalys@
@abstain@|@obbal@
@abstinence@|@obbaltys@
@abstruse@|@neuvaghtal@
@absurd@|@gyn cheeayll@
@abundance@|@ymmodys@
@abundant@|@skyollagh, ymmodagh@
@abuser@|@oltooanagh@
@abusive@|@drogh@
@acacia@|@acaashey@
@academic@|@acadoil, ard-schoillar, ollooagh@
@accentuate as letter@|@cur slattag er@
@accentuation@|@cur slattag er@
@acceptation@|@keeayll fockle@
@accidental@|@drogh-haghyrtagh, lhag-haghyrtagh@
@accidentally@|@dy tuittymagh@
@acclaim@|@yllagh@
@accolade@|@accolaid@
@accomodate (lodge)@|@aaghtey@
@accomodating@|@obligaidagh@
@accomodation@|@aaght@
@accompany@|@freayll sheshaght rish@
@accomplish@|@jannoo@
@accordance@|@freggyrtys@
@according to@|@coardail rish, coardail rish; rere, rere@
@according to law@|@rere yn leigh@
@according to use@|@rere chliaghtey@
@according to; precedent@|@reir@
@accountable@|@oolagh@
@accountancy@|@coontysseyraght@
@accountant@|@coontysseyr@
@accuracy@|@currymid@
@accurate@|@currymagh@
@accursed@|@cursit, custey@
@accustomed@|@cliaghtit, oayllagh (rish)@
@ace@|@ard-olloo@
@acetate@|@assetait@
@acetic@|@aseetagh@
@acetone@|@asseytoan@
@ache@|@pian@
@aching@|@pian@
@acid@|@sharroo@
@acidish@|@beggan geayr@
@acknowledge@|@freggyr rish@
@acknowledged@|@bwooise currit er son, freggyrit@
@acne@|@acnee@
@acolyte (office of)@|@cainleyraght@
@acoustic@|@accoustagh@
@acquaint@|@cur fys hug, insh da@
@acquainted@|@ainjyssagh (rish)@
@acquisition@|@troar@
@acre@|@acyr@
@acreage@|@acyraght@
@across@|@har, hoal, hoon@
@acrylic@|@acryllagh@
@act@|@aghtey@
@action (military)@|@caggeeaght@
@activate@|@jannoo bio@
@activity@|@roortys@
@actor@|@aghteyr@
@actual@|@hene, rieugh@
@actuality@|@rieughid@
@actually@|@jeer@
@ad infinitum@|@gyn jerrey@
@ad interim@|@dy shallidagh@
@ad lib@|@rere yeearee@
@Adam's apple@|@ooyl ny scoarnee@
@adder@|@aarnieu, aernieu@
@address@|@enmys, oraid@
@adequate@|@dy liooar@
@adequateness@|@freggyraght@
@adhere@|@taah@
