@English@|@Maori@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a@|@and, he, ki@
@a cave@|@ana@
@a fortified living place@|@pa@
@a garment@|@tawaru@
@a garment for females@|@ahumehume@
@a gathering place@|@marae@
@a name@|@kaiweka, owhata, wairerewai@
@a snare for birds@|@ahere@
@a training centre@|@kokiri@
@abdomen@|@puku@
@ability@|@kaha@
@about this time@|@aianei@
@above@|@i runga@
@acerbic@|@koi@
@affluent@|@hunga whai rawa@
@after@|@i muri iho, muri@
@afternoon@|@ahiahi@
@again@|@ano@
@agrreable@|@ahuareka@
@aiding@|@manaaki@
@all@|@katoa@
@also@|@hoki@
@although@|@ahakoa@
@aluminium@|@konumohe@
@always@|@tonu@
@America@|@Amerika@
@an outer garment@|@tawaru@
@an ugly fellow@|@aitanga-a-punga@
@ancestress@|@tupuna@
@ancient@|@tawhito@
@and@|@a, hoki, me, me@
@And corruption guard our State@|@Mãu e whakaahu kë@
@angry@|@pukuriri, riri@
@Aoraki is the mountain@|@Ko Aoraki te maunga@
@appearance@|@ahua@
@april@|@âperira, épéréra, Paengawhâwhâ@
@arm@|@ringa@
@arranged@|@whakaritea@
@arrive@|@tae, u@
@ash@|@pungarehu@
@ashamed@|@whaka maa@
@ashore@|@uta@
@ask@|@ui@
@at@|@hei, I, kei, kei, kei, ki, ki reira ki@
@at a distance@|@akiko@
@at present@|@inâianei@
@at those gatherings@|@i aua huihuinga@
@ata@|@dawn, quietly@
@Auckland@|@Âkarana, Tamaki Makaurau@
@august@|@âkuhata, atété, hereturikôkâ@
@aunt@|@matua kêkê, whaea@
@Australia@|@Ahitereiria@
@back@|@taurana@
@bad@|@kino@
@bad luck@|@aitua@
@bairn@|@tamaiti@
@banks@|@pareparenga@
@bastard@|@poriro@
@bathroom@|@whare kaukau@
@be dead@|@mate@
@be knowledgeable@|@moohio@
@be receited@|@kauwhautia@
@be sent@|@tonoa@
@beach@|@one@
@beat@|@tuki@
@beautiful@|@âtaahua, pai@
@beauty@|@humariretanga@
@become men@|@whakatangata@
@bed@|@moenga@
@bedroom@|@rûma moe@
@before mentioned@|@taua@
@belly@|@puku@
@belonging to him@|@ahana@
@below@|@i raro@
@bent like a hook@|@ahaka@
@Berlin@|@Pearîni@
@betorethed@|@puhi, puhihumarire@
@betrothed@|@puhi@
@bettle@|@pâpapa@
@big@|@nui@
@bird@|@manu@
@birds@|@aitanga-a-tiki-kapakapa@
@black@|@mangu, pango@
@blank@|@mâ@
@bleak@|@makariri@
@blood@|@toto@
@bloom@|@puâwai, putiputi@
