@English@|@Mari@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a back body part@|@pulëš, pulš, pulukš@
@a curved body part@|@mäškär, müškër, müškür@
@a felled tree@|@ëlëp, lëpë@
@a k. of berry@|@modo, modo, mudê, mudë, mudë, päzälmä, pëzle, piz'l'e, pizle@
@a k. of bird@|@ceckem, cekce, checkem, kädär, këpšëlë, küdër, küdür, kukšulo, kupšülö@
@a k. of cereal@|@šädänghë, šëdang, šidabng, wištä, wiste, wište@
@a k. of coniferous tree@|@tërke@
@a k. of disease@|@mëž, muž@
@a k. of duck@|@ala-šoe, sue, toktë-lüdü@
@a k. of fir-tree@|@nulho, nülho@
@a k. of fish@|@müktä, müktö, šerenghä, serenhä, tatë, toto@
@a k. of fish (1)@|@këlchak, ši-kol, šij-kol@
@a k. of metal@|@kärtni-waž, ši-waž, ši-wož@
@a k. of mushroom@|@ponghä, pongho@
@a k. of plant@|@kuzë-wandë, os-këza-wondo, oš-kiza, oš-kuze@
@a k. of relative@|@ärwezä, ërweze, urweze@
@a k. of ski@|@jece, jeche@
@a k. of tree@|@šärni, šartne, šärtni, šertne@
@a k. of vessel made of birch@|@länghäš, lengeš@
@a k. of woodpecker@|@kerhe, kerhë@
@a large animal@|@wälä, wülä, wülö@
@a musical instrument@|@käräš@
@across@|@kach, koch, toreš@
@alder@|@löl-pö, lül-pe@
@angle@|@onghë, ongho@
@annual ring@|@šëj, šëja, ši, šija@
@ant@|@këtkë, kutko@
@armpit@|@jëmal, k.-jëmal, konghëla, kongla@
@arrow@|@nöl-pikš, nölö, piks, pikš@
@asp@|@šapi, šapki, šopke@
@ass@|@šänghän, šenghel, šengkel@
@autumn@|@šäžä, šëžä, šižä, šižë@
@back@|@šëlëž@
@back side of a knife@|@toš@
@band@|@kit-šol@
@bark@|@kär, kawaštë, kowašte, kür, kuwo@
@barley@|@šož@
@basket@|@kërëš, kurëš, kurukš@
@be stuck@|@piža-, pižä-@
@be torn@|@këškedä-, kuškeda-@
@bear@|@kerdä-, kerta-@
@become@|@ëla-, ula-@
@become ripe@|@küa-, küä-, küja-@
@bee@|@mükš@
@below@|@älwälnä, läwäl@
@belt@|@šäštä, šüštö@
@bend@|@cëhërhe-@
@bent@|@käšäl, këšël@
@berry@|@mör, mörö@
@bifurcation of a river@|@waž, wož@
@birch@|@kohi, kue, kuhi@
@bird@|@lëdë, ludë, ludo@
@birdcherry@|@lom-bë, lom-bo@
@bitter@|@kachë, kaška-, kaske, kaškë, kocho, koco@
