@English@|@Marquesan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@above@|@`uka, `una@
@all@|@tiatohu@
@and@|@maa@
@ash@|@`ehu/ahi, ànahu, kaàhu, ke/`ehu, kehu/ahi@
@at@|@i@
@back@|@tua@
@bad@|@ìno, kino@
@beat@|@tuì@
@belly@|@`opu, kopu@
@below@|@à`o@
@big@|@nui@
@bird@|@manu@
@black@|@hivahiva, kèe/kèe@
@blood@|@toto@
@bone@|@ivi@
@branch@|@àà@
@breast@|@u@
@child@|@tama@
@cloud@|@ao@
@cold@|@anu, kamaìì, makaìì, makkarede@
@correct@|@atamai@
@day@|@ao@
@dirty@|@hava, paàpaà@
@dog@|@nuhe, peto@
@Don't touch me there!@|@Umoi oe e tukia i au ina!@
@dry@|@pa, paka, pakaka, papaka@
@dull@|@mué, tumué@
@dust@|@épo@
@ear@|@ìka/, ìna, pua@
@earth@|@'epo@
@egg@|@mamai@
@eight@|@va'u@
@eye@|@konohi, korohi, mata@
@far@|@mama`o, mema`o@
@fat@|@hinu àma, kao@
@father@|@motua@
@feather@|@huú manu@
@fire@|@ahi@
@fish@|@ià, ika@
@five@|@'ima, ìma, ìma@
@flower@|@pua@
@fog@|@kohu@
@four@|@faa@
@fruit@|@hua@
@good@|@'eka, meitai@
@grass@|@mutie@
@green@|@ki óu ti teé@
@hair@|@hu`u@
@hand@|@ìma@
@he@|@ia@
@head@|@u`u, upoko@
@heaven@|@de ahgy@
@heavy@|@tono@
@house@|@aika, fa'e, ha'e@
@how?@|@peehea@
@husband@|@hahana@
@I@|@-'u, au@
@if@|@me@
@in@|@'oto, i@
@inside@|@ioo@
@intestines@|@koekoe@
@lake@|@vai óto@
@leaf@|@àu@
@left@|@akeake@
@leg/foot@|@vae@
@lightning@|@uià@
@liver@|@ate@
@long@|@`oa@
@louse@|@`utu, kutu, kutu papa@
@man@|@tama `oa, tane@
@meat@|@keko, kiko@
@moon@|@mahina@
@mosquito@|@nono@
@mother@|@kui@
@mouth@|@fafa, haha, nutu@
@name@|@ikoa, inoa@
@narrow@|@faiti, iti@
@near@|@tata@
@neck@|@kaakii@
@needle@|@nina@
@new@|@hou@
@night@|@poo@
@nine@|@iva@
@no@|@ie(hh)ai, tee@
@nose@|@ihu@
@old@|@ko`oua, koua, tehito@
@one@|@tahi@
@one hundred@|@'au@
@other@|@ke@
@painful@|@mamae, memae@
@path@|@nui@
@person@|@`enana, `enata, kenana@
@rain@|@ua@
@rat@|@kio`e, kumakuma@
@red@|@kuà, kuwa@
@right@|@atamai@
