@English@|@Maxakali@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@"Come here."@|@Ha: -Mã! Kaxïy@
@"Huh?"@|@Tu:-Hoo?@
@"Oh@|@Tute: -Ãy -@
@"Stop!"@|@Tikmü'ün te: -Ãhup!@
@"What is your name?"@|@Ha:- Ãxuxet'ax te xïy@
@(My) sister carried a lamp (male speaks)@|@Tuküm te kuyãnãm tat@
@...@|@ütaknõy xop xohix te 7 tihi ãx@
@..."@|@Tute: -Ãy -@
@...and the rascal shot an arrow at the jaguar@|@...ha ta axa kãy te:-Xëg. Kaxï@
@...lest he or it kill me@|@...kak-putex@
@….and had fat cheeks@|@Ha payïn top@
@….while the women wailed@|@...ïhã ün xop te: –Ëëë@
@A baby creeps on the floor@|@Kakxop pu'uhnãg te hãm yïküy@
@A bad man inflicts suffering on others@|@Tik üm kummuk te' nõy xüygãhã@
@A caterpiller crawls on the ground@|@Kakxexka te hãm tu' mõg@
@A fox killed a chicken@|@Kokexmax te xokakkak putex@
@A good man does good to others@|@Tik maih te' nõyha hãmmaihnãhã@
@A man built a fence@|@Tik te hãmpak@
@A man did something bad@|@Tik te' hãpkummuk müy@
@A man saw the corpse@|@Tik te' nõy xaxxok penãhã@
@A Maxakalí cheated on his wife@|@Tikmü'ün üm te xonnix@
@a room@|@hãm'ãta kox@
@A sliver pierced my finger.@|@Mïpxox tek yïpkutok xuhmïy.@
@A snake killed (someone)@|@Ha kãyã tep-tex@
@a toad@|@humnãg@
@A wasp stung the boy@|@Tuhup te kakxop putop@
@A woman gave birth to two children (twins)@|@An tek-tok tix put yãk-tonnix@
@A wood sliver pierced my hand@|@Mïm yãgnãg tek yïm xuhmïy@
@abandon@|@nïm, xupaha@
@abide@|@pip, xip@
@above@|@pepi@
@accordion@|@anmõg@
@accuse@|@kupex@
@adolescent@|@tuktup@
@adult@|@tiptap, xiptap@
@adulterate@|@xonnix@
@affirm@|@hamün@
@affirmation@|@yãm@
@afraid@|@kuxãnõg@
@afraid of@|@kutuk@
@after a long time@|@hãpxip punethok tap@
@after that@|@künãy tu@
@After that he took off@|@Hak-nãy tu' xupaha@
@afterward@|@tehomi@
@again@|@üxehe, xehe@
@agreement@|@he'e@
@ah!@|@ã@
@ail@|@pakut@
@alien@|@puknõg@
@all@|@xohix@
@All animals defecate@|@Xokxop xohix te pi'õn@
@All the ancestors died@|@Mõnãyxop xohix xakix@
@All the bananas are ripe@|@Tepta xohix ta@
@all the Maxakalí slept@|@tikmü'ün xohix mõ'yõn@
