@English@|@Mingrelian@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@3rd person pronoun@|@mu-@
@a crack@|@zior-@
@a dull thud@|@dgvap-@
@a k. of berry tree@|@kuc-@
@a k. of broadleaf plant@|@burg-@
@a k. of cherry tree@|@cqe-, cqi-, cqol-@
@a k. of fruit@|@'omur-@
@a k. of gourd@|@qoqore@
@a k. of wine dipper@|@kop-a@
@a little@|@chicha, chiche@
@a non-piercing hole@|@xwemur-@
@a plot of land@|@psua, sua@
@a tall field plant@|@di'-@
@a toponym@|@lia@
@above@|@ži@
@abundant@|@do-jonj-il-@
@abyss@|@ckurum-@
@accustom@|@nchq-@
@acorn@|@kä-, ki-@
@acquire@|@jin-, pa-l-@
@adolescent@|@ninnua@
@affirmative particle@|@ko@
@afterwards@|@u-kul-i@
@alder@|@txom-u, txum-u@
@all@|@'ir-, ir-@
@allergic rash on body@|@tom-a, tum-a@
@ambush@|@ragv-@
@among@|@xol-@
@angle@|@kuntx-u, kurtx-u@
@angry@|@chqor-, nchqor-@
@animal cub@|@kik-o@
@ant@|@chkichk-it-ia, pska-, ska, zhgizhg-it-ia@
@anvil@|@kulamor-, kulamur-@
@apple@|@uškur-@
@apple of the eye@|@gug-ar, gwigw@
@arm@|@'vil-e@
@armpit@|@gia, rgia@
@arrange@|@ncq-, ncqv-@
@arrive@|@ch-, chap-, chu-, nch- nchap-, nchu-, rt-@
@ash@|@tuta@
@ashes@|@gvelp-@
@asp@|@verxv-, vex-@
@attain@|@nchud@
@back of head@|@kop'e, kope@
@badger@|@munchkv-@
@barn@|@bag-u@
@bast@|@lipon-@
@be joyful@|@xi-ol-@
@be quiet@|@šuš-@
@be scared@|@rskin-, skin-@
@be thirsty@|@'um-en-@
@be torn@|@gilat-, gilit-, girt-@
@beak@|@nichkv-, nijgw, ninjgw-@
@bear@|@tunt-@
@beard@|@cvand-, cvanzh-@
@beat@|@txiraš-, txiriš-, txiroš-@
@become silent@|@'urs-@
@beech@|@cipur-@
@befoul@|@cik-, cikw-@
@bell@|@zor-@
@below@|@gäm-e, gim-e@
@belt@|@o-rtq-apu@
@besom@|@chorchx-@
@bifurcated twig@|@škurd-on-@
@big@|@did-@
@big stick@|@biga@
@big wooden vessel@|@kotxo@
@birch tree@|@bul-@
@bird faeces@|@ckintil-@
@bitter@|@chor-, cutx-e@
@bitter gourd@|@kolo-chura@
@blackberry@|@mu'-@
@blackbird@|@zeskv-, zhgirzhg-, zhgorzhg-@
@bloat@|@ši-n-, šišin-@
