@English@|@Mizo@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@10.000@|@sing@
@1000@|@sang@
@1st vertebra next to the head@|@tukkhum thlung ruh@
@a bamboo@|@rua ro@
@a bank@|@kô@
@a basket for storing rice@|@pa@
@a bed@|@khum, m-khum@
@a billion@|@tlûk leh dinawn hmun sang@
@a bird of prey@|@k-laang@
@a blossom@|@pár@
@a boat@|@long@
@a branch@|@zár@
@a brass cooking pot@|@tlâng bêl@
@a bread-winner@|@khai-pa, khai-pui-pa, khaipa ber, khaipuipa ber@
@a bull@|@boong@
@a Burmese@|@kool@
@a burrow@|@ko, kua@
@a cage@|@rip@
@a cap@|@tlailam lukhum@
@a captive of war@|@tuk-luh sal@
@a captive taken in war@|@sal@
@a cascade@|@tui-khawh-thla@
@a cave@|@púk@
@a centipede@|@tiit@
@a cistern@|@tui-chhun@
@a class of Lushai sacrifice@|@khal chuang, khal chung, khal pui, khâl tluang@
@a class of Lushai sacrifices@|@ar khal, arpui hang khal, kêl khal, khal chuam@
@a cliff@|@khám@
@a coffin@|@khong, kuang, r-kuang@
@a communal dance@|@tlâng lâm@
@a conduit@|@tui-dawn@
@a couple@|@kop@
@a crab trap@|@ai-awt@
@a crack@|@kak@
@a creeper@|@hrui@
@a crystal@|@thal@
@a cubit@|@tong@
@a dam@|@khar, tui khuahna@
@a descendant@|@tu-chhuan@
@a drudge@|@tirh-chhiah@
@a drum@|@khuang@
@a fathom@|@hlam@
@a fence@|@pal@
@a finger@|@m-yung, zung@
@a fireplace@|@thuk@
@a flat shallow basket@|@khô@
@a flower@|@pang-pár@
@a foreigner@|@vai@
@a gadfly@|@tlip@
@a gathering prolonged@|@to fualna@
@a goat@|@keel@
@a good morning@|@tûk that tûk@
@a grain@|@fang@
@a grandmother@|@pi@
@a gulf@|@tuifinriat tengsawl@
@a gutter@|@tuihawk luan kawr@
@a hair-worm@|@tuam hrui@
@a hammer@|@tu-bauh@
@a hatchet@|@hrei@
@a hawk@|@mu@
@a heap@|@vúng@
@a hillman@|@tlânga mi@
@a hole@|@khuar, khur@
@a hollow in the ground@|@koom@
@a house@|@in@
@a house of mourning@|@khawhar in@
@a joint@|@chaang, tuah@
@a joint of finger@|@chang@
@a k. of basket@|@thuul@
@a k. of edible beans@|@be@
@a k. of gourd@|@gan@
@a k. of insect@|@m-khra, tha@
@a k. of oak-tree@|@fa'@
@a kind of balcony@|@tukverh leîh-ka-pui@
@a land-leech@|@vang-vat@
@a large circular bamboo recept@|@zém@
@a large expanse of water@|@tui-pui@
