@English@|@Moghol@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1st Sg. ps. pronoun obl. case@|@namei, nan-@
@3d p. possessive pronoun@|@i, ini, ne, ni@
@a drink@|@undö@
@above@|@dei-du, dei-ra, dekši, derä@
@affection@|@dor@
@afternoon@|@odur, udur@
@air@|@kei@
@alive@|@amüdu'i@
@arm@|@har, qöri@
@ashes@|@enasun, unasun, unäsun@
@axe@|@chöqor@
@barley@|@arfä, arfei@
@beak@|@qošun@
@become wet@|@debtäl-@
@below@|@dora, dörö@
@big@|@(j)ekä, ikä, ïkä@
@bitter@|@hašün, qašün, qošun@
@black@|@qarä, qarö@
@blanket@|@könžilä@
@blood@|@chosun, chusun@
@bone@|@josun, jösun@
@border@|@qyzi@
@breast@|@cheiži, ebchoun, ebchün@
@bridle@|@qadär@
@buttocks@|@buhär@
@cage@|@tor@
@calf@|@tuhul@
@calf 1 year old@|@boröhol, boröwol@
@camel@|@temo@
@carry on one's back@|@achi-@
@centre@|@höl@
@cheek@|@oräu@
@clean@|@orün, örün@
@clothed@|@burk@
@cloud@|@äwur, öur@
@completely@|@chölö@
@cow@|@üinä@
@crow@|@alaG turü, xara turü@
@daughter@|@ukin@
@daughter-in-law@|@beiri@
@defile@|@tirä@
@difficult@|@kondu, kündü@
@direction@|@žug@
@distinguish@|@elhö@
@dog@|@noqei, noqéi@
@donkey@|@elžihön@
@door@|@öüdän, ujdän@
@ear@|@cigi@
@early@|@irte@
@earth@|@hazar, hažar@
@egg@|@ondägän, ündähön@
@elbow@|@toqai@
@employ@|@žoru-@
@end@|@söül, sul@
@eye@|@nodun, nüdün@
@face@|@nür@
@far@|@qolä, qolö@
@felt@|@siskei@
@fibre@|@öra@
@fifty@|@täbun@
@finger-nail@|@qemsun, qimsun@
@fire@|@höl@
@firewood@|@tulän, tülën@
@five@|@tabun, täbun@
@flame@|@dürgä-, dürü-@
@flatus@|@onhu@
@flour@|@horul, hulur@
@fly@|@neso-@
@foot@|@kol, köl@
@four@|@dorbön, dürbön@
@full@|@dorgön@
@fur hat@|@malGei@
@general state or condition@|@nira-@
@good@|@söïn@
@grass@|@ebäsun@
@green@|@kukä, kükä@
@grey@|@borö@
@gruel@|@bodön@
@gun@|@qarbuxchi@
@hair@|@osu, üsün@
@hallucination@|@sox-sox@
@hammer@|@aluqa@
@hard@|@xata@
@hare@|@itoulä@
@haunch@|@souži@
@head@|@ekin@
@hear@|@sonasä, sonusu-@
@heart@|@ourä, žürkä@
@heavy rain@|@boron@
@hillock@|@boqqön@
