@English@|@Mohawk@
@Author name@|@Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@afternoon: in the ~@|@entye nikare@
@airplane@|@tekatens@
@Algonquin nation@|@Atirontaks@
@allow (v.)@|@-erihenhs@
@ankle@|@ohsinekòta@
@apple@|@sewahyowane@
@April@|@Onerahtokha@
@apron@|@ateniyonta@
@arm@|@onentsha@
@armband@|@atenentshawi'tanha@
@arrow@|@kayènkwire@
@August@|@Sehskeha@
@aunt@|@-sta'a@
@ax@|@atoken@
@baby@|@owira@
@back@|@ohswa@
@back of the neck@|@onyàra@
@baked squash@|@watenon'onhseronte@
@ball@|@athenno'@
@banana@|@tyotahyàkton@
@barn@|@tsi yetskwa'ehstha@
@basket@|@àthere@
@bass@|@ohskawiyak@
@basswood tree@|@ohohsera@
@bat@|@yakohonhtariks@
@bathroom@|@tsi yotahshetahkwen@
@beans@|@ohsahèta@
@bear@|@ohkwari'@
@beaver@|@tsyennìto@
@bed@|@kanakta@
@bedroom@|@tsi yonnonhwetstha@
@beer@|@katsi'tsyakeras, onen'takeri@
@beet@|@onekwenhtara nikatsihkòten'@
@belt@|@atya'tanha@
@bird@|@tsi'tenha@
@black@|@kahòntsi@
@black ash tree@|@ehsa@
@black bear@|@wahkwari'tahóntsi@
@blanket@|@ahsire@
@blood@|@onekwenhsa@
@blue@|@orònya@
@boat@|@kahonweya@
@body@|@oyàta@
@boiled squash@|@kanon'onhsero@
@bone@|@ohstyen'@
@book@|@kahyatonhsera@
@bookcase@|@yehyatonhserarahkwa@
@bow@|@a'enna@
@bracelet@|@atenentshanha@
@brain@|@onònwara@
@branch@|@o'nhahte@
@bread@|@kanàtaronk@
@bridge@|@wahskohon@
@brown sugar@|@katsikhe'tahòntsi@
@bucket@|@kanàtsyonk@
@bush@|@okwire@
@butter@|@owihstohsera@
@butterfly@|@tsiktsinonnawen@
@buttermilk@|@kanon'tihsa@
@button@|@yetsihkotahkwa@
@buy (v.)@|@-hninons@
@camera@|@yontatya'tarahkwa@
@canary@|@otyaren'ta'a@
@candle@|@ohahsera'onwe@
@candlestick@|@yehahserotahkwa@
@candy@|@otsikhèta@
@cane@|@atennits@
@canoe@|@onake@
@car@|@kàaere'@
@carpet@|@kentskare@
@carrots@|@otsinekwar ohtera@
@cat@|@takohs@
@caterpillar@|@kanontatsi@
@cave@|@yonontakàronte@
@Cayuga nation@|@Kayonkwe'hàka@
@chair@|@ennitskwàra@
@cheek@|@ohohkwa@
@cherry@|@eri@
@child@|@eksa'a@
@children@|@eksa'okonha@
@chin@|@ohyotsha@
@chipmunk@|@orhyoken@
@church@|@Ononhsatokenhti@
@city@|@kanatowanen@
@clay@|@o'tara@
@clock@|@kahwihsta'eks@
@closet@|@yohkwennyarahkwa@
@clothes@|@ahkwennya'@
@cloudy: it is ~@|@yorornhyòron@
@clown@|@attsihstohkwa@
@coat@|@atyàtawi'@
@coffee@|@kahwe@
@coffee pot@|@kahwetsheronnyàtha@
@cold: it is ~@|@yothore@
@comb@|@atkerothiya@
@cooked squash@|@onon'onhseràri@
@corn@|@onenhste@
@corn seed@|@onenha@
@corn soup@|@onenhsto@
@couch@|@yontorihshentahkwa@
@cough (v.)@|@-hshakha'@
@count (v.)@|@-hseta's@
@cow@|@tyonnhonhskwaron@
@Cree nation@|@Ratirhakonha@
@creek@|@nikahyonha'ah@
@cricket@|@taraktarak@
@crow@|@tsyòkawe@
@cucumber@|@kanon'onhserakeras@
@cupboard@|@tsi yeksayentahkwa@
@dairy@|@onon'tahson'a@
@dance@|@kanonnya@
@dark red@|@kanekwenhtarahòntsi@
@December@|@Tsyothorha@
@deer@|@ohskennonton@
@desk@|@yehyatonhstahkwa@
@dining room@|@tsi teyontskàhons@
@dirt@|@o'kènra@
@dish@|@kaksa@
@dish towel@|@yeksokewàtha@
@dog@|@erhar@
@doll@|@kaya'tonni@
@domestic animal@|@kanahskwa@
@door@|@kanhoha@
@doorway@|@tsi kanhokàronte@
@dough@|@ohsherha@
@doughnuts@|@kahsherhonni@
@downtown@|@kanathen@
@dress@|@o'whahsa@
@dried corn@|@yonenhstathen@
@drink (v.)@|@-hnekirha'@
@drive (v.)@|@-toris@
@duck@|@sorak@
@earth@|@onhwentsya@
@eight@|@sha'tekon@
@eighteen@|@sha'tekon-yawenre@
@elbow@|@ohyohsa@
@eleven@|@enhskat-yawenre@
@elm tree@|@akaratsi@
@enter (v.)@|@taweyàtha'@
@envelope@|@watya'tarahkwa@
@erase (v.)@|@-hyatonkwas@
@eraser@|@tsyerakewahtha@
@evergreen@|@onènta@
@eye@|@okàra@
@eyelash@|@okahrehta@
@face@|@okonhsa@
@fall (v.)@|@-yàten's@
@fall: in the ~@|@kannenna'kène@
@family@|@kahwatsire@
@father@|@-'niha@
@February@|@Ennihska@
@fence@|@aten'ènra@
@field@|@kahehta@
@fifteen@|@wisk-yawenre@
@fifty@|@wisk-niwahsen@
@fifty-five@|@wisk-niwahsen-wisk@
@find (v.)@|@-etshenryes@
@fingernail@|@otsi'era@
@five@|@wisk@
@flashlight@|@yehahserenhahstha@
@flour@|@othèsera@
@flower@|@otsìtsya@
@flower bed@|@katsi'tsyayenthon@
@flowerpot@|@yetsi'tsyarahkwa@
@fly@|@tsiks@
@food@|@kakhwa@
@foot@|@ohsíta@
@forehead@|@okonkwara@
@fork@|@ahsikwe@
@forty@|@kayeri-niwahsen@
@four@|@kayeri@
@fourteen@|@kayeri-yawenre@
@fox@|@tsitsho@
@fresh corn@|@yonenhstase@
@fresh meat@|@o'wahràse@
@Friday@|@Wishkatont@
@fried meat@|@ka'wahrakehrìta@
@fried potatoes@|@kahnenna'takehrìta@
@frog@|@tsikeren'tanhnyaks@
@front of the neck@|@onyàta@
@fruit@|@kahik@
@fruit juice@|@wahyakeri@
@frying pan@|@yena'tsyarahkwa@
@game@|@okahrìtshera@
@gas station@|@tsi kenhyenahninons@
@gather (v.)@|@-eròroks@
@get up (v.)@|@-tketskwas@
@glass@|@owise@
@glasses@|@atkahranha@
@glue@|@teyekhahstha@
@goat@|@kaya'takeras@
@gold@|@ohwihstanoron@
@goose@|@onahsakenra@
@grain@|@enhnekeri@
@grandfather@|@-hsotha@
@grape@|@onenharatase@
@grass@|@ohonte@
@grasshopper@|@tsihstarare@
@green@|@ohonte@
@groceries@|@atennàtshera@
@grocery store@|@tsi yekhwahninons@
@gun@|@kahonre@
@hailing: it is ~@|@tyowihsonhtyon@
@hair@|@ononhkwise@
@hand@|@ohsnonhse@
@hand towel@|@yontkonhsokewahtha@
@harvest (v.)@|@-yenthokwas@
@hawk@|@karhakonha, karhakonha@
@head@|@onontsi@
@headband@|@atenonhwaranha@
@headdress@|@kahstowa@
@heart@|@aweryahsa@
@heat something (v.)@|@-tarihàtha'@
@hemlock tree@|@onen'ta'onwe@
@heron@|@kentsyokwas@
@hide something (v.)@|@-hsehtha'@
