@English@|@Mohegan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a dance@|@mutáhkáwôk, mutáhkáwôkansh@
@a dwelling-place@|@wicuw@
@a house@|@wicômash, wicuw@
@a hug@|@wôqutuwôk@
@a little house@|@piwicuw, piwicuwash@
@a minute@|@cáwhki, cáwhkish (pl)@
@a point@|@cáwhki, cáwhkish@
@a round Indian dwelling@|@wiqám, wiqámsh@
@a sod house@|@cáhqin, cáhqin, cáhqinsh, cáhqinsh@
@abandon him@|@nukay-@
@abandon it@|@nukatum-@
@able@|@tápi@
@about@|@papômi@
@about to@|@katawi@
@above@|@waskici@
@abundant@|@mutáwiyu-@
@abundant (inanimate things)@|@mutáwiyu-@
@accompany him@|@wicáw-@
@acorn@|@anôhcum, anôhcumunsh@
@across@|@akômuk@
@add to it@|@it kotunihto@
@address@|@wut'hkiwôk, wut'hkiwôkansh@
@after@|@kisi@
@again@|@yôpi@
@ahead@|@nikôni@
@alcohol@|@ôhkupi, ôhkupish@
@alike@|@tátupi@
@all@|@wámi@
@almost@|@ciwi@
@along with@|@wici@
@already@|@kaci@
@alternate form of hundred@|@pásuq@
@always@|@mucimi@
@an artificial enclosure@|@kamuq, kamuqsh, kamuqsh (pl)@
@an embrace@|@wôqutuwôk@
@An offering of tobacco@|@makowôk wuci inpáwôk@
@and@|@qá, tá, táká@
@anger@|@musqôhtamnutuwôk, musqôhtamnutuwôkansh, musqôhtamowôk, musqôhtamowôkansh@
@angry@|@kisqutu-, musqôhtam-@
@animal@|@awáyáhs, awáyáhsak@
@another@|@ôkutak, ôkutakanak, ôkutakansh@
@ant@|@áyiks, áyiksak@
@anyone@|@awán@
@apple@|@áhpihs, áhpihsak@
@are you (pl) doing?@|@cáqan kutusumô?@
@are you doing@|@cáqan kutus?@
@arise@|@ômki-, pasuqi-@
@arm@|@-hputin@
@around@|@papômi@
@ascend@|@qi-@
@ash tree@|@môyôhks, môyôhksak@
@ashamed@|@akacu-@
@ashes@|@puqi@
@ask@|@natotum-@
@ask him for it@|@wihqitumaw-@
@asleep@|@kawi-@
@assemble@|@môwáwi-@
@at night@|@nipôwi@
@attempt@|@quci-@
@aunt@|@-ohkumihs, nohkumihsak@
@autumn@|@taqôq@
@awake@|@tohki-@
@away@|@ôkowi, wutôtunum-@
@awl@|@muqs, muqsak@
@axe@|@takôk, takôkansh@
@baby@|@páhpohs, páhpohsak@
@back@|@wuták@
@back of body@|@-hpsqan@
@backbone@|@-takôq@
@bad@|@maci@
@bake@|@aposu-@
