@English@|@Monguor-Tu@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a drink@|@ücihu@
@a k. of alder@|@nuguzë@
@a k. of wild leek@|@GoGor@
@a pinch@|@cimo-@
@abandon@|@šGala-, xaGala-@
@above@|@de-di, dëre, te-šë@
@adapter@|@nire-@
@afternoon@|@dur, udur@
@age@|@uje@
@agreement@|@ganžën@
@air@|@kï@
@all@|@xana, xü-la, xü-lo@
@alone@|@szaGär, xazaGär@
@anger@|@ür@
@anklebone@|@sä, sihu, šö@
@ant@|@sorGozin@
@antelope@|@korosë@
@arm@|@Gar@
@armour@|@xojaG, xujaG@
@armpit@|@sü@
@arrow@|@sumu@
@art@|@uran@
@ashes@|@funësë, funëzë@
@ask@|@Gwërla@
@awl@|@šubuge, süge, šüge@
@axe@|@sugo@
@back of the head@|@gëde@
@bad@|@burü, mau, mü@
@bald@|@nu, tarGë@
@bands to sacrificial animals@|@sder@
@bare@|@nëchigör, nicigör, nucigör@
@be broken@|@pudërä-@
@be ended@|@sunö- sunë-@
@be heated@|@se-, xe-@
@be in wait for@|@xana-@
@be wet@|@nöri-@
@beak@|@Gošë@
@beautiful@|@saixan, sëGan@
@become cold@|@dära-@
@become wet@|@tëbde-, tude-@
@believe@|@šden@
@bell@|@xongGor@
@below@|@döro@
@belt@|@busë, puzë@
@besom@|@šü-, sür@
@beyond@|@caGšë, taGšë@
@big@|@šge@
@bind together@|@xulö-@
@bird@|@sau, šü@
@bird of prey@|@sär@
@bitter@|@Gašën, Gašin, xašin@
@black@|@xara@
@blade@|@ir@
@blanket@|@gwënzilen@
@blind@|@soGor, suGor@
@blood@|@cëzë, cëzu, chisë@
@bone@|@jasë@
@border@|@gëžär, gizär@
@bosom@|@sižau, szü@
@bow@|@mätari, tongGoi-@
@bracelet@|@baGür@
@brain@|@taraGsï, taraGszi@
@branch@|@këzü, sal-, sala@
@breast@|@j(w)ër, jer, sizan, ujer, ur, wer@
@bridge@|@körgo@
@bridle@|@Gadar, Gaza-, Gazar@
@broil@|@sirä-@
@brother-in-law@|@kurgen diu@
@brown@|@halö, kalür@
@bucket@|@saulGa, sürGa@
@bunch@|@xongGozoG@
@bushes@|@budä@
@butterfly@|@xalege, xalige, xelige, xerbuge@
@button@|@deszi@
@cage@|@tör@
@calf@|@tuGul, tuGur@
@calf 1 year old@|@burü@
@call@|@uri-@
@camel@|@tëmen, timen@
@carry on one's back@|@szä@
@cavity@|@GongGuloG@
@centre@|@Gol, Gor@
@chaff@|@xürzë@
@chase@|@bärdi-, wärdi-@
