@English@|@Mordvin@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a certain time@|@päl'ä-ve škada, pel'e-ve škane, se škane@
@a k. of berry@|@pizel, pizol@
@a k. of bird@|@chekšata, šäkšan, šäkšata, šäkši, šekšata, šekšej@
@a k. of bird (1)@|@uskerej, uskorej, veskorej@
@a k. of cereal@|@viš, višä@
@a k. of container@|@chava, šava@
@a k. of dove@|@mecha, meche, per-mech@
@a k. of duck@|@culga, sulga, sulgo@
@a k. of female relative@|@dädä, tädä, tärä@
@a k. of fish@|@sär'gä, senä, senej, seni, ser'ge, sijä, sijä, sije, sije, tutka@
@a k. of insect@|@unža, unžaka@
@a k. of marten@|@pacha@
@a k. of metal@|@uskä, uske, viskä@
@a k. of mushroom@|@panga, pango@
@a k. of plant@|@sura, suro@
@a k. of relative@|@ervä, erväja-, urva, urvaksto-@
@a k. of rodent@|@maksaka, maksazej, moda-maksaka@
@a k. of sour plant@|@umbrav, umbura, umburav, umrav@
@a k. of tree@|@chufto, chuftomo-, chuvto, siräk, sirt, sirte, šufta@
@a k. of vessel@|@kovol, kovol, kowil, vakan@
@a k. of woodpecker@|@kärgä, kergata@
@a large animal@|@vedaka, vedraš@
@a musical instrument@|@karzi@
@a slit in a cloth@|@urmac, urmats@
@across@|@troks, turks@
@alder@|@lepä, lepe@
@already@|@nej, ni@
@and@|@da, i@
@anger@|@kezš@
@angle@|@kochkara, kochkära, kochkerä@
@animal's stomach@|@pärma, pujarma, purmo@
@ant@|@kotkodov, kotkudav@
@apple@|@mar, marja, umar@
@armpit@|@k.-al, k.-alks, kaval@
@arrive@|@sams@
@arrow@|@nal@
@ashes@|@kulong, kulov, kulu@
@asp@|@poj, poju@
@at first@|@vasenda, vasna@
@autumn@|@s'oks, s'oks', soks, soks'@
@awl@|@ura, uro@
@axle@|@ažija, ažjä@
@back of knife@|@chov, chovone, šov@
@bad@|@berjanj@
@bald@|@kuža, kužo@
@bar@|@bar@
@bark@|@kar, kär, kär, kär, ker, ker, ker, kšnat, kšnit, kuva, kuva, kuvo, kuvo@
@barley@|@chuž, šuž@
@be burnt@|@kirvaste-, korväste-, krasti-, kurva-, kurvaste-@
@be stuck@|@pezna-, pezo-@
@be suffocated@|@pova-, puva-@
@beach@|@pliazhosj@
@beam@|@chochko, šochka, žochka@
@bear@|@kirde-@
@beaver@|@mijal, mijav@
@become@|@ule-@
@bee@|@mäkš, mekš, meš@
@behind@|@pira, pra@
@belt@|@kšna, šna@
@bend@|@nuchka-@
@berry@|@mar@
