@English@|@Nahuatl@
@Author name@|@Guy T. Gambill@
@Font@|@Arial\12\Arial\12@
@(may) he brood over it@|@quilnamictia@
@(may) he drink it@|@coni@
@(may) he gladden him@|@cahuilti@
@(may) he think about it@|@quilnamictia@
@(may) it be calmed@|@cehui@
@(may) it be placated@|@cehui@
@(may) it become good; he becomes good@|@cualtia@
@(may) it grow@|@hecapanihui, hueya@
@(may) it increase@|@hueya@
@(may) it increase; it grows@|@hecapanihui@
@(may) it sing@|@tlato@
@(may) no one@|@cayac@
@(may) nobody@|@cayac@
@a carrier load@|@centlamamalpan@
@a crag@|@omotepexihui@
@a feast day is celebrated; the feast is celebrated@|@ilhuitlalo@
@a feast is held@|@ilhuichihualo@
@a few days@|@quezquilhuitl@
@a few; a little bit@|@macuil matlac@
@a few; a little; a little bit; a while; slightly@|@achi@
@a forearm (in length)@|@cemmolicpitl@
@a kind; one kind; a way; a manner; one thing@|@centlamantli@
@a little@|@oachitzin@
@a little bit@|@ach, achica, achitzi, oachitzin, tepitzin@
@a little bit; all@|@ixquitzin@
@a little bit; small; a little@|@tepiton@
@a little bit; small; tiny; very little; very small@|@tepitoton@
@a little bitter@|@achichichic@
@a little day; a brief day@|@cemilhuitzintli@
@a little dirt@|@tlazoltontli@
@a little large; a little long@|@huetiontli@
@a little long@|@huihuiacapipil@
@a little long; small and long@|@huiacapil@
@a little long-necked@|@quechancatontli@
@a little something@|@itlaton@
@a little tall@|@cuauhticatontli@
@a little whitish@|@ticehuacatontli@
@a little; a little bit@|@achito, achiton@
@a little; a little bit; rather; somewhat; a trifle@|@achitzin@
@a little; however many@|@quezqui@
@a mutual thing@|@nepanotl@
@a short time ago@|@quin izqui@
@a straight thing@|@tlamelauhqui@
@a whole day; all day; by day; during the day@|@cemilhuitl@
@a word; one word@|@cencamatl@
@abominable sin; great sin@|@tetzauhtlatolacolli@
@about@|@ahzo@
@about him; about it@|@itechpa@
@about me@|@noca@
@about us@|@totlan@
@about your neck@|@moquechtlan@
@above us@|@otopan@
@above us; over us; among us; at us@|@topan@
@above; on a high place@|@tlacpac@
@above; up high@|@aco@
@abraded@|@tlachichictli@
@abrasive sand@|@teoxalli@
@abscess@|@tlaxhuiztli@
@absolutely@|@niman@
@abstinence@|@nexahualiztli@
@accord@|@tlatolli@
@account@|@tlatlatolli@
@account; common opinion; fable; tradition@|@nenonotzalli@
@account; language; proverb@|@tlatolli@
@acid@|@xococ@
@acidic@|@chichic@
@acorn@|@ahuacuauhtomatl@
@across; crosswise@|@ixtlapal@
@act of arranging@|@tlachichiilhualiztli@
@act of crying out@|@tzatziliztli@
@act of gathering up (e.g.@|@tlacuicuiliztli@
@act of killing someone; murder@|@temictiliztli@
@act of moistening chalk@|@tizapaloliztli@
@act of ornamenting@|@tlachichiilhualiztli@
@act of placing; act of laying out@|@nemanaliztli@
@act of resting@|@necehuiliztli@
@act of shaming someone@|@tepinauhtiliztli@
@act of trimming hair@|@neximaliztli@
@act of watching@|@tlapieliztli@
@action of guarding something@|@tlapializtli@
@active@|@iitzqui@
@acts like a woman@|@mocihuanenequi@
@adhesive; sticky@|@zazaltic@
@adhesive; sticky; viscous@|@zazalic@
@admirable; marvelous; wonderful@|@mahuizauhqui@
@adobe@|@xamitl@
@adobe bricks are made@|@maxonchihua@
@adornment@|@nechichihualli@
@adulterer@|@tetlaxinqui@
@adulterers@|@tetlaxinque@
@adultery@|@tetlaximaliztli@
@adviser@|@tenonotzale, tenonotzani@
@afflicted; affliction; anguish; bitter; burning@|@cococ@
@afterwards@|@quinihcuac@
@afterwards; later; then@|@zatepan@
@again@|@oc cepa@
@again; once again@|@oc ceppa@
@aged; great; grown people; important; large; old@|@huehueintin@
@agile@|@tzicuictic@
@agreeable of speech; agreeable speaker@|@tenhuelic@
@agricultural land@|@cuemitl@
@aid@|@tepalehuiliztli@
@aid (h.) him@|@xicmonahnamiguili@
@aid to digestion@|@tlatemohuiani@
@ailment@|@netlacolli@
@ailment of us men; our male sickness@|@toquichcocol@
@ailment; infection; sickness; pain; illness@|@cocolli@
@airy@|@ecauhtic@
@all@|@ixquichti, ixquichton, ixquichtzin, moche, omochi@
@all about; in all directions@|@nohuiyan@
@all day@|@icemilhuitl@
@all days; every day@|@izquilhuitl@
@all die of thirst@|@amicoa@
@all kinds@|@quenami@
@all kinds; every kind; many things; various things@|@izquitlamantli@
@all night@|@cenyohual@
@all night; at night; during the night; by night@|@ceyoal@
@all night; during the night; at night@|@ceyohual@
@all of them@|@izquintin@
@all of us@|@timochinti, timochintin@
@all of you@|@amixquichtin, anmochintin, timochi@
@all people; everyone@|@mochitlacatl@
@all the forest; teh whole forest@|@cencuahuitl@
@all; a full amount; all which; as much; enough@|@ixquich@
@all; a full number; everyone@|@ixquichtin@
@all; all (pl.); all of them@|@mochtin@
@all; all (pl.); all of them; each of them;everyone@|@mochintin@
@all; all of them; everyone@|@mochinti@
@all; completely; entirely; everything; many@|@mochi@
@all; everything@|@moch@
@alone@|@zaniyo@
@alone; aside@|@noncua@
@alone; by himself; by itself; he alone; singly@|@icel@
@along the road@|@otlipan@
@along the road; on the road; by the road@|@otlica@
@already; when@|@ye@
@also; also same; as well as; likewise; too@|@no@
@although@|@immanel, macihui, macihuin, yece@
@although he will take captives@|@manellamaz@
@although; even if; if; though@|@intlanel, intlanel@
@although; even though; even@|@inmanel@
@although; even though; even; even if; nevertheless@|@manel@
@alum@|@tececec, tlalxocotl@
@always@|@mochipan@
@always tasty; of pleasing odor@|@huehuelic@
@always; all the time; constantly; continually@|@mochipa@
@always; constantly; eternal; forever; eternally@|@cemicac@
@amaranth green@|@huauhquilitl@
@amaranth head; head of amaranth@|@huauhtzontli@
@amaranth seed dough@|@tzoalli@
@amaranth seed seller@|@huauhnamacac@
@amaranth seed will be cast@|@huauhpixoloz@
@amaranth; amaranth seed@|@huauhtli@
@amber@|@apozonalli@
@amber ear plug@|@apozonalnacochtli@
@American bittern@|@ateponaztli@
@american bittern; american white pelican@|@atotolin@
@american cherry@|@capoli@
@American cherry@|@cuauhcapolin@
@american cherry; cherry@|@capolin@
@amethyst@|@tlapaltehuilotl@
@amiable@|@tlazotlaloni@
@among common folk@|@macehualpan@
@among maguey plants@|@metitlan@
@among others@|@tehuan, tepan, tetla@
@among people@|@tehuan, tepan, tetlan@
@among people; among others@|@tetzalan@
@among people; one's uncle@|@tetla@
@among reeds@|@tolla@
@among the canes@|@acatzalan@
@among the crags@|@texcaltitlan@
@among the crags; in the crags@|@texcalla@
@among the reeds@|@acatzalan, tollah, toltzalan@
@among them@|@intzalan, ointlan@
@among them; with them; beneath them@|@intlan@
@among us; our teeth@|@totlan@
@amount@|@tlapoaliztli@
@an opening in walls@|@tepancamac@
@ancient ones; ancients@|@huehuetque@
@and behold@|@ahuiz@
@and here@|@ahuiz@
@and; also; with him; with it; with them@|@ihuan@
