@English@|@Nanai@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a big kettle@|@enue@
@a big snake@|@zhabzhä@
@a gun support@|@sozha@
@a hanger made of three poles@|@sozhaqo@
@a k. of bird@|@qarqaj@
@a k. of bracelet@|@durzhi@
@a k. of bush@|@puju, sengkure@
@a k. of cloth@|@narma, niarma@
@a k. of duck@|@ani, qängGo, tarmi@
@a k. of fish (salmo lenoc)@|@zhoi@
@a k. of fox@|@kichiri, xeldegzhë@
@a k. of midge@|@chöqta@
@a k. of plant@|@läqa, läqa, piregdën@
@a k. of salmon@|@azhi@
@a k. of swallow@|@qarmor@
@a k. of swamp plant@|@zhengku@
@a k. of tree@|@kendele, kendelë, kendelen@
@a k. of upper clothes@|@kurme@
@a k. of willow@|@choromqola@
@a k. of woodpecker@|@pilaqta@
@a measure for powder@|@mialaqo@
@a mythical bird@|@qori@
@a prohibitive particle@|@em@
@a prop for a kettle@|@saqora@
@a short time@|@bektë@
@a small hillock@|@sirge@
@a vessel for berries@|@xordaxï@
@abandoned village@|@susu@
@above@|@uwu-j@
@accompany@|@bodo-@
@acid@|@zhojor-si@
@acorn@|@xosaqta@
@adze@|@ofali, ufali@
@age@|@së@
@air@|@bosdux@
@ak.of basket@|@silfo@
@alive@|@ing-kï, ujü@
@all@|@gere, geren, s'äoxo@
@almost@|@ketële@
@an ungulate animal@|@beju@
@and@|@guchi@
@animal@|@beiun, buiun, ucelte@
@animal's paw@|@xösö@
@ant@|@silukte@
@anvil@|@zhirë@
@apple@|@iabloko@
@appreciate@|@sali-@
@apron@|@lelü@
@arm@|@hgala@
@armpit@|@chaxä, xawani@
@army@|@chaoxa@
@arrive@|@eme-@
@arrow@|@leke@
@arrow for a cross-bow@|@zhabdu@
@arrow-head@|@sokpi-so@
@ash@|@puhekten, xoromsa@
@ash tree@|@siwaGda@
@ashes@|@punekte, xulefte@
@ask to do smth.@|@sesu-@
@autumn@|@bolo@
@awkward@|@nimorizhi, nomori@
@awl@|@chioqo@
@axe@|@sure@
@back@|@darama@
@back of axe@|@terin, terin@
@bad@|@chukï, exele@
@badger@|@ojö@
@bag@|@pötachä@
@bait@|@bë@
@barefooted@|@charaqö@
@bark@|@xoraqta@
@barley@|@iachmen', muzhi@
@basket@|@soro@
@bat@|@xelegdexï, xeregdepï@
@bathe@|@elbusi-@
@batter@|@döchi-@
@bay@|@alian, ondo, talGa, xewë@
@be a guest@|@nime-ri-@
@be able@|@mute-@
@be born@|@balzhi-@
@be extinguished@|@gükpu-, güp-, güpu-@
