@English@|@Naskapi@
@Author name@|@Guy T. Gambill / Naskapi Development Corporation / Library and Archives Canada@
@Font@|@Arial\12\Arial\12@
@(Castor spp)@|@amiskw (na)@
@(formerly Fort George)@|@chisaasiipiiy (ni)@
@(Salmo salar ouananiche)@|@unaan (na)@
@10@|@paaikuyuw (p)@
@100@|@paaiku-mitaasimitinuw (p)@
@1000@|@paaikwaaw-chaasipiiyuw (p)@
@11@|@paaikusaap (p-w)@
@12@|@niisaap (p-w)@
@13@|@nistusaap (p-w)@
@14@|@naausaap (p-w)@
@15@|@pitaataahch-taahtusaap (p-w)@
@17@|@niiswaautaahch-taahtusaap (p)@
@18@|@yaanaaw-taahtusaap (p w)@
@20@|@niisuyuw (p)@
@200@|@niisu-mitaasimitinuw (p)@
@2000@|@niiswaaw-chaasipiiyuw (p)@
@22@|@niisuyuw-aasu-niisu (p)@
@23@|@niisuyuw-aasu-nistu (p)@
@24@|@niisuyuw-aasu-naaw (p)@
@25@|@niisuyuw-aasu-pitaataahch (p)@
@26@|@niisuyuw-aasu-aasutaahch (p)@
@27@|@niisuyuw-aasu-niiswaautaahch@
@28@|@niisuyuw-aasu-yaanaaw (p)@
@29@|@niisuyuw-aasu-paaikustaaw (p)@
@30@|@nistuyuw (p)@
@300@|@nistu-mitaasimitinuw (p)@
@3000@|@nistwaaw-chaasipiiyuw (p)@
@30-30 caliber)@|@chisaapaaschikin (ni)@
@40@|@naawiyuw (p)@
@400@|@naaw-mitaasimitinuw (p)@
@5@|@pitaataahch (p)@
@50@|@pitaataahtuyuw (p)@
@500@|@pitaataahtuw-mitaasimitinuw(p)@
@7@|@niiswaautaahch (p)@
@70@|@niiswaautaahtuyuw (p)@
@80@|@yaanaaw-taahtuyuw (p)@
@9@|@paaikustaaw (p)@
@90@|@paaikustaaw-taahtuyuw (p)@
@a hill): he/she ~s@|@saakaachuwaahtaaw (vai+o), saakichiwaataaw (vta)@
@a lot@|@nuuch (p)@
@a lot: he/she has ~@|@waayuutisiiw (vai)@
@abdomen: top of ~@|@aaskwaaschipaat (vai cj)@
@able to lift him/her: he/she is ~@|@saahkwaahaaw (vta)@
@aboard@|@piihtuutich (p)@
@above@|@ispimiihch (p), tipiskuuhch (p)@
