@English@|@Nauruan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@1500th Nauruan@|@Eidaruwo@
@2nd rank of highest class@|@eamwit emeong@
@about@|@kai, kaia@
@above@|@ituga, itùga@
@abroad@|@eratequò, iruwa@
@abuse@|@kabakai, òbabaka@
@accept@|@ògòg@
@accordingly@|@me ñagan@
@accuse@|@tata itùga@
@act@|@erow, tuwab@
@acute@|@eòkòñ@
@adipose@|@eduweduw@
@admonish@|@metsimetsi, òaiot ibûriô@
@adolescent@|@dedemaro@
@adopt@|@atsi@
@adore@|@adorei, taramawirei@
@adorer@|@amen ador, amet taramawir@
@advocate@|@amen egegae, amen eten@
@adz blade@|@tubwit eta@
@afraid@|@kurara, mañijùñij@
@aft@|@imùr, iruwin@
@after@|@aeow, ea, imùr@
@afternoon@|@enemero@
@afterwards@|@iamwan, imùr@
@again@|@gauwei, tik@
@against@|@ekowòñ@
@agitate@|@òruwiruwo@
@agony@|@emaga@
@aid@|@ipuòk@
@aiming game@|@karedega@
@air@|@itekekeow@
@alive@|@tsimor@
@all@|@emagen, memag, memak@
@all together@|@memak@
@allegory@|@eñòg in otsiñin@
@alley@|@emedena oroeò@
@almost@|@naga@
@alms@|@eadu@
@aloha@|@ebao@
@alone@|@te ei@
@also@|@bet@
@altar@|@dagarae@
@always@|@aeoweaeow, eo toki@
@amazed@|@mwitòñ@
@among@|@ijugagain, inimagen@
@amusing@|@ibibòki, idorodoro@
@ancestor@|@ebagadugu@
@ancestors@|@Bagadugu@
@ancient@|@mewak@
@and@|@ma@
@anecdote@|@ekadaedaenigawae@
@Angam Day@|@angam@
@anger@|@damadam, egirow, eigirow@
@angle@|@inimatsijuñen, iñin@
@angler@|@amen ijo@
@animal@|@inim-gokoro@
@ankle@|@reren iwin@
@annihilate@|@ijababa, òekeow@
@annually@|@eat eobweni aeoweaeow@
@anoint@|@òbit@
@answer@|@kûrüban, ònei@
@ant@|@emwaro, emwarò@
@Antares@|@ramwinimada@
@anus@|@met ededi@
@anxiety@|@ikurara, imiow@
@anxious@|@kurara, miow@
@any@|@tamo@
@anything smelling of fish@|@borogue@
@anytime@|@aeoweaeow, tamo edae@
@ape@|@maki@
@appeal@|@ekekùr@
@appear@|@òrre, pagada@
@appease@|@òmaerer@
@approve@|@otota, tsitan@
@arid@|@ijijimò@
@arithmetic@|@ekadad@
@arm@|@ebe@
@army@|@epo n amen ake@
@aromatic plant@|@iud@
@arrow@|@mwit dobanara@
@arrowroot@|@domagamag@
@art@|@eka, eman@
