@English@|@Nenets@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of arrow@|@müngk@
@a k. of berry@|@marangka@
@a k. of bird@|@ho@
@a k. of fish@|@kiLï, kirï, paiha, paja, päjxä, xirï@
@a k. of insect@|@ngän@
@a k. of marten@|@puddo@
@a k. of metal@|@jese, wese@
@a k. of moss@|@närcu@
@a k. of salmon@|@ngandi@
@a k. of vessel@|@tüce'@
@a k. of wild duck@|@xüroxo, xürüxo@
@a k. of willow@|@pew@
@a loft on a pole@|@nir, nïr@
@a small bird@|@sincek, sinsew@
@Adam's apple@|@kingkü, xungkö, xungkü@
@air@|@ind'@
@an elder relative@|@xäda@
@and@|@ngo', ngod@
@animal@|@ilenya sarmik@
@annual ring on a tree@|@tï, tï'@
@ant@|@siso, xüdumka@
@apple@|@yabloko@
@arm@|@nguda@
@armpit@|@säl'@
@arrive@|@täewä-@
@arrow@|@loky, mungk, nardy, tün-ni@
@ash@|@tunzibya, tyunzibya@
@asp@|@pï@
@autumn@|@ngerë@
@axe@|@lendu, tubka@
@back@|@maha, purdä-, purdarï'@
@bad@|@wema@
@bark@|@kopa, pïr', xoba@
@basket@|@xor'@
@be brought to the bridegroom@|@kõõjihpäsj@
@become dry@|@selä-@
@behind@|@taxä', täxäd, täxana@
@bend@|@sï', sïng@
@berry@|@ngode'@
@big@|@nineka@
@birch@|@kojka, kujku, xo@
@birch bark@|@täe@
@blink@|@xajem-, xäjeptä-@
@body@|@mangk, xarn@
@body part@|@cengkät, tängkäd@
@boil@|@pï-, pirë-@
@bone@|@lï@
@bow@|@in, ngin, nïhiw-, nïhu'-, nihüw-, noho'@
@bowstring@|@jën@
@branch@|@ul, ulj-, uv, uvj-@
@break@|@tujo-@
@breast@|@mäl@
@breath@|@jïnt'@
@bridle@|@sä@
@buckle@|@labak, lapak@
@butterfly@|@liberäpco@
@cap@|@hama, sawa@
@carry@|@jilä-@
@cartilage@|@ner'@
@cavity@|@ngämmät, ngäwäd@
@charcoal@|@sij@
@cheek@|@pädü, päjdï, päjti@
@child@|@acea@
@chin@|@nängü, nïngngu@
@claw@|@xada@
@clay@|@saed@
@cloudberry@|@maraka@
@coagulated blood@|@selw@
@collar@|@luxü@
@comrade@|@jürü@
@cord@|@wiijeä@
@cough@|@koot@
@cradle@|@jebc@
@crane@|@xärü@
@crop@|@pirci, pircï@
@cross-beam@|@tade@
@crow@|@warngäe, warngei@
@crumb@|@mardo-@
@crust@|@säw, sem@
@curve@|@mätor@
@dagger@|@kar@
@daughter@|@nedako@
