@English@|@Nepali@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@10 Million@|@karod@
@100 billion@|@kharab@
@11th month of the Nepali year@|@phagun, phalgun@
@12th month of the calendar@|@cait@
@12th month of the year@|@caitra@
@1st month of the calendar@|@baishakh@
@2nd month of the Nepali year@|@jeth, jyestha@
@4th month of the Nepali year@|@saun, shravan@
@7th month of the Nepali year@|@kartik@
@8th month of the Nepali year@|@mangsir, marg@
@A@|@Auta@
@a bear's cub@|@gaddu@
@a broken limb@|@anga-bhanga@
@a calf@|@bearing@
@a curved instrument to cut@|@culensi@
@a dark room@|@ãdyaaro koThaa@
@a famous Nepali poet@|@lakshmiprasad devkota, lekhnath paudyal@
@a fruit@|@mehel@
@a fruit like strawberry@|@kaphal@
@a Gurung dance@|@ghatu@
@a high official@|@bharadar@
@A hippopotamus@|@jal-gaïro@
@a homeless person@|@sukumvasi@
@a kind if sweet bread@|@anarsa@
@a kind of bean@|@bodi@
@a kind of bird@|@munal@
@a kind of deer@|@jarayo@
@a kind of drum@|@damphu@
@a kind of folk song@|@balun@
@a kind of fruit@|@amala@
@a kind of lentils@|@musuro, rahar@
@a kind of Lentils@|@mung@
@a kind of millet@|@kodo@
@a kind of pungent vegetable@|@camsur@
@a kind of root@|@pindalu@
@a kind of sour fruit@|@lapsi@
@a kind of straw mat@|@sukul@
@a kind of sweet fruit@|@haluvabed@
@a kind of sword@|@khunda@
@a kind of valuable ornament@|@cudamani@
@a kind of vegetable@|@iskus@
@a large clay jar@|@ghyampo@
@a large earthenware@|@gagro@
@a little@|@alikati@
@a long time ago@|@aghi-aghi@
@a lot@|@atyanta@
@a mad man@|@pagal@
@a measure of length@|@kos@
@a metal water-vessel@|@gagri@
@a mixture from rice and lentil@|@khicadi@
@a Nepalesed curved knife@|@khukuri@
@a Nepali nationality@|@danuvar, magar@
@a people group of Nepal@|@majhi@
@a perfumer@|@gandhi@
@a plate from leaves@|@tapari@
@a play in two acts@|@dui ankako naaTak@
@a quarter@|@pau@
@a quarter past@|@sava@
@a quarter to@|@paune@
@a queue@|@lam@
@a sad face@|@ãdyaaro anu'aar@
@a Sanskrit dictionary@|@amarkosh@
@a small hole in the wall@|@khopo@
@a small plot of land@|@euta tukra jagga@
@A small waterpot@|@jalahari, jalahäri@
@a sour fruit@|@titri@
@a surname of New-Aryan Brahman@|@vajracarya@
@a sweet scented substance@|@gandhadravya@
@a tall man@|@aglo maanche@
@a tree two arms' breadth@|@ãgaalaa bhariko rukh@
@a type field@|@saranggi@
