@English@|@Nganasan@
@Author name@|@Renato B. Figueiredo@
@Font@|@Arial\12\Arial\12@
@a k. of arrow@|@múnka@
@a k. of berry@|@murá'ka@
@a k. of fish@|@pajiw@
@a k. of grass@|@not, nota@
@a k. of metal@|@baja, bása@
@a k. of salmon@|@jintu@
@Adam's apple@|@künggüda@
@all@|@bánsa@
@an elder relative@|@kodú'a@
@animal@|@diamäžä@
@annual ring on a tree@|@tî@
@ant@|@ködaj@
@armpit@|@kaling@
@arrive@|@tû'a-@
@autumn@|@ngitüo, ngütüo@
@axe@|@tobäkää@
@back@|@moku@
@back part@|@fua, fuaja, fuanu@
@bark@|@kubu, kufu, kuho, kuhu@
@basket@|@koare, kûr@
@bast@|@kaju, kasu@
@bear@|@ngarka@
@beard@|@mündü"sa@
@bed@|@bäbä@
@behind@|@tagang, taka, takada, takana@
@bend@|@sang, syng@
@berry@|@nguta@
@big@|@anie@
@birch@|@kua@
@birch bark@|@tie@
@bird@|@täibää@
@black@|@tusaika"a@
@blood@|@kam@
@body@|@saxy@
@boil@|@fï'e-, firi'é-@
@bone@|@latää@
@bow@|@dinta@
@bowstring@|@jenti@
@brain@|@djia@
@bread@|@kiriba@
@breath@|@baitu', baitu'a@
@bride-groom@|@bingi, bingi-n@
@bridge@|@xyla@
@bridle@|@sung@
@brother@|@ä"ä, ngaangku@
@bug@|@ngomttung, ngomtung@
@bull@|@kobta"a@
@by evening@|@xi-@
@carry@|@jili'e-@
@cartilage@|@nir@
@cheek@|@fatúa, xotuo@
@child@|@nüo@
@claw@|@kátu@
@clay@|@satu@
@comrade@|@nirung@
@copper@|@nörumu@
@cradle@|@laapsä, lapsa@
@crust@|@kamu@
@curve@|@muni'e-@
@daughter-in-law@|@meai, meaj@
@day@|@daly, jale@
@deep place in water@|@juragâ@
@deer@|@tâ@
@dew@|@jobtúang@
@Dinners@|@uzxinê@
@diver@|@nóane@
@divide@|@taru'á-@
@dog@|@bang@
@Don't touch me there!@|@n'i? mänä ämny mentidi@
@door@|@ngoa@
@doorpost@|@salta@
@down@|@munduisang@
@duck@|@nganguode@
@eagle@|@lyngxy@
@ear@|@kou@
@earth@|@ma-maru, mou@
@egg@|@mänu@
@elder female relative@|@ngaba, ngabu, ngafu@
@end of trunk@|@tofi@
@ermine@|@fiéda, hédä@
@evening@|@kundutun'de@
@Evening@|@kundu-, xi-, xii-@
@eye@|@säime, seimy@
@face@|@xorä@
@fat@|@sela@
@fat of a reindeer@|@chü', tu'@
@father@|@desy, jaje, jase@
@fathom@|@tïmi@
@female@|@name@
