@English@|@Occitan@
@Author name@|@Pèire Joan@
@Font@|@Arial\12\Arial\12@
@(just) as@|@atal coma@
@6th grade / highschool@|@lo licèu@
@a@|@un una@
@a bat@|@una ratapenada@
@a bear@|@un ors@
@a being@|@un èsser, un èstre@
@a bias@|@un biais@
@a bicycle@|@una bicicletta@
@a big house@|@un ostalàs@
@a bike@|@una bicicletta@
@a bird@|@un aucèl@
@a block of flats@|@un immòble@
@a bone@|@un òs@
@a break@|@una pausa@
@a broom@|@una escoba@
@a building@|@un immòble@
@a café@|@un cafè@
@a cake@|@una còca@
@a calculation@|@un calcul@
@a carrot@|@una pastanaga@
@a character font@|@una poliça@
@a cheque /  a check@|@un chèc@
@a chewing-gum@|@un mastegon@
@a child@|@un mainatge@
@a cigarette@|@una cigarreta@
@a closet@|@un armari@
@a cloud@|@un nivol@
@a coming-out@|@una sortida@
@a company@|@una societat@
@a computer@|@un ordenador, un ordernador@
@a consent@|@un permés@
@a conversation@|@una conversa@
@a cross@|@una crotz@
@a crusade@|@una crosada@
@a damage@|@un damatge@
@a department@|@un departament@
@a desktop@|@un ordernador@
@a disc@|@un disc@
@a donkey@|@un ase@
@a duck@|@un anet, un guit una guita, un rit una rita, un tir una tira@
@a dyke@|@una gorrina@
@a euro@|@un èuro@
@a fable@|@una faula@
@a fax@|@un fax@
@a few@|@un pauc@
@a fire@|@un fòc / un fuòc@
@a flat@|@un apartament@
@a foot@|@un pè@
@a friend@|@amic amiga@
@a friendship@|@un amistat@
@a frog@|@una granhòta@
@a gallery@|@una galariá@
@a garage@|@un garatge@
@a garden@|@un òrt@
@a ghost@|@un esglasi@
@a goddess@|@una diva@
@a grammar@|@una gramatica@
@a greeting@|@un acuèlh@
@a guest@|@un convit, una convida@
@a hair@|@un pel@
@a hand job@|@una pinhòla@
@a heaven@|@un paradís@
@a hedgehog@|@un eriç@
@a hell@|@un infèrn@
@a history@|@una istòria@
@a hole@|@un trauc@
@a homepage@|@un acuèlh@
@a horse@|@un caval@
@a hotel@|@una alberga@
@a house@|@un ostal@
@a humour@|@una umor@
@a joke@|@una galejada@
@a key@|@una clau@
@a kiss@|@un poton@
@a leaf@|@una fuèlha@
@a legal basis@|@una basa legala@
@a lesbian@|@una lesbiana@
@a letter@|@una letra@
@a lexicon@|@un lexic@
@a liar@|@un messorguièr@
@a licence@|@un permés@
@a lie@|@una mentida, una messorga / una messòrga@
@a long time@|@un bèl brieu@
@a lot of@|@fòrça, plan, plan@
@a love@|@un amor@
@a lover@|@un calinhaire@
@a man@|@un òme@
@a masterpiece@|@un cap-d'òbra@
@a means@|@un biais, un mejan@
@a meeting@|@un acamp, un amassada@
@a message@|@un messatge@
@a mind@|@un esperit@
@a moment@|@un moment, una estona@
@a month@|@un mes@
@a motel@|@un abitarèla@
@a motorway@|@una autopista@
@a nickname@|@un escais@
@a nonsense@|@un nonsen@
@a novel@|@un roman@
@a number@|@un numerò@
@a nut@|@una notz@
@a page@|@una pagina@
@a pancake@|@un pescajon@
@a PC@|@un ordernador@
